Entity,Code,Year,LLECE: Mean performance on the mathematics scale for 6th grade students. Total
Argentina,ARG,2006,513.03
Argentina,ARG,2013,530.23
Brazil,BRA,2006,499.42
Brazil,BRA,2013,519.63
Chile,CHL,2006,517.31
Chile,CHL,2013,580.51
Colombia,COL,2006,492.71
Colombia,COL,2013,514.69
Costa Rica,CRI,2006,549.33
Costa Rica,CRI,2013,535.19
Cuba,CUB,2006,637.47
Dominican Republic,DOM,2006,415.64
Dominican Republic,DOM,2013,436.85
Ecuador,ECU,2006,459.5
Ecuador,ECU,2013,513.12
El Salvador,SLV,2006,471.94
Guatemala,GTM,2006,455.81
Guatemala,GTM,2013,487.98
Honduras,HND,2013,479.79
Mexico,MEX,2006,541.61
Mexico,MEX,2013,565.77
Nicaragua,NIC,2006,457.93
Nicaragua,NIC,2013,462.31
Panama,PAN,2006,451.6
Panama,PAN,2013,461.48
Paraguay,PRY,2006,468.31
Paraguay,PRY,2013,455.55
Peru,PER,2006,489.98
Peru,PER,2013,527.25
Uruguay,URY,2006,578.42
Uruguay,URY,2013,566.57
