Entity,Code,Year,% Approve of wife working if husband can support (OWID (2017)) (%)
United States,USA,1936,18
United States,USA,1938,22
United States,USA,1945,18
United States,USA,1970,60
United States,USA,1972,65
United States,USA,1974,69
United States,USA,1975,71
United States,USA,1977,66
United States,USA,1978,73
United States,USA,1982,75
United States,USA,1983,77
United States,USA,1985,86
United States,USA,1986,78
United States,USA,1988,80
United States,USA,1989,79
United States,USA,1990,82
United States,USA,1991,80
United States,USA,1993,80
United States,USA,1994,81
United States,USA,1996,83
United States,USA,1998,82
