Entity,Code,Year,Weight of seized rhino horns (kilograms)
Cambodia,KHM,2018,136
China,CHN,2018,1715
Czech Republic,CZE,2018,125
Ethiopia,ETH,2018,111
France,FRA,2018,67
India,IND,2018,58
Kenya,KEN,2018,469
Laos,LAO,2018,69
Malawi,MWI,2018,138
Malaysia,MYS,2018,430
Mozambique,MOZ,2018,1031
Namibia,NAM,2018,114
Nigeria,NGA,2018,145
Other,,2018,534
Qatar,QAT,2018,303
Singapore,SGP,2018,116
South Africa,ZAF,2018,2994
Thailand,THA,2018,328
Turkey,TUR,2018,61
Uganda,UGA,2018,149
United Arab Emirates,ARE,2018,84
United Kingdom,GBR,2018,78
United States,USA,2018,112
Vietnam,VNM,2018,1757
World,OWID_WRL,2018,11281
Zambia,ZMB,2018,87
Zimbabwe,ZWE,2018,71
