Entity,Code,Year,Year,River water (%),Groundwater (%),Open water (%),All water bodies (%)
Andorra,AND,2017,100,75,,92.86
Austria,AUT,2017,80.12,94.57,91.94,80.44
Botswana,BWA,2017,94.74,7.69,94.44,50
Brazil,BRA,2017,73.04,,74.63,73.32
El Salvador,SLV,2017,43.33,,,43.33
Estonia,EST,2017,100,,100,100
Fiji,FJI,2017,100,100,100,100
Finland,FIN,2017,64.09,76.35,80.82,76.06
Germany,DEU,2017,35.08,,72.41,38.99
Hungary,HUN,2017,53.6,81.98,41.77,57.66
Ireland,IRL,2017,56.72,91.42,45.78,61.69
Jamaica,JAM,2017,92.08,,,92.08
Japan,JPN,2017,30,0,75,37.5
Kenya,KEN,2017,30.52,42.18,0,35.5
Latvia,LVA,2017,72.44,100,52.9,64.41
Lebanon,LBN,2017,50,100,0,50
Lesotho,LSO,2017,33.33,0,0,16.67
Liechtenstein,LIE,2017,77.78,100,,80
Lithuania,LTU,2017,41.12,100,74.69,55.39
Macedonia,MKD,2017,12.5,0,0,8.7
Madagascar,MDG,2017,94.12,81.58,94.59,90.91
Marshall Islands,MHL,2017,,100,100,100
Montenegro,MNE,2017,100,0,100,94.12
Morocco,MAR,2017,76.14,76.27,85.94,79.15
Netherlands,NLD,2017,47.15,86.96,53.22,52.22
Nigeria,NGA,2017,66.27,,41,52.46
Peru,PER,2017,36.84,,,36.84
Poland,POL,2017,30.64,85.71,38.51,33.71
Romania,ROU,2017,57.37,83.69,62.61,61.37
Rwanda,RWA,2017,37.5,,0,30
Slovenia,SVN,2017,80.43,90.48,9.09,75.81
South Africa,ZAF,2017,37.05,,62.5,46.92
South Korea,KOR,2017,82.61,96.01,0,87.29
Sudan,SDN,2017,100,90,70,86.05
Sweden,SWE,2017,31.77,97.7,48.85,45.13
Switzerland,CHE,2017,100,,,100
Tanzania,TZA,2017,,,0,0
Zimbabwe,ZWE,2017,76.47,,,76.47
