Entity,Code,Year,Ratio of diabetes to obesity prevalence
Afghanistan,AFG,2015,2.05
Albania,ALB,2015,0.47
Algeria,DZA,2015,0.29
Andorra,AND,2015,0.31
Angola,AGO,2015,0.63
Antigua and Barbuda,ATG,2015,0.73
Argentina,ARG,2015,0.21
Armenia,ARM,2015,0.32
Australia,AUS,2015,0.17
Austria,AUT,2015,0.32
Azerbaijan,AZE,2015,0.34
Bahamas,BHS,2015,0.42
Bahrain,BHR,2015,0.7
Bangladesh,BGD,2015,2.68
Barbados,BRB,2015,0.56
Belarus,BLR,2015,0.2
Belgium,BEL,2015,0.21
Belize,BLZ,2015,0.76
Benin,BEN,2015,0.1
Bhutan,BTN,2015,1.69
Bolivia,BOL,2015,0.41
Bosnia and Herzegovina,BIH,2015,0.52
Botswana,BWA,2015,0.35
Brazil,BRA,2015,0.48
Brunei,BRN,2015,0.97
Bulgaria,BGR,2015,0.22
Burkina Faso,BFA,2015,0.51
Burundi,BDI,2015,0.64
Cambodia,KHM,2015,0.91
Cameroon,CMR,2015,0.71
Canada,CAN,2015,0.24
Cape Verde,CPV,2015,0.23
Central African Republic,CAF,2015,1.03
Chad,TCD,2015,1.24
Chile,CHL,2015,0.35
China,CHN,2015,1.58
Colombia,COL,2015,0.46
Comoros,COM,2015,1.5
Congo,COG,2015,0.86
Costa Rica,CRI,2015,0.34
Cote d'Ivoire,CIV,2015,0.26
Croatia,HRV,2015,0.21
Cuba,CUB,2015,0.38
Cyprus,CYP,2015,0.43
Czech Republic,CZE,2015,0.26
Democratic Republic of Congo,COD,2015,1.21
Denmark,DNK,2015,0.34
Djibouti,DJI,2015,0.71
Dominica,DMA,2015,0.46
Dominican Republic,DOM,2015,0.34
Ecuador,ECU,2015,0.49
Egypt,EGY,2015,0.55
El Salvador,SLV,2015,0.42
Equatorial Guinea,GNQ,2015,1.08
Eritrea,ERI,2015,0.95
Estonia,EST,2015,0.19
Ethiopia,ETH,2015,1
Fiji,FJI,2015,0.47
Finland,FIN,2015,0.24
France,FRA,2015,0.23
Gabon,GAB,2015,0.6
Gambia,GMB,2015,0.24
Georgia,GEO,2015,0.28
Germany,DEU,2015,0.29
Ghana,GHA,2015,0.25
Greece,GRC,2015,0.19
Grenada,GRD,2015,0.59
Guatemala,GTM,2015,0.61
Guinea,GIN,2015,0.35
Guinea-Bissau,GNB,2015,0.28
Guyana,GUY,2015,0.6
Haiti,HTI,2015,0.35
Honduras,HND,2015,0.49
Hungary,HUN,2015,0.26
Iceland,ISL,2015,0.27
India,IND,2015,2.58
Indonesia,IDN,2015,1
Iran,IRN,2015,0.41
Iraq,IRQ,2015,0.35
Ireland,IRL,2015,0.17
Israel,ISR,2015,0.29
Italy,ITA,2015,0.23
Jamaica,JAM,2015,0.49
Japan,JPN,2015,1.36
Jordan,JOR,2015,0.36
Kazakhstan,KAZ,2015,0.31
Kenya,KEN,2015,0.42
Kiribati,KIR,2015,0.41
Kuwait,KWT,2015,0.55
Kyrgyzstan,KGZ,2015,0.43
Laos,LAO,2015,0.86
Latvia,LVA,2015,0.21
Lebanon,LBN,2015,0.43
Lesotho,LSO,2015,0.3
Liberia,LBR,2015,0.28
Libya,LBY,2015,0.34
Lithuania,LTU,2015,0.14
Luxembourg,LUX,2015,0.2
Macedonia,MKD,2015,0.44
Madagascar,MDG,2015,0.95
Malawi,MWI,2015,0.8
Malaysia,MYS,2015,1.22
Maldives,MDV,2015,1.26
Mali,MLI,2015,0.32
