Entity,Code,Year,Diamond (BGS (2016)) (carats)
Tanzania,TZA,2007,282786
Tanzania,TZA,2008,237676
Tanzania,TZA,2009,181874
Tanzania,TZA,2010,80498
Tanzania,TZA,2011,40691
Tanzania,TZA,2012,127174
Tanzania,TZA,2013,179633
Tanzania,TZA,2014,252875
Tanzania,TZA,2015,216482
Togo,TGO,2003,87200
Togo,TGO,2004,123106
Togo,TGO,2005,11773
Togo,TGO,2006,25368
Togo,TGO,2007,13452
Togo,TGO,2008,8787
Togo,TGO,2009,125
Togo,TGO,2010,96
Togo,TGO,2011,71
Togo,TGO,2012,456
Togo,TGO,2013,24
Togo,TGO,2014,23
Togo,TGO,2015,46
Venezuela,VEN,1970,508700
Venezuela,VEN,1971,499020
Venezuela,VEN,1972,456300
Venezuela,VEN,1973,780829
Venezuela,VEN,1974,1199973
Venezuela,VEN,1975,1060000
Venezuela,VEN,1976,851000
Venezuela,VEN,1977,687115
Venezuela,VEN,1978,755869
Venezuela,VEN,1979,802646
Venezuela,VEN,1980,665721
Venezuela,VEN,1981,490426
Venezuela,VEN,1982,435272
Venezuela,VEN,1983,278915
Venezuela,VEN,1984,272922
Venezuela,VEN,1985,215272
Venezuela,VEN,1986,211731
Venezuela,VEN,1987,112812
Venezuela,VEN,1988,128405
Venezuela,VEN,1989,213264
Venezuela,VEN,1990,336976
Venezuela,VEN,1991,337022
Venezuela,VEN,1992,486935
Venezuela,VEN,1993,410750
Venezuela,VEN,1994,582522
Venezuela,VEN,1995,296116
Venezuela,VEN,1996,172016
Venezuela,VEN,1997,284208
Venezuela,VEN,1998,96811
Venezuela,VEN,1999,95144
Venezuela,VEN,2000,109597
Venezuela,VEN,2001,52804
Venezuela,VEN,2002,141463
Venezuela,VEN,2003,38489
Venezuela,VEN,2004,40036
Venezuela,VEN,2005,55154
Venezuela,VEN,2006,27598
Venezuela,VEN,2007,14502
Venezuela,VEN,2008,9381
Venezuela,VEN,2009,7730
Venezuela,VEN,2010,2099
Zimbabwe,ZWE,1988,0
Zimbabwe,ZWE,1989,0
Zimbabwe,ZWE,1990,0
Zimbabwe,ZWE,1991,0
Zimbabwe,ZWE,1992,40654
Zimbabwe,ZWE,1993,43850
Zimbabwe,ZWE,1994,173588
Zimbabwe,ZWE,1995,204416
Zimbabwe,ZWE,1996,437266
Zimbabwe,ZWE,1997,421307
Zimbabwe,ZWE,1998,28732
Zimbabwe,ZWE,1999,42578
Zimbabwe,ZWE,2000,23028
Zimbabwe,ZWE,2001,0
Zimbabwe,ZWE,2002,0
Zimbabwe,ZWE,2003,0
Zimbabwe,ZWE,2004,44454
Zimbabwe,ZWE,2005,243928
Zimbabwe,ZWE,2006,1046025
Zimbabwe,ZWE,2007,695016
Zimbabwe,ZWE,2008,797198
Zimbabwe,ZWE,2009,963502
Zimbabwe,ZWE,2010,8435224
Zimbabwe,ZWE,2011,8502648
Zimbabwe,ZWE,2012,12060163
Zimbabwe,ZWE,2013,10411818
Zimbabwe,ZWE,2014,4771637
Zimbabwe,ZWE,2015,3490881
