Entity,Code,Year,Local (% of GDP),State (% of GDP),Federal/Unassigned (% of GDP)
United States,USA,1890,0.740458015,0.198473282,0.152671756
United States,USA,1891,0.8,0.224,0.16
United States,USA,1892,0.741258741,0.20979021,0.146853147
United States,USA,1893,0.782608696,0.246376812,0.166666667
United States,USA,1894,0.896825397,0.261904762,0.19047619
United States,USA,1895,0.856115108,0.251798561,0.165467626
United States,USA,1896,0.939849624,0.263157895,0.165413534
United States,USA,1897,0.890410959,0.232876712,0.191780822
United States,USA,1898,0.883116883,0.227272727,0.188311688
United States,USA,1899,0.833333333,0.201149425,0.132183908
United States,USA,1900,0.796791444,0.203208556,0.176470588
United States,USA,1901,0.792270531,0.173913043,0.169082126
United States,USA,1902,0.800925926,0.180555556,0.152777778
United States,USA,1903,0.759825328,0.174672489,0.165938865
United States,USA,1904,0.84279476,0.187772926,0.187772926
United States,USA,1905,0.836653386,0.175298805,0.19123506
United States,USA,1906,0.777003484,0.167247387,0.177700348
United States,USA,1907,0.763157895,0.148026316,0.256578947
United States,USA,1908,0.935018051,0.209386282,0.23465704
United States,USA,1909,0.865269461,0.191616766,0.152694611
United States,USA,1910,0.883852691,0.184135977,0.158640227
United States,USA,1911,0.932960894,0.19273743,0.134078212
United States,USA,1912,0.88071066,0.192893401,0.116751269
United States,USA,1913,0.949494949,0.196969697,0.133838384
United States,USA,1914,1.101036269,0.227979275,0.126943005
United States,USA,1915,1.1425,0.2275,0.105
United States,USA,1916,1.010351967,0.196687371,0.105590062
United States,USA,1918,1.014900662,0.201986755,0.00281457
United States,USA,1920,0.883060109,0.174863388,0.00273224
United States,USA,1922,1.599190283,0.311740891,0.00391363
United States,USA,1924,1.523022432,0.309327037,0.00472255
United States,USA,1926,1.587628866,0.293814433,0.005773196
United States,USA,1928,1.73814433,0.343298969,0.006391753
United States,USA,1930,1.894517544,0.388157895,0.008004386
United States,USA,1932,2.810051107,0.700170358,0.014139693
United States,USA,1934,2.07030303,0.640909091,0.032575758
United States,USA,1936,1.65071599,0.68973747,0.011813842
United States,USA,1938,1.788966318,0.761904762,0.030778165
United States,USA,1940,1.515088757,0.674556213,0.039250493
United States,USA,1942,1.001976529,0.469425571,0.021185917
United States,USA,1944,0.77766151,0.390809827,0.01633303
United States,USA,1946,0.880423042,0.477947795,0.018631863
United States,USA,1948,0.934708287,0.622816797,0.044704571
United States,USA,1950,1.060640109,0.737487232,0.053047327
United States,USA,1952,1.037426737,0.691878314,0.063550098
United States,USA,1954,1.200657203,0.773922187,0.093375394
United States,USA,1956,1.238294467,0.875400091,0.100914495
United States,USA,1958,1.475791952,1.02739726,0.104130993
United States,USA,1960,1.581838906,1.095744681,0.123784195
United States,USA,1962,1.703602527,1.159125832,0.129929998
United States,USA,1964,1.743459916,1.217299578,0.13517179
United States,USA,1966,1.706144471,1.259362702,0.253522915
United States,USA,1968,1.848867883,1.34930754,0.30847439
United States,USA,1970,2.02109217,1.547048059,0.310083791
United States,USA,1980,1.507435637,1.626513181,0.340860694
United States,USA,1990,1.682754195,1.693623524,0.218960153
United States,USA,1992,1.739189334,1.715205038,0.244285667
United States,USA,1993,1.754229244,1.700864446,0.258890296
United States,USA,1994,1.754979052,1.658022482,0.25887037
United States,USA,1995,1.710625064,1.722653318,0.250612391
United States,USA,1996,1.683078026,1.743583001,0.243720344
United States,USA,1997,1.662766084,1.757423837,0.241002434
United States,USA,1998,1.661208506,1.792748875,0.252481553
United States,USA,1999,1.641716409,1.809998734,0.262167289
United States,USA,2000,1.620183726,1.855130901,0.272299315
United States,USA,2001,1.678684452,1.940299598,0.282905082
United States,USA,2002,1.689630538,1.940762736,0.311442384
United States,USA,2003,1.690151199,1.923133045,0.336704115
United States,USA,2004,1.70813861,1.831714307,0.353253634
United States,USA,2005,1.69634142,1.808405959,0.35455067
United States,USA,2006,1.723402175,1.807245937,0.354908075
United States,USA,2007,1.741963426,1.874644361,0.335309904
United States,USA,2008,1.769579839,1.966876997,0.332578008
United States,USA,2009,1.836009411,1.958535329,0.401375883
United States,USA,2010,1.78391335,1.765736087,0.518388707
