Entity,Code,Year,Oil consumption per capita (BP & UN (2017 revision)) (megawatt-hours)
Africa,,1965,0.9823446438
Africa,,1966,1.050339973
Africa,,1967,1.01439004
Africa,,1968,1.0433633990000002
Africa,,1969,1.032230468
Africa,,1970,1.117029998
Africa,,1971,1.2251556330000002
Africa,,1972,1.293742189
Africa,,1973,1.3544573370000001
Africa,,1974,1.364503271
Africa,,1975,1.3912877639999999
Africa,,1976,1.513763197
Africa,,1977,1.5502347380000001
Africa,,1978,1.578208369
Africa,,1979,1.6290877170000002
Africa,,1980,1.691539606
Africa,,1981,1.741547961
Africa,,1982,1.780800301
Africa,,1983,1.791503046
Africa,,1984,1.781085752
Africa,,1985,1.7696777970000002
Africa,,1986,1.694207797
Africa,,1987,1.7301023290000002
Africa,,1988,1.7662058770000002
Africa,,1989,1.775902453
Africa,,1990,1.758606377
Africa,,1991,1.7156329490000002
Africa,,1992,1.7026212459999999
Africa,,1993,1.680499145
Africa,,1994,1.674060988
Africa,,1995,1.691063695
Africa,,1996,1.692826636
Africa,,1997,1.7003370560000002
Africa,,1998,1.698704457
Africa,,1999,1.71865353
Africa,,2000,1.684636791
Africa,,2001,1.6634250210000001
Africa,,2002,1.650597539
Africa,,2003,1.6520083890000001
Africa,,2004,1.691751999
Africa,,2005,1.736323841
Africa,,2006,1.694299677
Africa,,2007,1.7230934150000001
Africa,,2008,1.768911369
Africa,,2009,1.7807309150000001
Africa,,2010,1.822919389
Africa,,2011,1.72186287
Africa,,2012,1.77407261
Africa,,2013,1.797934341
Africa,,2014,1.773450642
Africa,,2015,1.773106012
Algeria,DZA,1965,1.187227923
Algeria,DZA,1966,1.516886363
Algeria,DZA,1967,1.374260092
Algeria,DZA,1968,1.423247177
Algeria,DZA,1969,1.459460602
Algeria,DZA,1970,1.624199641
Algeria,DZA,1971,1.7786929230000001
Algeria,DZA,1972,1.9013879930000002
Algeria,DZA,1973,2.0155471620000003
Algeria,DZA,1974,2.1732279450000003
Algeria,DZA,1975,2.3511824310000002
Algeria,DZA,1976,2.622971676
Algeria,DZA,1977,2.892677657
Algeria,DZA,1978,2.8870134440000004
Algeria,DZA,1979,3.35991701
Algeria,DZA,1980,3.289140935
Algeria,DZA,1981,3.434126748
Algeria,DZA,1982,3.529860295
Algeria,DZA,1983,3.841003389
Algeria,DZA,1984,4.122106785
Algeria,DZA,1985,4.105511389999999
Algeria,DZA,1986,4.042254658
Algeria,DZA,1987,3.9668010949999997
Algeria,DZA,1988,3.8628742010000003
Algeria,DZA,1989,3.938264382
Algeria,DZA,1990,4.1093999629999995
Algeria,DZA,1991,3.9719501100000003
Algeria,DZA,1992,3.899187796
Algeria,DZA,1993,3.800035478
Algeria,DZA,1994,3.555151278
