Entity,Code,Year,SABER Teachers: Policy Goal 7: Supporting teachers to improve instruction
Benin,BEN,2012,1
Bulgaria,BGR,2013,2
Cambodia,KHM,2011,2
Cote d'Ivoire,CIV,2012,2
Djibouti,DJI,2010,2
Egypt,EGY,2010,3
Georgia,GEO,2014,2
Guinea-Bissau,GNB,2012,3
Guyana,GUY,2012,1
Jamaica,JAM,2012,2
Jordan,JOR,2010,3
Kazakhstan,KAZ,2013,3
Kenya,KEN,2014,2
Lebanon,LBN,2010,1
Macedonia,MKD,2013,2
Mali,MLI,2012,1
Moldova,MDA,2014,3
Palestine,PSE,2010,2
Papua New Guinea,PNG,2014,2
Paraguay,PRY,2013,1
Russia,RUS,2014,2
Samoa,WSM,2014,2
Serbia,SRB,2012,1
Solomon Islands,SLB,2014,1
Tunisia,TUN,2011,4
Uganda,UGA,2012,1
Yemen,YEM,2010,1
