Entity,Code,Year,SABER School Autonomy and Accountability: Policy Goal 5: School Accountability
Bulgaria,BGR,2014,2
Burkina Faso,BFA,2012,1
Finland,FIN,2012,3
Jordan,JOR,2015,2
Kazakhstan,KAZ,2013,2
Kyrgyzstan,KGZ,2012,1
Mexico,MEX,2012,3
Morocco,MAR,2015,2
Netherlands,NLD,2012,3
Papua New Guinea,PNG,2013,2
Samoa,WSM,2013,2
Senegal,SEN,2012,1
Solomon Islands,SLB,2013,2
Thailand,THA,2012,3
