Entity,Code,Year,Share of Google searches (%)
Accidents,,2004,7.44
Accidents,,2005,7.61
Accidents,,2006,8.68
Accidents,,2007,9.34
Accidents,,2008,9.44
Accidents,,2009,10.3
Accidents,,2010,10.75
Accidents,,2011,11.34
Accidents,,2012,11.65
Accidents,,2013,11.74
Accidents,,2014,10.75
Accidents,,2015,10.48
Accidents,,2016,10.73
Alzheimer's Disease,,2004,3.04
Alzheimer's Disease,,2005,2.88
Alzheimer's Disease,,2006,3.01
Alzheimer's Disease,,2007,2.9
Alzheimer's Disease,,2008,2.8
Alzheimer's Disease,,2009,2.55
Alzheimer's Disease,,2010,2.37
Alzheimer's Disease,,2011,2.49
Alzheimer's Disease,,2012,2.37
Alzheimer's Disease,,2013,2.15
Alzheimer's Disease,,2014,2.11
Alzheimer's Disease,,2015,2.16
Alzheimer's Disease,,2016,2.92
Cancer,,2004,36.76
Cancer,,2005,38.03
Cancer,,2006,38.44
Cancer,,2007,38.45
Cancer,,2008,38.49
Cancer,,2009,38.16
Cancer,,2010,37.62
Cancer,,2011,36.99
Cancer,,2012,37.4
Cancer,,2013,37.72
Cancer,,2014,37.98
Cancer,,2015,36.41
Cancer,,2016,36.55
Diabetes,,2004,10.87
Diabetes,,2005,10.99
Diabetes,,2006,11.13
Diabetes,,2007,10.86
Diabetes,,2008,10.4
Diabetes,,2009,10.17
Diabetes,,2010,10.17
Diabetes,,2011,9.83
Diabetes,,2012,9.81
Diabetes,,2013,9.76
Diabetes,,2014,9.71
Diabetes,,2015,9.03
Diabetes,,2016,8.93
Drug overdose,,2004,2.64
Drug overdose,,2005,2.47
Drug overdose,,2006,2.29
Drug overdose,,2007,2.14
Drug overdose,,2008,2.01
Drug overdose,,2009,2
Drug overdose,,2010,1.83
Drug overdose,,2011,1.69
Drug overdose,,2012,1.63
Drug overdose,,2013,1.46
Drug overdose,,2014,1.43
Drug overdose,,2015,1.26
Drug overdose,,2016,1.27
Heart disease,,2004,3.6
Heart disease,,2005,3.47
Heart disease,,2006,3.3
Heart disease,,2007,3.09
Heart disease,,2008,2.97
Heart disease,,2009,2.78
Heart disease,,2010,2.64
Heart disease,,2011,2.4
Heart disease,,2012,2.39
Heart disease,,2013,2.25
Heart disease,,2014,2.21
Heart disease,,2015,2.01
Heart disease,,2016,2
Homicide,,2004,2.64
Homicide,,2005,2.2
Homicide,,2006,2.31
Homicide,,2007,2.55
Homicide,,2008,2.88
Homicide,,2009,3.03
Homicide,,2010,3.05
Homicide,,2011,3.68
Homicide,,2012,3.52
Homicide,,2013,3.45
Homicide,,2014,3.66
Homicide,,2015,3.69
Homicide,,2016,3.21
Kidney disease,,2004,0.72
Kidney disease,,2005,0.7
Kidney disease,,2006,0.79
Kidney disease,,2007,0.84
Kidney disease,,2008,0.87
Kidney disease,,2009,0.89
Kidney disease,,2010,0.94
Kidney disease,,2011,0.93
Kidney disease,,2012,0.96
Kidney disease,,2013,0.97
Kidney disease,,2014,1.05
Kidney disease,,2015,1.05
Kidney disease,,2016,1.08
Lower respiratory disease,,2004,1.76
Lower respiratory disease,,2005,1.85
Lower respiratory disease,,2006,1.96
Lower respiratory disease,,2007,2.14
Lower respiratory disease,,2008,2.14
Lower respiratory disease,,2009,2.07
Lower respiratory disease,,2010,2.16
Lower respiratory disease,,2011,2.21
Lower respiratory disease,,2012,2.22
Lower respiratory disease,,2013,2.2
Lower respiratory disease,,2014,2.28
Lower respiratory disease,,2015,2.2
Lower respiratory disease,,2016,2.07
Pneumonia & influenza,,2004,3.21
Pneumonia & influenza,,2005,3.64
Pneumonia & influenza,,2006,3.76
Pneumonia & influenza,,2007,4.04
Pneumonia & influenza,,2008,4.19
Pneumonia & influenza,,2009,4.68
Pneumonia & influenza,,2010,4.44
Pneumonia & influenza,,2011,4.96
Pneumonia & influenza,,2012,5.15
Pneumonia & influenza,,2013,5.01
Pneumonia & influenza,,2014,5.11
Pneumonia & influenza,,2015,5.03
Pneumonia & influenza,,2016,5.22
Stroke,,2004,5.1
Stroke,,2005,5.44
Stroke,,2006,5.75
Stroke,,2007,5.73
Stroke,,2008,5.79
Stroke,,2009,5.8
Stroke,,2010,6.06
Stroke,,2011,6.42
Stroke,,2012,6.35
Stroke,,2013,6.38
Stroke,,2014,6.36
Stroke,,2015,6.19
Stroke,,2016,6.45
Suicide,,2004,11.79
Suicide,,2005,12.35
Suicide,,2006,11.55
Suicide,,2007,11.89
Suicide,,2008,12.23
Suicide,,2009,12.56
Suicide,,2010,13.16
Suicide,,2011,12.54
Suicide,,2012,12.98
Suicide,,2013,12.46
Suicide,,2014,13.05
Suicide,,2015,12.22
Suicide,,2016,12.36
Terrorism,,2004,10.41
Terrorism,,2005,8.36
Terrorism,,2006,7.04
Terrorism,,2007,6.04
Terrorism,,2008,5.79
Terrorism,,2009,5
Terrorism,,2010,4.81
Terrorism,,2011,4.52
Terrorism,,2012,3.58
Terrorism,,2013,4.44
Terrorism,,2014,4.3
Terrorism,,2015,8.28
Terrorism,,2016,7.21
