Entity,Code,Year, (megawatts (MW))
World,OWID_WRL,1976,0.3
World,OWID_WRL,1977,0.85
World,OWID_WRL,1978,1.8
World,OWID_WRL,1979,3.3
World,OWID_WRL,1980,6.5
World,OWID_WRL,1981,12.5
World,OWID_WRL,1982,20
World,OWID_WRL,1983,43
World,OWID_WRL,1984,67
World,OWID_WRL,1985,90
World,OWID_WRL,1986,120
World,OWID_WRL,1987,150
World,OWID_WRL,1988,175
World,OWID_WRL,1989,220
World,OWID_WRL,1990,270
World,OWID_WRL,1991,330
World,OWID_WRL,1992,400
World,OWID_WRL,1993,450
World,OWID_WRL,1994,500
World,OWID_WRL,1995,575
World,OWID_WRL,1996,700
World,OWID_WRL,1997,800
World,OWID_WRL,1998,975
World,OWID_WRL,1999,1250
World,OWID_WRL,2000,1500
World,OWID_WRL,2001,1750
World,OWID_WRL,2002,2300
World,OWID_WRL,2003,3000
World,OWID_WRL,2004,4300
World,OWID_WRL,2005,6000
World,OWID_WRL,2006,8500
World,OWID_WRL,2007,10300
World,OWID_WRL,2008,20000
World,OWID_WRL,2009,30000
World,OWID_WRL,2010,50000
World,OWID_WRL,2011,70000
World,OWID_WRL,2012,100500
World,OWID_WRL,2013,139000
World,OWID_WRL,2014,178000
World,OWID_WRL,2015,228000
World,OWID_WRL,2016,303000
