Entity,Code,Year,Year,Without access to safe sanitation (people),With access to safe sanitation (people)
Albania,ALB,2000,1382342.541,1706684.4594318557
Albania,ALB,2001,1326669.399,1733503.6005264146
Albania,ALB,2002,1291240.61,1759769.3899767688
Albania,ALB,2003,1257177.519,1782438.4807114005
Albania,ALB,2004,1226795.508,1800143.4918288295
Albania,ALB,2005,1199424.017,1812062.983013913
Albania,ALB,2006,1175449.875,1817097.1245408556
Albania,ALB,2007,1154149.539,1815867.46053407
Albania,ALB,2008,1135732.93,1811581.0698847296
Albania,ALB,2009,1118628.486,1808890.5142969657
Albania,ALB,2010,1101682.543,1811338.4567138518
Albania,ALB,2011,1084795.539,1820399.460753113
Albania,ALB,2012,1065092.129,1835308.8714458947
Albania,ALB,2013,1040981.379,1854110.6214667077
Albania,ALB,2014,1016527.594,1872576.4057513203
Albania,ALB,2015,1003145.968,1877557.032420239
Algeria,DZA,2000,24578627.11,6605032.892677927
Algeria,DZA,2001,24937916.1,6654236.896394768
Algeria,DZA,2002,25294989.54,6700056.460738542
Algeria,DZA,2003,25658702.3,6744811.696076563
Algeria,DZA,2004,26039860.77,6791235.229556113
Algeria,DZA,2005,26447013.05,6841423.952064306
Algeria,DZA,2006,26882205.51,6895709.494027372
Algeria,DZA,2007,27346011.64,6954064.356942215
Algeria,DZA,2008,27843364.33,7017350.673412588
Algeria,DZA,2009,28378940.17,7086819.829664161
Algeria,DZA,2010,28954987.7,7162649.304587791
Algeria,DZA,2011,29574303.01,7245254.991199197
Algeria,DZA,2012,30232401.93,7333445.067141491
Algeria,DZA,2013,30914813.06,7423748.935424482
Algeria,DZA,2014,31601653.21,7511659.793433675
Algeria,DZA,2015,32277681.19,7593846.807283326
Andorra,AND,2000,61163.35606,4226.643942857972
Andorra,AND,2001,56962.21068,10378.78931868167
Andorra,AND,2002,52879.60205,17169.39795164818
Andorra,AND,2003,48489.80391,24692.196092309667
Andorra,AND,2004,43444.03985,32799.960153847635
Andorra,AND,2005,37668.90928,41198.09072088004
Andorra,AND,2006,31322.31401,49668.68599120912
Andorra,AND,2007,24604.43568,58078.56431648321
Andorra,AND,2008,17698.83687,66162.16312967247
Andorra,AND,2009,10843.52558,73618.47441758393
Andorra,AND,2010,4266.535046,80182.464953847
Andorra,AND,2011,1425,82325.99999999999
Andorra,AND,2012,3115,79316
Andorra,AND,2013,4886,75902
Andorra,AND,2014,6437,72786
Andorra,AND,2015,7541,70473
Argentina,ARG,2000,26393687.21,10663764.792572359
Argentina,ARG,2001,26749521.2,10721987.798472522
Argentina,ARG,2002,27107774.04,10781595.957999041
Argentina,ARG,2003,27467080.72,10842298.276078628
Argentina,ARG,2004,27825133.14,10903562.858797053
Argentina,ARG,2005,28180408.66,10965079.338905178
Argentina,ARG,2006,28532282,11026608.004048528
Argentina,ARG,2007,28881625.5,11088598.503199412
Argentina,ARG,2008,29230536.98,11151852.024913762
Argentina,ARG,2009,29584672.59,11214734.414392332
Argentina,ARG,2010,29948921.08,11274967.923086667
Argentina,ARG,2011,30318238.1,11338640.904263059
Argentina,ARG,2012,30691330.08,11405408.918492157
Argentina,ARG,2013,31054103.39,11485821.605674703
Argentina,ARG,2014,31487581.33,11493933.673217243
Argentina,ARG,2015,31919270.96,11498494.039734472
Armenia,ARM,2000,3069588,
Armenia,ARM,2001,3050655,
Armenia,ARM,2002,3033897,
Armenia,ARM,2003,3017806,
Armenia,ARM,2004,3000612,
Armenia,ARM,2005,2981259,
Armenia,ARM,2006,2958500,
Armenia,ARM,2007,2933056,
Armenia,ARM,2008,2908220,
Armenia,ARM,2009,2888584,
Armenia,ARM,2010,2877311,
Armenia,ARM,2011,2875581,
Armenia,ARM,2012,2881922,
Armenia,ARM,2013,2893509,
Armenia,ARM,2014,2906220,
Armenia,ARM,2015,2916950,
Australia,AUS,2000,6646902.968,12506097.031771006
Australia,AUS,2001,6775062.803,12637937.196801007
Australia,AUS,2002,6878825.215,12772574.784585007
Australia,AUS,2003,6978261.162,12917138.837855007
Australia,AUS,2004,7046486.918,13080913.082475007
Australia,AUS,2005,6963372.015,13431427.985051982
Australia,AUS,2006,6882433.831,13815466.168827998
Australia,AUS,2007,6597180.583,14230419.416783972
Australia,AUS,2008,6580999.169,14668200.830587989
Australia,AUS,2009,6575308.481,15116391.518740008
Australia,AUS,2010,6466527.524,15565222.47639298
Australia,AUS,2011,6328718.896,16011305.104395999
Australia,AUS,2012,6286586.109,16455888.89137497
Australia,AUS,2013,6246749.694,16899151.30578999
Australia,AUS,2014,6161291.476,17342846.524363007
Australia,AUS,2015,6062546.254,17788237.746327978
Austria,AUT,2000,219749.0015,7791816.998504305
Austria,AUT,2001,223377.7756,7818915.224445191
Austria,AUT,2002,228344.6105,7853612.389547007
Austria,AUT,2003,228393.2047,7893029.795308776
Austria,AUT,2004,239152.7111,7932813.288933478
Austria,AUT,2005,258062.6082,7969766.391818989
Austria,AUT,2006,265528.0122,8003112.987836718
Austria,AUT,2007,261534.4755,8033952.524536599
Austria,AUT,2008,258391.202,8063104.798020797
Austria,AUT,2009,251335.3572,8091987.64283628
Austria,AUT,2010,241836.1993,8121567.8006606875
Austria,AUT,2011,239571.1587,8152071.841294351
Austria,AUT,2012,247081.6419,8182909.358136839
Austria,AUT,2013,266412.3831,8213410.616852637
Austria,AUT,2014,303836.1802,8242519.819773687
Austria,AUT,2015,373195.9538,8269503.046240334
Azerbaijan,AZE,2000,8048600,
Azerbaijan,AZE,2001,8111200,
Azerbaijan,AZE,2002,8171950,
Azerbaijan,AZE,2003,8234100,
