Entity,Code,Year,Share of non-essential products in total household (World Bank Global Consumption Database) (%)
Afghanistan,AFG,2010,0.42864531
Albania,ALB,2010,3.0724823
Armenia,ARM,2010,4.6015558
Azerbaijan,AZE,2010,5.4484344
Bangladesh,BGD,2010,1.2566941
Belarus,BLR,2010,3.3973174
Benin,BEN,2010,2.0853882
Bhutan,BTN,2010,1.9347802
Bolivia,BOL,2010,0.40918535
Bosnia and Herzegovina,BIH,2010,3.5098636
Brazil,BRA,2010,1.3555589
Bulgaria,BGR,2010,8.6390038
Burkina Faso,BFA,2010,1.9452602
Burundi,BDI,2010,3.9420898
Cambodia,KHM,2010,2.2145026
Cameroon,CMR,2010,3.2862983
Cape Verde,CPV,2010,1.5526035
Chad,TCD,2010,3.1855402
China,CHN,2010,2.7320738
Colombia,COL,2010,1.2555177
Congo,COG,2010,1.4380316
Cote d'Ivoire,CIV,2010,1.3197412
Democratic Republic of Congo,COD,2010,1.9571991
Djibouti,DJI,2010,1.392995
Egypt,EGY,2010,2.4201264
El Salvador,SLV,2010,0.010279028
Ethiopia,ETH,2010,1.0017844
Fiji,FJI,2010,1.7306288
Gabon,GAB,2010,1.870753
Gambia,GMB,2010,0.56530488
Ghana,GHA,2010,1.8971914
Guatemala,GTM,2010,2.7779067
Guinea,GIN,2010,0.91868341
Honduras,HND,2010,0.99622083
India,IND,2010,1.3399786
Indonesia,IDN,2010,5.5860538
Iraq,IRQ,2010,0.77422225
Jamaica,JAM,2010,0.88416821
Jordan,JOR,2010,3.7481151
Kazakhstan,KAZ,2010,3.4936383
Kenya,KEN,2010,1.8520168
Kyrgyzstan,KGZ,2010,1.2365619
Laos,LAO,2010,2.2059712
Latvia,LVA,2010,3.7904961
Lesotho,LSO,2010,1.227798
Liberia,LBR,2010,1.4553007
Lithuania,LTU,2010,4.4126291
Macedonia,MKD,2010,5.3640184
Madagascar,MDG,2010,2.8822346
Malawi,MWI,2010,1.1482527
Maldives,MDV,2010,1.1689608
Mali,MLI,2010,1.0992826
Mauritania,MRT,2010,0.47466621
Mauritius,MUS,2010,5.5453453
Mexico,MEX,2010,0.34677705
Moldova,MDA,2010,1.4170697
Mongolia,MNG,2010,1.818161
Montenegro,MNE,2010,3.0194244
Morocco,MAR,2010,2.2510998
Mozambique,MOZ,2010,0.62499154
Namibia,NAM,2010,1.0821161
Nepal,NPL,2010,2.6875997
Nicaragua,NIC,2010,0.9618867
Niger,NER,2010,0.91653836
Nigeria,NGA,2010,0.48390397
Pakistan,PAK,2010,1.0963081
Papua New Guinea,PNG,2010,3.6603117
Peru,PER,2010,0.27088729
Philippines,PHL,2010,1.6905329
Romania,ROU,2010,7.3346972
Russia,RUS,2010,3.3554835
Rwanda,RWA,2010,2.259388
Sao Tome and Principe,STP,2010,4.3117542
Senegal,SEN,2010,0.89384389
Serbia,SRB,2010,5.1469455
Sierra Leone,SLE,2010,3.0057716
South Africa,ZAF,2010,1.1538515
Sri Lanka,LKA,2010,1.7613358
Swaziland,SWZ,2010,0.4851636
Tajikistan,TJK,2010,0.30248451
Tanzania,TZA,2010,2.9281647
Thailand,THA,2010,1.7204206
Timor,TLS,2010,4.2195773
Togo,TGO,2010,2.1574697
Turkey,TUR,2010,5.0563312
Uganda,UGA,2010,1.2949787
Ukraine,UKR,2010,3.9470847
Vietnam,VNM,2010,2.5305264
Yemen,YEM,2010,1.4316754
Zambia,ZMB,2010,1.4270946
