Entity,Code,Year,Countries where homosexuality is legal,Countries where homosexuality is illlegal
World,OWID_WRL,1877,18,183
World,OWID_WRL,1878,18,183
World,OWID_WRL,1879,18,183
World,OWID_WRL,1880,19,182
World,OWID_WRL,1881,19,182
World,OWID_WRL,1882,20,181
World,OWID_WRL,1883,20,181
World,OWID_WRL,1884,20,181
World,OWID_WRL,1885,20,181
World,OWID_WRL,1886,20,181
World,OWID_WRL,1887,21,180
World,OWID_WRL,1888,21,180
World,OWID_WRL,1889,21,180
World,OWID_WRL,1890,22,179
World,OWID_WRL,1891,22,179
World,OWID_WRL,1892,22,179
World,OWID_WRL,1893,22,179
World,OWID_WRL,1894,22,179
World,OWID_WRL,1895,22,179
World,OWID_WRL,1896,22,179
World,OWID_WRL,1897,22,179
World,OWID_WRL,1898,22,179
World,OWID_WRL,1899,23,178
World,OWID_WRL,1900,23,178
World,OWID_WRL,1901,23,178
World,OWID_WRL,1902,23,178
World,OWID_WRL,1903,23,178
World,OWID_WRL,1904,23,178
World,OWID_WRL,1905,23,178
World,OWID_WRL,1906,23,178
World,OWID_WRL,1907,23,178
World,OWID_WRL,1908,23,178
World,OWID_WRL,1909,23,178
World,OWID_WRL,1910,23,178
World,OWID_WRL,1911,23,178
World,OWID_WRL,1912,23,178
World,OWID_WRL,1913,23,178
World,OWID_WRL,1914,23,178
World,OWID_WRL,1915,23,178
World,OWID_WRL,1916,23,178
World,OWID_WRL,1917,23,178
World,OWID_WRL,1918,23,178
World,OWID_WRL,1919,23,178
World,OWID_WRL,1920,23,178
World,OWID_WRL,1921,23,178
World,OWID_WRL,1922,23,178
World,OWID_WRL,1923,23,178
World,OWID_WRL,1924,24,177
World,OWID_WRL,1925,24,177
World,OWID_WRL,1926,24,177
World,OWID_WRL,1927,24,177
World,OWID_WRL,1928,24,177
World,OWID_WRL,1929,24,177
World,OWID_WRL,1930,24,177
World,OWID_WRL,1931,24,177
World,OWID_WRL,1932,26,175
World,OWID_WRL,1933,27,174
World,OWID_WRL,1934,28,173
World,OWID_WRL,1935,28,173
World,OWID_WRL,1936,28,173
World,OWID_WRL,1937,29,172
World,OWID_WRL,1938,29,172
World,OWID_WRL,1939,29,172
World,OWID_WRL,1940,32,169
World,OWID_WRL,1941,32,169
World,OWID_WRL,1942,33,168
World,OWID_WRL,1943,33,168
World,OWID_WRL,1944,34,167
World,OWID_WRL,1945,35,166
World,OWID_WRL,1946,35,166
World,OWID_WRL,1947,35,166
World,OWID_WRL,1948,35,166
World,OWID_WRL,1949,35,166
World,OWID_WRL,1950,36,165
World,OWID_WRL,1951,37,164
World,OWID_WRL,1952,37,164
World,OWID_WRL,1953,38,163
World,OWID_WRL,1954,40,161
World,OWID_WRL,1955,40,161
World,OWID_WRL,1956,40,161
World,OWID_WRL,1957,41,160
World,OWID_WRL,1958,41,160
World,OWID_WRL,1959,41,160
World,OWID_WRL,1960,46,155
World,OWID_WRL,1961,51,150
World,OWID_WRL,1962,54,147
World,OWID_WRL,1963,55,146
World,OWID_WRL,1964,55,146
World,OWID_WRL,1965,55,146
World,OWID_WRL,1966,55,146
World,OWID_WRL,1967,59,142
World,OWID_WRL,1968,60,141
World,OWID_WRL,1969,62,139
World,OWID_WRL,1970,62,139
World,OWID_WRL,1971,65,136
World,OWID_WRL,1972,66,135
World,OWID_WRL,1973,67,134
World,OWID_WRL,1974,67,134
World,OWID_WRL,1975,68,133
World,OWID_WRL,1976,70,131
World,OWID_WRL,1977,73,128
World,OWID_WRL,1978,73,128
World,OWID_WRL,1979,75,126
World,OWID_WRL,1980,76,125
World,OWID_WRL,1981,78,123
World,OWID_WRL,1982,78,123
World,OWID_WRL,1983,79,122
World,OWID_WRL,1984,79,122
World,OWID_WRL,1985,79,122
World,OWID_WRL,1986,80,121
World,OWID_WRL,1987,80,121
World,OWID_WRL,1988,81,120
World,OWID_WRL,1989,82,119
World,OWID_WRL,1990,82,119
World,OWID_WRL,1991,85,116
World,OWID_WRL,1992,87,114
World,OWID_WRL,1993,92,109
World,OWID_WRL,1994,94,107
World,OWID_WRL,1995,97,104
World,OWID_WRL,1996,100,101
World,OWID_WRL,1997,103,98
World,OWID_WRL,1998,109,92
World,OWID_WRL,1999,110,91
World,OWID_WRL,2000,112,89
World,OWID_WRL,2001,112,89
World,OWID_WRL,2002,112,89
World,OWID_WRL,2003,114,87
World,OWID_WRL,2004,116,85
World,OWID_WRL,2005,117,84
World,OWID_WRL,2006,117,84
World,OWID_WRL,2007,117,84
World,OWID_WRL,2008,120,81
World,OWID_WRL,2009,120,81
World,OWID_WRL,2010,122,79
World,OWID_WRL,2011,122,79
World,OWID_WRL,2012,123,78
World,OWID_WRL,2013,124,77
World,OWID_WRL,2014,126,75
World,OWID_WRL,2015,126,75
World,OWID_WRL,2016,128,73
World,OWID_WRL,2017,128,73
World,OWID_WRL,2018,131,70
World,OWID_WRL,2019,133,68
