Entity,Code,Year,Global precipitation anomaly (inches) (inches)
World,OWID_WRL,1901,-0.838933524
World,OWID_WRL,1902,-1.961768776
World,OWID_WRL,1903,-0.571216844
World,OWID_WRL,1904,-1.076335227
World,OWID_WRL,1905,-1.129484862
World,OWID_WRL,1906,-0.272397785
World,OWID_WRL,1907,-0.508618385
World,OWID_WRL,1908,-0.181059153
World,OWID_WRL,1909,0.080358311
World,OWID_WRL,1910,-0.004287404
World,OWID_WRL,1911,-1.196020331
World,OWID_WRL,1912,-0.907831199
World,OWID_WRL,1913,-1.094839174
World,OWID_WRL,1914,-1.205862856
World,OWID_WRL,1915,-0.432634092
World,OWID_WRL,1916,1.72169778
World,OWID_WRL,1917,0.56027983
World,OWID_WRL,1918,-0.435389999
World,OWID_WRL,1919,-1.387359017
World,OWID_WRL,1920,-0.13263393
World,OWID_WRL,1921,0.43429551
World,OWID_WRL,1922,0.718941333
World,OWID_WRL,1923,0.350043496
World,OWID_WRL,1924,0.41067345
World,OWID_WRL,1925,-0.377909653
World,OWID_WRL,1926,-0.646020034
World,OWID_WRL,1927,0.405161636
World,OWID_WRL,1928,0.068547281
World,OWID_WRL,1929,-0.208618223
World,OWID_WRL,1930,-1.202713248
World,OWID_WRL,1931,-0.567279834
World,OWID_WRL,1932,-0.553894
World,OWID_WRL,1933,0.141381966
World,OWID_WRL,1934,0.335082858
World,OWID_WRL,1935,-0.044838607
World,OWID_WRL,1936,0.267759987
World,OWID_WRL,1937,-0.251925333
World,OWID_WRL,1938,-0.105468561
World,OWID_WRL,1939,0.230752093
World,OWID_WRL,1940,-1.023185592
World,OWID_WRL,1941,-0.96728005
World,OWID_WRL,1942,-0.125941013
World,OWID_WRL,1943,-0.243263911
World,OWID_WRL,1944,-0.204287512
World,OWID_WRL,1945,-0.159011897
World,OWID_WRL,1946,-0.235783592
World,OWID_WRL,1947,0.760279938
World,OWID_WRL,1948,0.271303296
World,OWID_WRL,1949,0.002405513
World,OWID_WRL,1950,1.146500619
World,OWID_WRL,1951,-0.246019818
World,OWID_WRL,1952,0.026027573
World,OWID_WRL,1953,0.561854634
World,OWID_WRL,1954,1.526422084
World,OWID_WRL,1955,1.55240635
World,OWID_WRL,1956,1.901225436
World,OWID_WRL,1957,0.149255986
World,OWID_WRL,1958,0.597287724
World,OWID_WRL,1959,1.008705269
World,OWID_WRL,1960,0.919728843
World,OWID_WRL,1961,0.83980754
World,OWID_WRL,1962,0.521303431
World,OWID_WRL,1963,-0.064129956
World,OWID_WRL,1964,0.39492541
World,OWID_WRL,1965,-0.670429496
World,OWID_WRL,1966,0.331145848
World,OWID_WRL,1967,0.376421463
World,OWID_WRL,1968,-0.465704976
World,OWID_WRL,1969,0.126421328
World,OWID_WRL,1970,0.740988589
World,OWID_WRL,1971,-0.012161424
World,OWID_WRL,1972,-0.626334984
World,OWID_WRL,1973,1.509886642
World,OWID_WRL,1974,1.14689432
World,OWID_WRL,1975,1.110280127
World,OWID_WRL,1976,-0.257830848
World,OWID_WRL,1977,-0.447201029
World,OWID_WRL,1978,0.365397835
World,OWID_WRL,1979,0.888626464
World,OWID_WRL,1980,0.377208865
World,OWID_WRL,1981,0.533508162
World,OWID_WRL,1982,-0.712161802
World,OWID_WRL,1983,-1.086177752
World,OWID_WRL,1984,0.019334656
World,OWID_WRL,1985,-0.184602462
World,OWID_WRL,1986,-0.809012248
World,OWID_WRL,1987,-1.322398352
World,OWID_WRL,1988,0.84768156
World,OWID_WRL,1989,0.589020003
World,OWID_WRL,1990,0.117366205
World,OWID_WRL,1991,-0.662555476
World,OWID_WRL,1992,-1.575154394
World,OWID_WRL,1993,-0.997595027
World,OWID_WRL,1994,-0.161767804
World,OWID_WRL,1995,-0.604287728
World,OWID_WRL,1996,0.683901944
World,OWID_WRL,1997,-0.146019764
World,OWID_WRL,1998,0.407130141
World,OWID_WRL,1999,1.33980781
World,OWID_WRL,2000,1.890201808
World,OWID_WRL,2001,-0.125153611
World,OWID_WRL,2002,-0.477516006
World,OWID_WRL,2003,0.148074883
World,OWID_WRL,2004,0.614610568
World,OWID_WRL,2005,0.409886048
World,OWID_WRL,2006,1.449256688
World,OWID_WRL,2007,0.420515975
World,OWID_WRL,2008,1.30831173
World,OWID_WRL,2009,-0.17987805
World,OWID_WRL,2010,2.15476888
World,OWID_WRL,2011,1.959886885
World,OWID_WRL,2012,0.15870481
World,OWID_WRL,2013,0.134689049
World,OWID_WRL,2014,0.007129925
World,OWID_WRL,2015,-0.055468534
