Entity,Code,Year,PM₂.₅ (tonnes),PM₁₀ (tonnes)
United Kingdom,GBR,1970,498000,639000
United Kingdom,GBR,1971,444000,592000
United Kingdom,GBR,1972,394000,528000
United Kingdom,GBR,1973,402000,553000
United Kingdom,GBR,1974,374000,503000
United Kingdom,GBR,1975,332000,476000
United Kingdom,GBR,1976,326000,465000
United Kingdom,GBR,1977,323000,461000
United Kingdom,GBR,1978,311000,451000
United Kingdom,GBR,1979,318000,455000
United Kingdom,GBR,1980,284000,423000
United Kingdom,GBR,1981,272000,407000
United Kingdom,GBR,1982,268000,399000
United Kingdom,GBR,1983,259000,395000
United Kingdom,GBR,1984,235000,354000
United Kingdom,GBR,1985,258000,391000
United Kingdom,GBR,1986,268000,401000
United Kingdom,GBR,1987,250000,396000
United Kingdom,GBR,1988,243000,385000
United Kingdom,GBR,1989,242000,390000
United Kingdom,GBR,1990,237000,376000
United Kingdom,GBR,1991,236000,372000
United Kingdom,GBR,1992,226000,349000
United Kingdom,GBR,1993,211000,325000
United Kingdom,GBR,1994,202000,308000
United Kingdom,GBR,1995,184000,284000
United Kingdom,GBR,1996,182000,283000
United Kingdom,GBR,1997,173000,266000
United Kingdom,GBR,1998,165000,252000
United Kingdom,GBR,1999,162000,245000
United Kingdom,GBR,2000,148000,229000
United Kingdom,GBR,2001,146000,231000
United Kingdom,GBR,2002,130000,203000
United Kingdom,GBR,2003,131000,211000
United Kingdom,GBR,2004,129000,203000
United Kingdom,GBR,2005,127000,199000
United Kingdom,GBR,2006,125000,196000
United Kingdom,GBR,2007,120000,188000
United Kingdom,GBR,2008,119000,180000
United Kingdom,GBR,2009,113000,169000
United Kingdom,GBR,2010,121000,184000
United Kingdom,GBR,2011,110000,170000
United Kingdom,GBR,2012,115000,172000
United Kingdom,GBR,2013,117000,180000
United Kingdom,GBR,2014,111000,172000
United Kingdom,GBR,2015,112000,174000
United Kingdom,GBR,2016,108000,170000
United States,USA,1970,,12183000
United States,USA,1975,,6986000
United States,USA,1980,,6161000
United States,USA,1985,,3587000
United States,USA,1990,2327000,3217000
United States,USA,1991,2317000,3112000
United States,USA,1992,2344000,3140000
United States,USA,1993,2223000,3036000
United States,USA,1994,2183000,2989000
United States,USA,1995,2203000,3055000
United States,USA,1996,2003000,2638000
United States,USA,1997,2012000,2656000
United States,USA,1998,1981000,2585000
United States,USA,1999,2700000,3198000
United States,USA,2000,2600000,3098000
United States,USA,2001,2606000,3127000
United States,USA,2002,2549000,3693000
United States,USA,2003,2542000,3679000
United States,USA,2004,2533000,3660000
United States,USA,2005,2523000,3639000
United States,USA,2006,2353000,3461000
United States,USA,2007,2184000,3283000
United States,USA,2008,2003000,3084000
United States,USA,2009,1927000,2913000
United States,USA,2010,1853000,2747000
United States,USA,2011,1812000,2708000
United States,USA,2012,1806000,2705000
United States,USA,2013,1800000,2702000
United States,USA,2014,1795000,2700000
United States,USA,2015,1766000,2669000
United States,USA,2016,1737000,2639000
