Entity,Code,Year,Women's income as a percent of men's (%)
Armenia,ARM,2014,35.82715607
Bolivia,BOL,2014,57.67441177
Colombia,COL,2014,49.56937027
Georgia,GEO,2014,49.4322052
Ghana,GHA,2014,71.90650177
Kenya,KEN,2014,70.91442871
Laos,LAO,2014,85.88167572
Macedonia,MKD,2014,67.90257263
Sri Lanka,LKA,2014,30.74782562
Ukraine,UKR,2014,54.7790451
Vietnam,VNM,2014,83.2021637
