Entity,Code,Year,17th percentile (%),2.5th percentile (%),83rd percentile (%),97.5th percentile (%),Median (%)
Afghanistan,AFG,215,0.14139882,0.466368831,-0.159571016,-0.516385473,-0.000412998
Albania,ALB,215,0.070284338,0.282678451,-0.159985007,-0.440835266,-0.012783111
Algeria,DZA,215,0.007468226,0.283696139,-0.55346234,-1.057504411,-0.21186027
Angola,AGO,215,-0.248858335,-0.037738255,-0.775741332,-1.158540113,-0.482282052
Argentina,ARG,215,0.021065529,0.268573348,-0.424940797,-0.844056115,-0.135712527
Armenia,ARM,215,0.718054493,1.41610955,-0.055683853,-0.502335429,0.23600087
Australia,AUS,215,-0.006311216,0.097690491,-0.312960327,-0.603901591,-0.119096134
Austria,AUT,215,0.799533176,1.634116454,-0.136467901,-0.761429379,0.220748311
Azerbaijan,AZE,215,0.153152205,0.489815854,-0.134556372,-0.47155796,0.002797592
Bahamas,BHS,215,-0.084881229,0.351905977,-0.783480474,-1.395151192,-0.42008865
Bangladesh,BGD,215,-0.125030143,0.432533502,-1.179007075,-1.91782298,-0.618148152
Belarus,BLR,215,1.073615395,2.259646503,-0.328894756,-1.256382724,0.276998
Belgium,BEL,215,0.431565366,1.00157292,-0.091498851,-0.466983986,0.085669373
Belize,BLZ,215,-0.157680647,0.16506149,-0.932227603,-1.472272538,-0.506206846
Benin,BEN,215,-0.290668347,0.11878166,-1.194901019,-1.809237362,-0.707634663
Bhutan,BTN,215,0.108869021,0.32581169,-0.110789822,-0.339034605,0.000942563
Bolivia,BOL,215,-0.029302202,0.111480892,-0.459190471,-0.857018862,-0.196331692
Bosnia and Herzegovina,BIH,215,0.546490199,1.23693085,-0.095610624,-0.538397322,0.125162286
Botswana,BWA,215,-0.078338192,0.377689104,-0.981331052,-1.657020573,-0.474168635
Brazil,BRA,215,-0.029116697,0.486448034,-0.981957943,-1.732410444,-0.451699229
Brunei,BRN,215,-0.156186002,0.208493305,-1.034683994,-1.588114559,-0.561599433
Bulgaria,BGR,215,0.446071964,1.049572869,-0.083086582,-0.44298774,0.089098556
Burkina Faso,BFA,215,-0.23768962,0.528132088,-1.648876533,-2.602553471,-0.893544824
Burundi,BDI,215,-0.123715702,0.079928182,-0.681035313,-1.098164832,-0.36216219
Cambodia,KHM,215,-0.007356007,0.801827623,-1.485121451,-2.570381411,-0.692178687
Cameroon,CMR,215,-0.284725213,-0.035773311,-0.929534543,-1.3856434,-0.575727881
Canada,CAN,215,0.785828255,1.469341,-0.112472886,-0.640544106,0.28015523
