Entity,Code,Year,"Worried" about terrorism (%)
Algeria,DZA,2014,74.1
Argentina,ARG,2014,26
Armenia,ARM,2014,87.6
Australia,AUS,2014,34.2
Azerbaijan,AZE,2014,79.7
Belarus,BLR,2014,62.6
Brazil,BRA,2014,64.6
Chile,CHL,2014,40
China,CHN,2014,39.2
Colombia,COL,2014,89.9
Cyprus,CYP,2014,48.5
Ecuador,ECU,2014,74.1
Egypt,EGY,2014,75.3
Estonia,EST,2014,45.1
Georgia,GEO,2014,93.3
Germany,DEU,2014,35.5
Ghana,GHA,2014,81.5
Haiti,HTI,2014,91.1
Hong Kong,HKG,2014,36.2
India,IND,2014,60.6
Iraq,IRQ,2014,80.6
Japan,JPN,2014,79.8
Jordan,JOR,2014,54
Kazakhstan,KAZ,2014,75.6
Kuwait,KWT,2014,62.5
Kyrgyzstan,KGZ,2014,76
Lebanon,LBN,2014,72.4
Libya,LBY,2014,81.1
Malaysia,MYS,2014,91.4
Mexico,MEX,2014,86.4
Morocco,MAR,2014,50.1
Netherlands,NLD,2014,10.5
New Zealand,NZL,2014,22.4
Nigeria,NGA,2014,79.7
Pakistan,PAK,2014,73.8
Palestine,PSE,2014,51.6
Peru,PER,2014,83.2
Philippines,PHL,2014,87.4
Poland,POL,2014,44.2
Qatar,QAT,2014,82.5
Romania,ROU,2014,56.5
Russia,RUS,2014,77.4
Rwanda,RWA,2014,96.9
Singapore,SGP,2014,44.2
Slovenia,SVN,2014,34.1
South Africa,ZAF,2014,47.1
South Korea,KOR,2014,53.8
Spain,ESP,2014,54.2
Sweden,SWE,2014,22.4
Taiwan,TWN,2014,57.6
Thailand,THA,2014,54.7
Trinidad and Tobago,TTO,2014,44.3
Tunisia,TUN,2014,96.8
Turkey,TUR,2014,68.1
Ukraine,UKR,2014,62
United States,USA,2014,52.7
Uruguay,URY,2014,47
Uzbekistan,UZB,2014,42.9
World,OWID_WRL,2014,62.6
Yemen,YEM,2014,88.2
Zimbabwe,ZWE,2014,61.1
