Entity,Code,Year,"Domestic work, men","Free time, men","Gainful work, study, men","Meals, personal care, men","Sleep, men","Travel, men","Domestic work, women","Free time, women","Gainful work, study, women","Meals, personal care, women","Sleep, women","Travel, women"
Belgium,BEL,2002,2.6333333333386,5.3666666666774,3.500000000007,2.666666666672,8.2500000000165,1.5833333333365,4.533333333342401,4.833333333343,2.1166666666709,2.7166666666721,8.4833333333503,1.3166666666693
Estonia,EST,2002,2.8000000000056002,5.4666666666776,3.666666666674,2.2500000000045,8.5333333333504,1.2833333333359,5.0333333333434,4.6000000000092,2.5500000000051,2.1333333333376,8.5833333333505,1.1000000000022
Finland,FIN,2002,2.2666666666712003,6.1333333333456,4.0166666666747,2.0166666666707003,8.3666666666834,1.2000000000024,3.9360665000078727,5.4871435000109745,2.818623833338971,2.1014591666708697,8.539262833350412,1.1174425833355683
France,FRA,2002,2.3666666666714002,4.7666666666762,4.0500000000081,3.0166666666727,8.7500000000175,1.0500000000021001,4.500000000009,4.1333333333416,2.5166666666717,3.0333333333394004,8.9166666666845,0.9000000000018
Germany,DEU,2002,2.3483691666713638,5.879250666678425,3.5808466666738283,2.5482301666717633,8.19430950001639,1.4489936833362314,4.1833333333417,5.400000000010801,2.0833333333375,2.7166666666721,8.3166666666833,1.3000000000026
Hungary,HUN,2002,2.651841500005304,5.4871435000109745,3.7692840000075387,2.5184153333383703,8.522584500017047,1.050729616668768,4.95343983334324,4.636553000009273,2.5350936666717367,2.3182765000046364,8.706045500017414,0.8505906500017012
Norway,NOR,2002,2.3666666666714002,6.0500000000121,4.5166666666757,1.7833333333369001,7.9500000000159,1.333333333336,3.780707833340895,5.862595166678393,3.047883333339429,1.965301833337264,8.160999000016323,1.182512150002365
Slovenia,SVN,2002,2.651841500005304,5.5705348333444755,4.119527166674906,2.2182070000044365,8.28908900001658,1.1507990500023018,4.95343983334324,4.486448666675639,2.9854061666726377,2.1348156666709364,8.405837000016811,1.0340513833354015
Sweden,SWE,2002,2.4833333333383,5.400000000010801,4.4166666666755,2.1833333333377003,8.016666666682701,1.500000000003,3.702571166674072,5.053509000010107,3.2022236666730715,2.4683806666716035,8.189019833349711,1.3842945166694354
United Kingdom,GBR,2002,2.30319883333794,5.507649166677682,4.305980500008612,2.069541000004139,8.311543833349957,1.5020862500030043,4.247050500008494,5.07980550001016,2.5482301666717633,2.265093666671197,8.44413600001689,1.4156835000028316
