Entity,Code,Year,"Average daily minutes of work in winter, weighted by employees (Atack and Bateman (1992)) (minutes)"
Agricultural Services,,1880,9.516666685699999
All Industries,,1880,9.8166666863
Blacksmithing,,1880,9.6166666859
Chemicals,,1880,10.0666666868
Clothing,,1880,9.9666666866
Coke/Gas/Oil,,1880,10.1500000203
Construction,,1880,9.3666666854
Fabricated Metals,,1880,9.7833333529
Food,,1880,9.9666666866
Furniture,,1880,9.583333352499999
Glass/Brick,,1880,9.4166666855
Leather,,1880,9.9000000198
Lumber,,1880,9.7166666861
Machinery,,1880,9.483333352299999
Miscellaneous Metals,,1880,9.9666666866
Paper,,1880,10.666666688
Primary Metals,,1880,9.6833333527
Printing,,1880,9.866666686399999
Textiles,,1880,10.116666686899999
Tobacco,,1880,9.766666686199999
Transportation Equipment,,1880,9.9000000198
