Entity,Code,Year,Non-rich to Non-rich (%),Non-rich to Rich (%),Rich to Non-rich (%),Rich to Rich (%)
World,OWID_WRL,1840,0.04995,1.69367,27.41311,70.84328
World,OWID_WRL,1843,0.10469,2.04256,21.68437,76.16839
World,OWID_WRL,1844,0.42611,1.54719,19.43267,78.59403
World,OWID_WRL,1845,0.43141,2.03691,21.82481,75.70687
World,OWID_WRL,1846,0.39993,2.30348,18.79396,78.50263
World,OWID_WRL,1847,0.3083,1.96246,16.91571,80.81354
World,OWID_WRL,1848,0.34519,2.34972,15.95526,81.34983
World,OWID_WRL,1849,0.22996,1.7696,18.11919,79.88126
World,OWID_WRL,1850,0.06422,6.44685,23.9911,69.49783
World,OWID_WRL,1851,0.4224,1.52085,19.09288,78.96388
World,OWID_WRL,1852,0.34002,2.0003,19.27272,78.38696
World,OWID_WRL,1853,0.27672,1.67299,14.84645,83.20384
World,OWID_WRL,1854,0.28439,6.30921,13.13648,80.26991
World,OWID_WRL,1856,0.32111,5.633,19.75761,74.28827
World,OWID_WRL,1857,0.36065,1.65269,15.66372,82.32294
World,OWID_WRL,1858,0.45418,1.86179,17.07919,80.60484
World,OWID_WRL,1859,0.45197,1.57943,15.57891,82.38969
World,OWID_WRL,1860,0.34137,5.18448,21.46137,73.01279
World,OWID_WRL,1861,0.50917,4.14554,13.77433,81.57095
World,OWID_WRL,1862,0.35133,3.77984,15.47785,80.39098
World,OWID_WRL,1863,0.32979,3.476,16.68966,79.50456
World,OWID_WRL,1864,1.16858,7.08786,17.22113,74.52242
World,OWID_WRL,1865,1.29943,8.13942,21.02937,69.53178
World,OWID_WRL,1866,1.20587,5.78244,14.20734,78.80435
World,OWID_WRL,1867,0.93551,6.07264,14.23362,78.75822
World,OWID_WRL,1868,1.2266,6.92538,14.99561,76.85241
World,OWID_WRL,1869,1.11549,5.77415,14.60586,78.5045
World,OWID_WRL,1870,1.63595,9.3621,17.76804,71.2339
World,OWID_WRL,1871,1.32189,7.72304,13.38409,77.57098
World,OWID_WRL,1872,1.52106,8.59659,14.68488,75.19747
World,OWID_WRL,1873,0.84741,8.02068,13.79968,77.33222
World,OWID_WRL,1874,0.91775,7.9327,12.92146,78.22808
World,OWID_WRL,1875,0.92968,8.41256,12.73086,77.92691
World,OWID_WRL,1876,0.83099,8.11659,11.17807,79.87434
World,OWID_WRL,1877,1.07994,7.33494,12.1567,79.42841
World,OWID_WRL,1878,1.83739,7.28974,12.59806,78.27481
World,OWID_WRL,1879,1.5056,7.16906,11.94878,79.37656
World,OWID_WRL,1880,1.33761,8.73739,12.26197,77.66303
World,OWID_WRL,1881,1.41482,8.96375,12.51723,77.10421
World,OWID_WRL,1882,1.2912,8.93986,13.04536,76.72359
World,OWID_WRL,1883,1.4631,8.74146,13.15469,76.64075
World,OWID_WRL,1884,1.45396,9.58467,13.11078,75.85059
World,OWID_WRL,1885,1.40524,9.71962,12.95537,75.91976
World,OWID_WRL,1886,1.52975,10.73136,12.57253,75.16636
World,OWID_WRL,1887,1.47905,11.04017,12.98495,74.49583
World,OWID_WRL,1888,1.67463,11.31936,14.76713,72.23888
World,OWID_WRL,1889,1.64953,11.71585,14.74661,71.88802
World,OWID_WRL,1890,1.73322,11.58092,14.84008,71.84579
World,OWID_WRL,1891,1.89726,12.19592,14.76021,71.14661
World,OWID_WRL,1892,1.91218,12.67773,14.83515,70.57494
World,OWID_WRL,1893,2.16035,12.12755,15.69124,70.02086
World,OWID_WRL,1894,2.22136,12.73376,15.77112,69.27376
World,OWID_WRL,1895,2.10627,13.36023,15.53111,69.00239
World,OWID_WRL,1896,2.02101,12.68215,15.62683,69.67001
World,OWID_WRL,1897,1.81876,11.16552,14.8339,72.18182
World,OWID_WRL,1898,1.8594,12.11121,14.75411,71.27528
World,OWID_WRL,1899,1.66999,12.63605,14.57144,71.12252
World,OWID_WRL,1900,1.53271,12.5404,14.22463,71.70227
World,OWID_WRL,1901,1.66996,12.67162,14.78709,70.87133
World,OWID_WRL,1902,1.66311,13.218,14.5726,70.5463
World,OWID_WRL,1903,1.70644,15.04705,15.06617,68.18034
World,OWID_WRL,1904,1.85418,15.29587,16.32482,66.52514
World,OWID_WRL,1905,1.85749,15.57088,16.76704,65.8046
World,OWID_WRL,1906,1.78802,14.40341,17.76597,66.0426
