Entity,Code,Year,Wind (deaths per million),Rip Current (deaths per million),Winter (deaths per million),Cold (deaths per million),Heat (deaths per million),Hurricane (deaths per million),Tornado (deaths per million),Flood (deaths per million),Lightning (deaths per million)
United States,USA,1994,,,0.110213358,0.197623952,0.110213358,0.034204146,0.262231782,0.345841916,0.262231782
United States,USA,1940,,,,,,0.386005569,0.491967883,0.454124199,2.58
United States,USA,1941,,,,,,0.07496113,0.39729399,0.352317312,2.91
United States,USA,1942,,,,,,0.059320974,2.847406739,0.504228277,2.75
United States,USA,1943,,,,,,0.117010938,0.424164651,0.78251065,3.15
United States,USA,1944,,,,,,0.462436617,1.987032338,0.238443881,3.01
United States,USA,1945,,,,,,0.050025669,1.500770056,0.650333691,1.9
United States,USA,1946,,,,,,0,0.551671201,0.198035816,1.62
United States,USA,1947,,,,,,0.367733607,2.171709794,0.381610347,2.33
United States,USA,1948,,,,,,0.020459479,0.954775673,0.559225751,1.74
United States,USA,1949,,,,,,0.026811785,1.421024582,0.321741415,1.67
United States,USA,1950,,,,,,0.124777193,0.459705448,0.610751524,1.45
United States,USA,1951,,,,,,0,0.219527786,0.329291678,1.62
United States,USA,1952,,,,,,0.019041243,1.459828626,0.342742373,1.36
United States,USA,1953,,,,,,0.012485627,3.215048836,0.249712531,0.91
United States,USA,1954,,,,,,1.183861303,0.22082387,0.337369801,1.36
United States,USA,1955,,,,,,1.31379751,0.759350854,1.820031413,1.1
United States,USA,1956,,,,,,0.124331694,0.49140622,0.248663388,0.89
United States,USA,1957,,,,,,2.296723541,1.110567586,0.476788178,1.06
United States,USA,1958,,,,,,0.011436289,0.377397538,0.268752792,0.6
United States,USA,1959,,,,,,0.134960638,0.326154874,0.140583998,1.04
United States,USA,1960,,,,,,0.359769969,0.260141362,0.935401918,0.72
United States,USA,1961,,,,,,0.250420543,0.277640167,0.506285011,0.82
United States,USA,1962,,,,,,0.021443352,0.150103464,0.284124414,0.84
United States,USA,1963,,,,,,0.058126632,0.163811416,0.216653808,0.89
United States,USA,1964,,,,,,0.255355961,0.380428268,0.740011152,0.69
United States,USA,1965,,,,,,0.38599507,1.523393875,0.967560974,0.78
United States,USA,1966,,,,,,0.274725275,0.498575499,0.284900285,0.57
United States,USA,1967,,,,,,0.090583357,0.573694593,0.266717662,0.45
United States,USA,1968,,,,,,0.044841709,0.652695983,0.283997489,0.65
United States,USA,1969,,,,,,1.263093494,0.325641291,2.195611737,0.66
