Entity,Code,Year,Urban (%),Rural (%)
Austria-Bohemia,,1500,1.7,98.300003
Austria-Bohemia,,1550,1.9,98.099998
Austria-Bohemia,,1600,2.1,97.900002
Austria-Bohemia,,1650,2.4,97.599998
Austria-Bohemia,,1700,3.9,96.099998
Austria-Bohemia,,1750,5.2,94.800003
Austria-Bohemia,,1800,5.2,94.800003
Austria-Bohemia,,1850,6.7,93.300003
Austria-Bohemia,,1890,18.1,81.900002
Austria-Bohemia,,1980,21.3,78.699997
Belgium,BEL,1500,21.1,78.900002
Belgium,BEL,1550,22.7,77.300003
Belgium,BEL,1600,18.8,81.199997
Belgium,BEL,1650,20.8,79.199997
Belgium,BEL,1700,23.9,76.099998
Belgium,BEL,1750,19.6,80.400002
Belgium,BEL,1800,18.9,81.099998
Belgium,BEL,1850,20.5,79.5
Belgium,BEL,1890,34.5,65.5
Belgium,BEL,1980,28.6,71.400002
British Isles,,1500,2,98
British Isles,,1550,2.4,97.599998
British Isles,,1600,4.2,95.800003
British Isles,,1650,6.5,93.5
British Isles,,1700,9.4,90.599998
British Isles,,1750,12.3,87.699997
British Isles,,1800,15.6,84.400002
British Isles,,1850,32.5,67.5
British Isles,,1890,55,45
British Isles,,1980,46.6,53.400002
Central Italy,,1550,11.4,88.599998
Central Italy,,1600,12.5,87.5
Central Italy,,1650,14.2,85.800003
Central Italy,,1700,14.3,85.699997
Central Italy,,1750,14.5,85.5
Central Italy,,1800,13.6,86.400002
Central region,,1500,3.7,96.300003
Central region,,1550,4,96
Central region,,1600,5,95
Central region,,1650,6,94
Central region,,1700,7.1,92.900002
Central region,,1750,7.5,92.5
Central region,,1800,7.1,92.900002
Central region,,1850,12.5,87.5
Central region,,1890,26.8,73.199997
Central region,,1980,36.9,63.099998
Eastern region,,1500,1.1,98.900002
Eastern region,,1550,1.2,98.800003
Eastern region,,1600,1.4,98.599998
Eastern region,,1650,1.7,98.300003
Eastern region,,1700,2.6,97.400002
Eastern region,,1750,3.5,96.5
Eastern region,,1800,4.2,95.800003
Eastern region,,1850,7.5,92.5
Eastern region,,1890,18,82
Eastern region,,1980,24.7,75.300003
England and Wales,,1500,3.1,96.900002
England and Wales,,1550,3.5,96.5
England and Wales,,1600,5.8,94.199997
England and Wales,,1650,8.8,91.199997
England and Wales,,1700,13.3,86.699997
England and Wales,,1750,16.7,83.300003
England and Wales,,1800,20.3,79.699997
England and Wales,,1850,40.8,59.200001
England and Wales,,1890,61.9,38.099998
England and Wales,,1980,50.7,49.299999
Europe,,1500,5.6,94.400002
Europe,,1550,6.3,93.699997
Europe,,1600,7.6,92.400002
Europe,,1650,8.3,91.699997
Europe,,1700,9.2,90.800003
Europe,,1750,9.5,90.5
Europe,,1800,10,90
Europe,,1850,16.7,83.300003
Europe,,1890,29,71
Europe,,1980,34.6,65.400002
France,FRA,1500,4.2,95.800003
France,FRA,1550,4.3,95.699997
France,FRA,1600,5.9,94.099998
France,FRA,1650,7.2,92.800003
France,FRA,1700,9.2,90.800003
France,FRA,1750,9.1,90.900002
France,FRA,1800,8.8,91.199997
France,FRA,1850,14.5,85.5
France,FRA,1890,25.9,74.099998
France,FRA,1980,43.6,56.400002
Germany,DEU,1500,3.2,96.800003
Germany,DEU,1550,3.8,96.199997
Germany,DEU,1600,4.1,95.900002
Germany,DEU,1650,4.4,95.599998
