Entity,Code,Year,"Out-of-school children of primary school age, both sexes (number) ( )"
Afghanistan,AFG,1974,1426509
Afghanistan,AFG,1993,1801311
Albania,ALB,1999,7379
Albania,ALB,2000,11114
Albania,ALB,2001,15034
Albania,ALB,2003,20955
Albania,ALB,2004,21728
Albania,ALB,2008,19506
Albania,ALB,2009,25678
Albania,ALB,2010,20355
Albania,ALB,2011,14349
Albania,ALB,2012,7617
Albania,ALB,2013,7543
Albania,ALB,2014,7097
Algeria,DZA,1973,880924
Algeria,DZA,1974,795716
Algeria,DZA,1975,745547
Algeria,DZA,1976,703287
Algeria,DZA,1977,673539
Algeria,DZA,1978,659841
Algeria,DZA,1979,676565
Algeria,DZA,1980,661494
Algeria,DZA,1981,672971
Algeria,DZA,1982,705638
Algeria,DZA,1983,752956
Algeria,DZA,1984,740974
Algeria,DZA,1985,752600
Algeria,DZA,1986,731063
Algeria,DZA,1987,700548
Algeria,DZA,1988,674815
Algeria,DZA,1989,647002
Algeria,DZA,1990,639056
Algeria,DZA,1991,574880
Algeria,DZA,1992,536032
Algeria,DZA,1993,566592
Algeria,DZA,1994,575607
Algeria,DZA,1995,568904
Algeria,DZA,1996,591562
Algeria,DZA,1997,616474
Algeria,DZA,1999,479596
Algeria,DZA,2000,437505
Algeria,DZA,2001,334326
Algeria,DZA,2002,271521
Algeria,DZA,2003,241308
Algeria,DZA,2004,201196
Algeria,DZA,2005,180601
Algeria,DZA,2006,164337
Algeria,DZA,2007,150037
Algeria,DZA,2008,95889
Algeria,DZA,2009,34474
Algeria,DZA,2010,38431
Algeria,DZA,2011,36008
Angola,AGO,1982,541825
Angola,AGO,1983,601288
Angola,AGO,1998,861757
Angola,AGO,2008,695344
Angola,AGO,2009,739272
Angola,AGO,2010,702477
Angola,AGO,2011,624432
Antigua and Barbuda,ATG,2007,907
Antigua and Barbuda,ATG,2008,786
Antigua and Barbuda,ATG,2009,838
Antigua and Barbuda,ATG,2010,1145
Antigua and Barbuda,ATG,2011,1343
Antigua and Barbuda,ATG,2012,1498
Antigua and Barbuda,ATG,2014,1484
Arab World,,1970,9934588
Arab World,,1971,10174462
Arab World,,1972,10117437
Arab World,,1973,10115734
Arab World,,1974,10184467
Arab World,,1975,10077930
Arab World,,1976,9877695
Arab World,,1977,9879016
Arab World,,1978,9922011
Arab World,,1979,9706649
Arab World,,1980,9576024
Arab World,,1981,9651243
Arab World,,1982,9711130
Arab World,,1983,9743014
Arab World,,1984,9622501
Arab World,,1985,9716425
Arab World,,1986,9680709
Arab World,,1987,9580038
Arab World,,1988,9622697
Arab World,,1989,9885669
Arab World,,1990,9681230
Arab World,,1991,9874968
Arab World,,1992,11057868
Arab World,,1993,11143047
Arab World,,1994,10527042
Arab World,,1995,11026837
Arab World,,1996,10330768
Arab World,,1997,10221166
Arab World,,1998,10025857
Arab World,,1999,9598397
Arab World,,2000,9237684
Arab World,,2001,8642705
Arab World,,2002,8163032
Arab World,,2003,7711154
Arab World,,2004,7418871
Arab World,,2005,7380140
Arab World,,2006,7318671
Arab World,,2007,7088050
Arab World,,2008,6810706
Arab World,,2009,6684285
Arab World,,2010,6319849
Arab World,,2011,6383097
Arab World,,2012,6107980
Arab World,,2013,6482570
Arab World,,2014,6827541
Argentina,ARG,1970,161104
Argentina,ARG,1974,112946
Argentina,ARG,1975,121576
Argentina,ARG,1987,251853
Argentina,ARG,1991,173212
