Entity,Code,Year,"Out-of-school children of primary school age, both sexes (number) ( )"
Argentina,ARG,1998,2576
Argentina,ARG,1999,10303
Argentina,ARG,2000,18856
Argentina,ARG,2003,19166
Argentina,ARG,2004,33543
Argentina,ARG,2005,27214
Argentina,ARG,2006,22028
Argentina,ARG,2007,17665
Argentina,ARG,2008,23399
Argentina,ARG,2009,23694
Argentina,ARG,2010,39583
Argentina,ARG,2011,36776
Argentina,ARG,2012,35163
Argentina,ARG,2013,27986
Armenia,ARM,2002,20624
Armenia,ARM,2003,21887
Armenia,ARM,2005,16519
Armenia,ARM,2006,12476
Armenia,ARM,2007,8292
Aruba,ABW,1999,162
Aruba,ABW,2000,146
Aruba,ABW,2001,292
Aruba,ABW,2002,408
Aruba,ABW,2003,546
Aruba,ABW,2004,480
Aruba,ABW,2005,186
Aruba,ABW,2006,123
Aruba,ABW,2007,96
Aruba,ABW,2008,78
Aruba,ABW,2009,350
Aruba,ABW,2010,94
Aruba,ABW,2014,58
Australia,AUS,1971,57792
Australia,AUS,1973,80274
Australia,AUS,1974,90647
Australia,AUS,1975,49848
Australia,AUS,1976,35324
Australia,AUS,1977,565
Australia,AUS,1978,430
Australia,AUS,1979,243
Australia,AUS,1980,729
Australia,AUS,1981,8816
Australia,AUS,1982,25541
Australia,AUS,1983,39794
Australia,AUS,1984,65569
Australia,AUS,1985,62437
Australia,AUS,1986,50948
Australia,AUS,1987,42262
Australia,AUS,1988,32528
Australia,AUS,1989,31353
Australia,AUS,1990,38023
Australia,AUS,1991,47626
Australia,AUS,1992,51724
Australia,AUS,1993,58414
Australia,AUS,1994,63152
Australia,AUS,1995,99542
Australia,AUS,1996,92342
Australia,AUS,1997,100278
Australia,AUS,1998,102081
Australia,AUS,1999,109615
Australia,AUS,2000,111608
Australia,AUS,2001,114495
Australia,AUS,2002,113215
Australia,AUS,2003,102165
Australia,AUS,2004,94641
Australia,AUS,2005,85238
Australia,AUS,2006,78660
Australia,AUS,2007,63942
Australia,AUS,2008,61752
Australia,AUS,2009,59763
Australia,AUS,2010,55174
Australia,AUS,2011,43046
Australia,AUS,2012,45883
Australia,AUS,2013,50906
Austria,AUT,1971,45910
Austria,AUT,1972,50509
Austria,AUT,1973,57796
Austria,AUT,1974,62281
Austria,AUT,1975,63159
Austria,AUT,1976,65058
Austria,AUT,1989,18908
Azerbaijan,AZE,1991,37824
Azerbaijan,AZE,1992,37049
Azerbaijan,AZE,1993,58523
Azerbaijan,AZE,1994,97132
Azerbaijan,AZE,1995,88243
Azerbaijan,AZE,1996,49899
Azerbaijan,AZE,1997,74384
Azerbaijan,AZE,1998,84826
Azerbaijan,AZE,1999,56897
Azerbaijan,AZE,2000,84704
Azerbaijan,AZE,2001,102011
Azerbaijan,AZE,2002,102629
Azerbaijan,AZE,2003,110026
Azerbaijan,AZE,2004,98088
Azerbaijan,AZE,2005,95428
Azerbaijan,AZE,2006,92606
Azerbaijan,AZE,2007,89421
Azerbaijan,AZE,2008,84545
Azerbaijan,AZE,2009,74675
Azerbaijan,AZE,2010,78445
Azerbaijan,AZE,2011,64313
Azerbaijan,AZE,2012,53736
Azerbaijan,AZE,2013,31378
Azerbaijan,AZE,2014,22821
Bahamas,BHS,1972,26
Bahamas,BHS,1973,1167
Bahamas,BHS,1974,192
Bahamas,BHS,1976,351
Bahamas,BHS,1980,878
Bahamas,BHS,1984,1298
Bahamas,BHS,1992,4050
Bahamas,BHS,1993,3954
Bahamas,BHS,1994,2603
Bahamas,BHS,1999,3037
Bahamas,BHS,2004,1948
Bahamas,BHS,2005,482
Bahamas,BHS,2006,956
Bahamas,BHS,2007,446
Bahamas,BHS,2008,460
Bahamas,BHS,2009,1237
Bahamas,BHS,2010,691
Bahrain,BHR,1971,8621
Bahrain,BHR,1972,7537
Bahrain,BHR,1973,7182
Bahrain,BHR,1974,6714
Bahrain,BHR,1975,5625
Bahrain,BHR,1976,7142
Bahrain,BHR,1977,7407
Bahrain,BHR,1978,8512
Bahrain,BHR,1979,8439
Bahrain,BHR,1980,7831
Bahrain,BHR,1981,8127
Bahrain,BHR,1982,8980
Bahrain,BHR,1983,7947
Bahrain,BHR,1984,6504
Bahrain,BHR,1985,4434
Bahrain,BHR,1986,1933
Bahrain,BHR,1987,2321
Bahrain,BHR,1988,924
Bahrain,BHR,1989,536
Bahrain,BHR,1991,329
Bahrain,BHR,1992,1888
Bahrain,BHR,1993,1265
Bahrain,BHR,1994,1324
Bahrain,BHR,1995,603
Bahrain,BHR,1996,54
Bahrain,BHR,1997,90
Bahrain,BHR,1998,205
Bahrain,BHR,1999,304
Bangladesh,BGD,1970,4686463
Bangladesh,BGD,1973,3080533
Bangladesh,BGD,1976,2603403
Bangladesh,BGD,1977,3194184
Bangladesh,BGD,1978,3326246
Bangladesh,BGD,1981,3866669
Bangladesh,BGD,1983,4362215
Bangladesh,BGD,1984,4689133
Bangladesh,BGD,1985,5082705
Bangladesh,BGD,1986,5376168
Bangladesh,BGD,1987,5666426
Bangladesh,BGD,1988,4336629
Bangladesh,BGD,1989,4424934
Bangladesh,BGD,1990,4056523
Bangladesh,BGD,2005,760657
Bangladesh,BGD,2006,683536
Bangladesh,BGD,2008,1186434
Bangladesh,BGD,2009,1028774
Bangladesh,BGD,2010,907160
Barbados,BRB,1971,5165
Barbados,BRB,1972,4463
Barbados,BRB,1973,4084
Barbados,BRB,1976,361
Barbados,BRB,1977,495
Barbados,BRB,1978,522
Barbados,BRB,1979,337
Barbados,BRB,1981,1711
Barbados,BRB,1982,1719
Barbados,BRB,1983,1119
Barbados,BRB,1989,73
Barbados,BRB,1990,597
Barbados,BRB,1992,2576
Barbados,BRB,1999,683
Barbados,BRB,2000,1079
Barbados,BRB,2001,1313
Barbados,BRB,2002,1950
Barbados,BRB,2003,1985
Barbados,BRB,2004,2235
Barbados,BRB,2005,2250
Barbados,BRB,2006,1811
Barbados,BRB,2007,1178
Barbados,BRB,2008,720
Barbados,BRB,2009,1393
Barbados,BRB,2010,1118
Barbados,BRB,2011,1460
Barbados,BRB,2014,1925
Belarus,BLR,1995,79101
Belarus,BLR,2001,17036
Belarus,BLR,2002,29813
Belarus,BLR,2003,27481
Belarus,BLR,2004,32236
Belarus,BLR,2005,38399
Belarus,BLR,2006,36707
Belarus,BLR,2007,35698
Belarus,BLR,2009,27724
Belarus,BLR,2010,29736
Belarus,BLR,2011,31397
Belarus,BLR,2012,20683
Belarus,BLR,2013,24937
Belarus,BLR,2014,22130
Belgium,BEL,1977,20725
Belgium,BEL,1979,6353
Belgium,BEL,1980,2492
Belgium,BEL,1981,13201
Belgium,BEL,1982,14216
Belgium,BEL,1983,40093
Belgium,BEL,1984,46132
Belgium,BEL,1985,50255
Belgium,BEL,1986,41021
Belgium,BEL,1987,32302
Belgium,BEL,1988,24732
Belgium,BEL,1991,29248
Belgium,BEL,1992,40285
Belgium,BEL,1993,22274
Belgium,BEL,1994,27063
Belgium,BEL,1995,26798
Belgium,BEL,1996,23156
Belgium,BEL,1999,7070
Belgium,BEL,2000,5972
Belgium,BEL,2001,6580
Belgium,BEL,2002,6377
Belgium,BEL,2003,12519
Belgium,BEL,2004,23721
Belgium,BEL,2005,24455
Belgium,BEL,2006,19736
Belgium,BEL,2007,11866
Belgium,BEL,2008,7094
Belgium,BEL,2009,6918
Belgium,BEL,2010,8936
Belgium,BEL,2011,8757
Belgium,BEL,2012,6129
Belgium,BEL,2013,5754
Belgium,BEL,2014,6538
Belize,BLZ,1999,298
Belize,BLZ,2000,1418
Belize,BLZ,2001,2605
Belize,BLZ,2003,2601
Belize,BLZ,2004,1966
Belize,BLZ,2005,2185
Belize,BLZ,2006,1940
Belize,BLZ,2007,2157
Belize,BLZ,2008,1720
Belize,BLZ,2009,1337
Belize,BLZ,2010,928
Belize,BLZ,2011,1091
Belize,BLZ,2012,203
Belize,BLZ,2013,522
Belize,BLZ,2014,397
Benin,BEN,1984,339671
Benin,BEN,1985,345407
Benin,BEN,1986,369302
Benin,BEN,1988,397801
Benin,BEN,1989,407708
Benin,BEN,1990,498742
Benin,BEN,1992,449398
Benin,BEN,1993,430472
Benin,BEN,1994,435125
Benin,BEN,1995,427228
Benin,BEN,1996,418157
Benin,BEN,1997,399210
Benin,BEN,2003,215864
Benin,BEN,2004,184474
Benin,BEN,2005,244081
Benin,BEN,2006,210515
Benin,BEN,2008,180099
Benin,BEN,2009,100102
Benin,BEN,2010,90392
Benin,BEN,2011,93598
Benin,BEN,2012,83147
Benin,BEN,2014,70228
Bermuda,BMU,1978,1084
Bermuda,BMU,1979,1181
Bermuda,BMU,1984,481
Bermuda,BMU,1985,336
Bermuda,BMU,2005,116
Bermuda,BMU,2011,585
Bermuda,BMU,2012,797
Bhutan,BTN,1978,46106
Bhutan,BTN,1979,46110
Bhutan,BTN,1998,48196
Bhutan,BTN,1999,47474
Bhutan,BTN,2000,44411
Bhutan,BTN,2001,40230
Bhutan,BTN,2005,28457
Bhutan,BTN,2006,24372
Bhutan,BTN,2008,18465
Bhutan,BTN,2009,13741
Bhutan,BTN,2010,11610
Bhutan,BTN,2011,10892
Bhutan,BTN,2012,9248
Bhutan,BTN,2013,10784
Bhutan,BTN,2014,10967
Bolivia,BOL,1998,57261
Bolivia,BOL,1999,56087
Bolivia,BOL,2000,48120
Bolivia,BOL,2001,47705
Bolivia,BOL,2002,43227
Bolivia,BOL,2003,37134
Bolivia,BOL,2006,40640
Bolivia,BOL,2007,44649
Bolivia,BOL,2008,68095
Bosnia and Herzegovina,BIH,2011,5970
Bosnia and Herzegovina,BIH,2012,2867
Bosnia and Herzegovina,BIH,2013,764
Bosnia and Herzegovina,BIH,2014,1668
Botswana,BWA,1970,78154
Botswana,BWA,1971,84026
Botswana,BWA,1972,83936
Botswana,BWA,1973,83759
Botswana,BWA,1974,79507
Botswana,BWA,1975,71412
Botswana,BWA,1976,66051
Botswana,BWA,1977,60776
Botswana,BWA,1978,61028
Botswana,BWA,1979,59884
Botswana,BWA,1980,53538
Botswana,BWA,1981,44979
Botswana,BWA,1983,40271
Botswana,BWA,1984,41176
Botswana,BWA,1985,38442
Botswana,BWA,1986,37602
Botswana,BWA,1987,36925
Botswana,BWA,1988,37007
Botswana,BWA,1989,36732
Botswana,BWA,1990,39238
Botswana,BWA,1991,34341
Botswana,BWA,1992,37156
Botswana,BWA,1993,39687
Botswana,BWA,1994,41030
Botswana,BWA,1995,69180
Botswana,BWA,1996,68537
Botswana,BWA,1998,59508
Botswana,BWA,1999,60478
Botswana,BWA,2000,55797
Botswana,BWA,2001,49558
Botswana,BWA,2002,47714
Botswana,BWA,2003,46876
Botswana,BWA,2004,44151
Botswana,BWA,2005,47039
Botswana,BWA,2006,43681
Botswana,BWA,2007,46163
Botswana,BWA,2008,47322
Botswana,BWA,2009,46122
Botswana,BWA,2012,28694
Botswana,BWA,2013,27054
Brazil,BRA,1999,243626
Brazil,BRA,2001,149812
Brazil,BRA,2002,431963
Brazil,BRA,2003,767959
Brazil,BRA,2004,626699
Brazil,BRA,2005,548940
Brazil,BRA,2007,1056614
Brazil,BRA,2008,197162
Brazil,BRA,2009,454365
Brazil,BRA,2011,535410
Brazil,BRA,2012,555203
Brazil,BRA,2013,949869
Brunei,BRN,1977,2645
Brunei,BRN,1978,2493
Brunei,BRN,1979,5001
Brunei,BRN,1980,4949
Brunei,BRN,1981,6050
Brunei,BRN,1982,6698
Brunei,BRN,1983,6616
Brunei,BRN,1984,6753
Brunei,BRN,1986,6487
Brunei,BRN,1991,2940
Brunei,BRN,1992,2246
Brunei,BRN,1993,1314
Brunei,BRN,1994,1357
Brunei,BRN,1995,441
Bulgaria,BGR,1996,24510
Bulgaria,BGR,1997,19956
Bulgaria,BGR,1998,9170
Bulgaria,BGR,1999,7615
Bulgaria,BGR,2000,7891
Bulgaria,BGR,2001,5904
Bulgaria,BGR,2002,8297
Bulgaria,BGR,2003,8051
Bulgaria,BGR,2004,9116
Bulgaria,BGR,2005,17803
Bulgaria,BGR,2006,21313
Bulgaria,BGR,2007,11652
Bulgaria,BGR,2008,6076
Bulgaria,BGR,2009,2386
Bulgaria,BGR,2010,1682
Bulgaria,BGR,2011,3528
Bulgaria,BGR,2012,7582
Bulgaria,BGR,2013,8628
Bulgaria,BGR,2014,9514
Burkina Faso,BFA,1971,776352
Burkina Faso,BFA,1972,787916
Burkina Faso,BFA,1977,865997
Burkina Faso,BFA,1978,884325
Burkina Faso,BFA,1979,902432
Burkina Faso,BFA,1980,915929
Burkina Faso,BFA,1981,923518
Burkina Faso,BFA,1982,928081
Burkina Faso,BFA,1983,940177
Burkina Faso,BFA,1984,955187
Burkina Faso,BFA,1985,962731
Burkina Faso,BFA,1986,969101
Burkina Faso,BFA,1987,981228
Burkina Faso,BFA,1988,1010572
Burkina Faso,BFA,1989,1042711
Burkina Faso,BFA,1991,1089177
Burkina Faso,BFA,1992,1113415
Burkina Faso,BFA,1993,1130994
Burkina Faso,BFA,1994,1143518
Burkina Faso,BFA,1995,1146258
Burkina Faso,BFA,1998,1167314
Burkina Faso,BFA,1999,1188850
Burkina Faso,BFA,2000,1197399
Burkina Faso,BFA,2001,1207757
Burkina Faso,BFA,2002,1261522
Burkina Faso,BFA,2003,1250793
Burkina Faso,BFA,2004,1244428
Burkina Faso,BFA,2005,1176916
Burkina Faso,BFA,2006,1128686
Burkina Faso,BFA,2007,1039440
Burkina Faso,BFA,2008,928645
Burkina Faso,BFA,2009,888566
Burkina Faso,BFA,2010,1050561
Burkina Faso,BFA,2011,959305
Burkina Faso,BFA,2012,959334
Burkina Faso,BFA,2013,965697
Burkina Faso,BFA,2014,956718
Burundi,BDI,1973,469442
Burundi,BDI,1978,497618
Burundi,BDI,1980,496782
Burundi,BDI,1981,488088
Burundi,BDI,1982,474223
Burundi,BDI,1983,445336
Burundi,BDI,1984,428562
Burundi,BDI,1985,416906
Burundi,BDI,1986,419159
Burundi,BDI,1987,405637
Burundi,BDI,1988,410318
Burundi,BDI,1993,529619
Burundi,BDI,2000,734986
Burundi,BDI,2001,637737
Burundi,BDI,2002,650886
Burundi,BDI,2003,614530
Burundi,BDI,2004,602517
Burundi,BDI,2005,570558
Burundi,BDI,2006,364886
Burundi,BDI,2007,281365
Burundi,BDI,2008,151965
Burundi,BDI,2009,181554
Burundi,BDI,2010,119330
Burundi,BDI,2013,137919
Burundi,BDI,2014,69246
Cambodia,KHM,1997,355328
Cambodia,KHM,1998,321430
Cambodia,KHM,1999,282977
Cambodia,KHM,2000,162128
Cambodia,KHM,2003,48677
Cambodia,KHM,2006,110687
Cambodia,KHM,2007,86739
Cambodia,KHM,2008,109402
Cambodia,KHM,2010,123750
Cambodia,KHM,2011,45378
Cambodia,KHM,2012,46913
Cambodia,KHM,2014,96797
Cameroon,CMR,1971,390482
Cameroon,CMR,1972,416834
Cameroon,CMR,1973,452179
Cameroon,CMR,1974,492945
Cameroon,CMR,1975,434367
Cameroon,CMR,1976,430141
Cameroon,CMR,1977,461737
Cameroon,CMR,1978,461752
Cameroon,CMR,1979,465990
Cameroon,CMR,1980,478304
Cameroon,CMR,1988,503593
Cameroon,CMR,1990,559612
Cameroon,CMR,1991,619140
Cameroon,CMR,2008,559907
Cameroon,CMR,2009,482133
Cameroon,CMR,2012,206226
Cameroon,CMR,2014,193251
Canada,CAN,1982,95552
Canada,CAN,1983,100903
Canada,CAN,1984,112801
Canada,CAN,1985,115948
Canada,CAN,1986,109332
Canada,CAN,1987,108741
Canada,CAN,1988,109779
Canada,CAN,1989,105603
Canada,CAN,1990,106737
Canada,CAN,1991,49638
Canada,CAN,1992,56367
Canada,CAN,1993,95251
Canada,CAN,1994,109225
Canada,CAN,1995,136752
Canada,CAN,1996,115168
Canada,CAN,1998,36119
Canada,CAN,1999,5292
Canada,CAN,2000,1908
Canada,CAN,2012,11441
Canada,CAN,2013,11917
Cape Verde,CPV,1981,5617
Cape Verde,CPV,1982,6247
Cape Verde,CPV,1983,7666
Cape Verde,CPV,1984,4354
Cape Verde,CPV,1985,2870
Cape Verde,CPV,1986,2145
Cape Verde,CPV,1987,1458
Cape Verde,CPV,1988,202
Cape Verde,CPV,1990,453
Cape Verde,CPV,1994,550
Cape Verde,CPV,1998,144
Cape Verde,CPV,2000,1795
Cape Verde,CPV,2001,3602
Cape Verde,CPV,2002,3842
Cape Verde,CPV,2003,4190
Cape Verde,CPV,2004,5382
Cape Verde,CPV,2005,5463
Cape Verde,CPV,2006,5586
Cape Verde,CPV,2007,5411
Cape Verde,CPV,2008,5173
Cape Verde,CPV,2009,4223
Cape Verde,CPV,2010,3028
Cape Verde,CPV,2011,2016
Cape Verde,CPV,2012,943
Cape Verde,CPV,2013,939
Cape Verde,CPV,2014,1041
Central African Republic,CAF,1971,136361
Central African Republic,CAF,1972,133286
Central African Republic,CAF,1973,130926
Central African Republic,CAF,1977,157217
Central African Republic,CAF,1978,162239
Central African Republic,CAF,1981,158806
Central African Republic,CAF,1982,157513
Central African Republic,CAF,1983,156151
Central African Republic,CAF,1986,159065
Central African Republic,CAF,1987,208055
Central African Republic,CAF,1988,224466
Central African Republic,CAF,1989,230910
Central African Republic,CAF,1990,196510
Central African Republic,CAF,1991,222394
Central African Republic,CAF,2005,326755
Central African Republic,CAF,2006,331029
Central African Republic,CAF,2007,282845
Central African Republic,CAF,2008,225496
Central African Republic,CAF,2009,224934
Central African Republic,CAF,2010,210251
Central African Republic,CAF,2011,225743
Central African Republic,CAF,2012,206651
Chad,TCD,1975,472860
Chad,TCD,1977,490840
Chad,TCD,1988,612775
Chad,TCD,1996,764534
Chad,TCD,1997,725753
Chad,TCD,1998,686690
Chad,TCD,1999,688523
Chad,TCD,2000,692216
Chad,TCD,2001,700421
Chad,TCD,2002,677007
Chad,TCD,2003,682497
Chad,TCD,2011,795781
Chad,TCD,2013,356685
Chile,CHL,2007,36311
Chile,CHL,2008,42852
Chile,CHL,2009,79413
Chile,CHL,2010,74094
Chile,CHL,2011,93540
Chile,CHL,2012,101356
Chile,CHL,2013,110018
Chile,CHL,2014,101222
China,CHN,1987,5660341
China,CHN,1988,3669106
China,CHN,1989,3362268
China,CHN,1990,3006953
China,CHN,1991,2779462
China,CHN,1992,2768094
China,CHN,1993,4165539
China,CHN,1994,6206704
China,CHN,1995,8735886
China,CHN,1996,10988655
China,CHN,1997,12543775
Colombia,COL,1982,1049568
Colombia,COL,1984,1156880
Colombia,COL,1985,1240509
Colombia,COL,1986,1350238
Colombia,COL,1987,1357876
Colombia,COL,1988,1398648
Colombia,COL,1989,1427801
Colombia,COL,1991,1355641
Colombia,COL,1992,1042639
Colombia,COL,1993,1010745
Colombia,COL,1994,964712
Colombia,COL,1995,813739
Colombia,COL,1996,588943
Colombia,COL,1998,261508
Colombia,COL,1999,157946
Colombia,COL,2000,106326
Colombia,COL,2001,125777
Colombia,COL,2002,103733
Colombia,COL,2004,118170
Colombia,COL,2005,105729
Colombia,COL,2006,148560
Colombia,COL,2007,172661
Colombia,COL,2008,151525
Colombia,COL,2009,128620
Colombia,COL,2010,113697
Colombia,COL,2011,109587
Colombia,COL,2012,229889
Colombia,COL,2013,279451
Colombia,COL,2014,309168
Comoros,COM,1983,7463
Comoros,COM,1986,11137
Comoros,COM,1987,16519
Comoros,COM,1994,25221
Comoros,COM,1999,35928
Comoros,COM,2000,30294
Comoros,COM,2007,22096
Comoros,COM,2013,16820
Congo,COG,1972,35755
Congo,COG,1974,23086
Congo,COG,1976,16762
Congo,COG,1978,8142
Congo,COG,1979,7721
Congo,COG,1980,32199
Congo,COG,1981,36355
Congo,COG,1982,35898
Congo,COG,1983,35773
Congo,COG,1984,32825
Congo,COG,2005,248765
Congo,COG,2006,236410
Congo,COG,2010,66529
Congo,COG,2012,47349
Costa Rica,CRI,1970,39882
Costa Rica,CRI,1972,34827
Costa Rica,CRI,1973,32341
Costa Rica,CRI,1975,33542
Costa Rica,CRI,1976,28299
Costa Rica,CRI,1978,33086
Costa Rica,CRI,1979,37069
Costa Rica,CRI,1980,35909
Costa Rica,CRI,1981,33376
Costa Rica,CRI,1982,38864
Costa Rica,CRI,1985,50535
Costa Rica,CRI,1986,48495
Costa Rica,CRI,1987,49246
Costa Rica,CRI,1989,50729
Costa Rica,CRI,1990,52131
Costa Rica,CRI,1991,51157
Costa Rica,CRI,1992,43221
Costa Rica,CRI,1993,40543
Costa Rica,CRI,1994,43175
Costa Rica,CRI,1995,35704
Costa Rica,CRI,1996,24404
Costa Rica,CRI,2011,2460
Costa Rica,CRI,2012,2286
Costa Rica,CRI,2013,6566
Costa Rica,CRI,2014,15638
Cote d'Ivoire,CIV,1977,568840
Cote d'Ivoire,CIV,1991,1047801
Cote d'Ivoire,CIV,1992,1073142
Cote d'Ivoire,CIV,1996,1067429
Cote d'Ivoire,CIV,1997,1072308
Cote d'Ivoire,CIV,1999,1078985
Cote d'Ivoire,CIV,2000,1130373
Cote d'Ivoire,CIV,2001,1045752
Cote d'Ivoire,CIV,2002,1071106
Cote d'Ivoire,CIV,2003,1227760
Cote d'Ivoire,CIV,2009,1414361
Cote d'Ivoire,CIV,2013,1035098
Cote d'Ivoire,CIV,2014,878850
Croatia,HRV,1998,36193
Croatia,HRV,1999,16180
Croatia,HRV,2000,12760
Croatia,HRV,2001,7727
Croatia,HRV,2002,3345
Croatia,HRV,2003,735
Croatia,HRV,2005,2081
Croatia,HRV,2006,2204
Croatia,HRV,2007,2354
Croatia,HRV,2008,5603
Croatia,HRV,2009,16409
Croatia,HRV,2010,9849
Croatia,HRV,2011,5509
Croatia,HRV,2012,2660
Croatia,HRV,2014,2676
Cuba,CUB,1972,98823
Cuba,CUB,1973,80424
Cuba,CUB,1974,68459
Cuba,CUB,1979,23436
Cuba,CUB,1980,33570
Cuba,CUB,1981,63525
Cuba,CUB,1982,76887
Cuba,CUB,1983,72630
Cuba,CUB,1984,86931
Cuba,CUB,1985,100649
Cuba,CUB,1986,89393
Cuba,CUB,1987,67628
Cuba,CUB,1988,65810
Cuba,CUB,1989,63004
Cuba,CUB,1990,66674
Cuba,CUB,1991,71640
Cuba,CUB,1992,52889
Cuba,CUB,1993,46486
Cuba,CUB,1994,25625
Cuba,CUB,1995,27433
Cuba,CUB,1996,8019
Cuba,CUB,1997,10437
Cuba,CUB,1998,13066
Cuba,CUB,1999,11229
Cuba,CUB,2000,17763
Cuba,CUB,2001,24318
Cuba,CUB,2002,27201
Cuba,CUB,2003,44641
Cuba,CUB,2004,45096
Cuba,CUB,2005,45295
Cuba,CUB,2006,43286
Cuba,CUB,2007,22746
Cuba,CUB,2008,15799
Cuba,CUB,2009,1595
Cuba,CUB,2010,1778
Cuba,CUB,2011,10833
Cuba,CUB,2012,23800
Cuba,CUB,2013,28314
Cuba,CUB,2014,53245
Cyprus,CYP,1971,15958
Cyprus,CYP,1972,16551
Cyprus,CYP,1973,16273
Cyprus,CYP,1974,16466
Cyprus,CYP,1975,20937
Cyprus,CYP,1976,22368
Cyprus,CYP,1977,22731
Cyprus,CYP,1978,21868
Cyprus,CYP,1979,21002
Cyprus,CYP,1980,21113
Cyprus,CYP,1981,18913
Cyprus,CYP,1982,20969
Cyprus,CYP,1983,20871
Cyprus,CYP,1984,20757
Cyprus,CYP,1985,20325
Cyprus,CYP,1986,17336
Cyprus,CYP,1987,14826
Cyprus,CYP,1988,14186
Cyprus,CYP,1989,14590
Cyprus,CYP,1990,15642
Cyprus,CYP,1991,16012
Cyprus,CYP,1992,17854
Cyprus,CYP,1993,1508
Cyprus,CYP,1994,1986
Cyprus,CYP,1995,2460
Cyprus,CYP,1996,2516
Cyprus,CYP,1997,2411
Cyprus,CYP,1999,1567
Cyprus,CYP,2000,1276
Cyprus,CYP,2001,1620
Cyprus,CYP,2002,973
Cyprus,CYP,2003,879
Cyprus,CYP,2004,783
Cyprus,CYP,2005,205
Cyprus,CYP,2006,280
Cyprus,CYP,2007,371
Cyprus,CYP,2008,571
Cyprus,CYP,2009,453
Cyprus,CYP,2010,386
Cyprus,CYP,2011,387
Cyprus,CYP,2012,988
Cyprus,CYP,2013,1358
Cyprus,CYP,2014,1535
Democratic Republic of Congo,COD,1971,981909
Democratic Republic of Congo,COD,1972,1071590
Democratic Republic of Congo,COD,1975,1078173
Democratic Republic of Congo,COD,1979,1095881
Democratic Republic of Congo,COD,1983,1105887
Democratic Republic of Congo,COD,1984,1105079
