Entity,Code,Year,"TIMSS: Mean performance on the science scale for fourth grade students, total"
Algeria,DZA,2007,353.819252571125
Armenia,ARM,2003,436.528134792769
Armenia,ARM,2007,484.386840578583
Armenia,ARM,2011,416.083203002665
Australia,AUS,1995,521
Australia,AUS,2003,521
Australia,AUS,2007,527
Australia,AUS,2011,516
Australia,AUS,2015,524
Austria,AUT,1995,537.801157282587
Austria,AUT,2007,525.626764752944
Austria,AUT,2011,531.502150328741
Azerbaijan,AZE,2011,438.06629595546
Bahrain,BHR,2011,449
Bahrain,BHR,2015,459
Bulgaria,BGR,2015,536
Canada,CAN,1995,525.343409072365
Canada,CAN,2015,525
Chile,CHL,2011,480
Chile,CHL,2015,478
Colombia,COL,2007,400.304571920106
Croatia,HRV,2011,516
Croatia,HRV,2015,533
Cyprus,CYP,1995,450
Cyprus,CYP,2003,480
Cyprus,CYP,2015,481
Czech Republic,CZE,1995,532
Czech Republic,CZE,2007,515
Czech Republic,CZE,2011,536
Czech Republic,CZE,2015,534
Denmark,DNK,2007,517
Denmark,DNK,2011,528
Denmark,DNK,2015,527
El Salvador,SLV,2007,389.582953269441
Finland,FIN,2011,570
Finland,FIN,2015,554
France,FRA,2015,487
Georgia,GEO,2007,418
Georgia,GEO,2011,455
Georgia,GEO,2015,451
Germany,DEU,2007,528
Germany,DEU,2011,528
Germany,DEU,2015,528
Greece,GRC,1995,472.743577154579
Hong Kong,HKG,1995,508
Hong Kong,HKG,2003,542
Hong Kong,HKG,2007,554
Hong Kong,HKG,2011,535
Hong Kong,HKG,2015,557
Hungary,HUN,1995,508
Hungary,HUN,2003,530
Hungary,HUN,2007,536
Hungary,HUN,2011,534
Hungary,HUN,2015,542
Iceland,ISL,1995,479.035409719059
Indonesia,IDN,2015,397
Iran,IRN,1995,380
Iran,IRN,2003,414
Iran,IRN,2007,436
Iran,IRN,2011,453
Iran,IRN,2015,421
Ireland,IRL,1995,515
Ireland,IRL,2011,516
Ireland,IRL,2015,529
Israel,ISR,1995,482.472819464808
Italy,ITA,2003,516
Italy,ITA,2007,535
Italy,ITA,2011,524
Italy,ITA,2015,516
Japan,JPN,1995,553
Japan,JPN,2003,543
Japan,JPN,2007,548
Japan,JPN,2011,559
Japan,JPN,2015,569
Kazakhstan,KAZ,2007,532.830391436105
Kazakhstan,KAZ,2011,495
Kazakhstan,KAZ,2015,550
Kuwait,KWT,1995,360.057271427715
Kuwait,KWT,2007,348.15114661949
Kuwait,KWT,2011,347
Kuwait,KWT,2015,315
Latvia,LVA,1995,486.3831497841
Latvia,LVA,2003,531.520859319496
Latvia,LVA,2007,541.895062388756
Lithuania,LTU,2003,512
Lithuania,LTU,2007,514
Lithuania,LTU,2011,515
Lithuania,LTU,2015,530
Malta,MLT,2011,445.825745802997
Moldova,MDA,2003,496.420293772852
Mongolia,MNG,2007,421.396985272932
Morocco,MAR,2003,304.391822633424
Morocco,MAR,2007,297.446869713583
Morocco,MAR,2011,264
Morocco,MAR,2015,352
Netherlands,NLD,1995,530
Netherlands,NLD,2003,525
Netherlands,NLD,2007,523
Netherlands,NLD,2011,531
Netherlands,NLD,2015,517
New Zealand,NZL,1995,505
New Zealand,NZL,2003,520
New Zealand,NZL,2007,504
New Zealand,NZL,2011,497
New Zealand,NZL,2015,506
Norway,NOR,1995,504
Norway,NOR,2003,466
Norway,NOR,2007,477
Norway,NOR,2011,494
Norway,NOR,2015,493
Oman,OMN,2011,377
Oman,OMN,2015,431
Philippines,PHL,2003,331.619979865004
Poland,POL,2011,504.891886830669
Poland,POL,2015,547
Portugal,PRT,1995,452
Portugal,PRT,2011,522
Portugal,PRT,2015,508
Qatar,QAT,2007,294.395625910358
Qatar,QAT,2011,394
Qatar,QAT,2015,436
Romania,ROU,2011,505.385242438007
Russia,RUS,2003,526
Russia,RUS,2007,546
Russia,RUS,2011,552
Russia,RUS,2015,567
Saudi Arabia,SAU,2011,429
Saudi Arabia,SAU,2015,390
Serbia,SRB,2011,516
Serbia,SRB,2015,525
Singapore,SGP,1995,523
Singapore,SGP,2003,565
Singapore,SGP,2007,587
Singapore,SGP,2011,583
Singapore,SGP,2015,590
Slovakia,SVK,2007,526
Slovakia,SVK,2011,532
Slovakia,SVK,2015,520
Slovenia,SVN,1995,464
Slovenia,SVN,2003,490
Slovenia,SVN,2007,518
Slovenia,SVN,2011,520
Slovenia,SVN,2015,543
South Korea,KOR,1995,576
South Korea,KOR,2011,587
South Korea,KOR,2015,589
Spain,ESP,2011,505
Spain,ESP,2015,518
Sweden,SWE,2007,525
Sweden,SWE,2011,533
Sweden,SWE,2015,540
Thailand,THA,1995,449.653379603036
Thailand,THA,2011,471.570755011502
Tunisia,TUN,2003,313.988493052305
Tunisia,TUN,2007,318.474368147064
Tunisia,TUN,2011,345.606303930365
Turkey,TUR,2011,463
Turkey,TUR,2015,483
Ukraine,UKR,2007,473.81363457389
United Arab Emirates,ARE,2011,428
United Arab Emirates,ARE,2015,451
United States,USA,1995,542
United States,USA,2003,536
United States,USA,2007,539
United States,USA,2011,544
United States,USA,2015,546
Yemen,YEM,2007,197.364777073704
Yemen,YEM,2011,209.064814081133
