Entity,Code,Year,Equivalent stratospheric chorine (ESC) (1960 = 0) ((1960 = 0))
Antarctic,,1960,0
Antarctic,,1965,1.4
Antarctic,,1970,4.4
Antarctic,,1975,10
Antarctic,,1980,18.2
Antarctic,,1985,28.6
Antarctic,,1990,38.7
Antarctic,,1995,47.1
Antarctic,,2000,51.9
Antarctic,,2005,52.9
Antarctic,,2010,50.5
Antarctic,,2015,46.8
Antarctic,,2020,42.9
Antarctic,,2025,39.3
Antarctic,,2030,36.6
Antarctic,,2035,33.7
Antarctic,,2040,30.7
Antarctic,,2045,27
Antarctic,,2050,23.7
Antarctic,,2055,20.5
Antarctic,,2060,18.1
Antarctic,,2065,16.5
Antarctic,,2070,14.5
Antarctic,,2075,12.4
Antarctic,,2080,10.4
Antarctic,,2085,8.4
Antarctic,,2090,7.3
Antarctic,,2095,6.3
Antarctic,,2100,5.3
Arctic,,1960,0
Arctic,,1965,5.9
Arctic,,1970,8.6
Arctic,,1975,13.4
Arctic,,1980,20.9
Arctic,,1985,29.7
Arctic,,1990,38.6
Arctic,,1995,45.9
Arctic,,2000,50.2
Arctic,,2005,51
Arctic,,2010,49
Arctic,,2015,45.5
Arctic,,2020,41.9
Arctic,,2025,38.7
Arctic,,2030,36.2
Arctic,,2035,33.7
Arctic,,2040,31.1
Arctic,,2045,28.3
Arctic,,2050,25.6
Arctic,,2055,23
Arctic,,2060,20.6
Arctic,,2065,19.4
Arctic,,2070,17.8
Arctic,,2075,16.3
Arctic,,2080,14.5
Arctic,,2085,13
Arctic,,2090,11.8
Arctic,,2095,11
Arctic,,2100,10.5
Global,,1960,0
Global,,1965,1
Global,,1970,3
Global,,1975,6.3
Global,,1980,11
Global,,1985,16.8
Global,,1990,22.5
Global,,1995,27
Global,,2000,29.5
Global,,2005,29.9
Global,,2010,28.3
Global,,2015,25.7
Global,,2020,23.2
Global,,2025,21
Global,,2030,19.2
Global,,2035,17.6
Global,,2040,15.8
Global,,2045,13.7
Global,,2050,11.5
Global,,2055,10.3
Global,,2060,9
Global,,2065,7.9
Global,,2070,6.8
Global,,2075,5.6
Global,,2080,4.6
Global,,2085,3.5
Global,,2090,3
Global,,2095,2.6
Global,,2100,2.5
