Entity,Code,Year,Summer Olympics (athletes),Winter Olympics (athletes),Summer Paralympics (athletes),Winter Paralympics (athletes)
World,OWID_WRL,1896,241,,,
World,OWID_WRL,1900,997,,,
World,OWID_WRL,1904,691,,,
World,OWID_WRL,1908,2008,,,
World,OWID_WRL,1912,2587,,,
World,OWID_WRL,1920,2626,,,
World,OWID_WRL,1924,3089,258,,
World,OWID_WRL,1928,2883,464,,
World,OWID_WRL,1932,1332,252,,
World,OWID_WRL,1936,3963,646,,
World,OWID_WRL,1948,4104,669,,
World,OWID_WRL,1952,4955,694,,
World,OWID_WRL,1956,3314,821,,
World,OWID_WRL,1960,5338,665,400,
World,OWID_WRL,1964,5151,1091,375,
World,OWID_WRL,1968,5516,1158,750,
World,OWID_WRL,1972,7134,1006,984,
World,OWID_WRL,1976,6084,1123,1657,250
World,OWID_WRL,1980,5179,1072,1973,350
World,OWID_WRL,1984,6829,1272,2900,457
World,OWID_WRL,1988,8391,1423,3057,397
World,OWID_WRL,1992,9356,1801,3001,475
World,OWID_WRL,1996,10318,,3259,
World,OWID_WRL,2000,10651,,3881,
World,OWID_WRL,2004,10625,,3808,
World,OWID_WRL,2008,10942,,3951,
World,OWID_WRL,2012,10500,,4237,
World,OWID_WRL,2016,11238,,4350,
World,OWID_WRL,1994,,1737,,492
World,OWID_WRL,1998,,2176,,562
World,OWID_WRL,2002,,2399,,416
World,OWID_WRL,2006,,2508,,477
World,OWID_WRL,2010,,2566,,502
World,OWID_WRL,2014,,2873,,541
