Entity,Code,Year,Northern Hemisphere (ppt),Southern Hemisphere (ppt),WMO (2014) projected (ppt)
World,OWID_WRL,1995,267.2,263.58,266.83
World,OWID_WRL,1996,266.63,263.43,266.07
World,OWID_WRL,1997,265.16,262.65,265.08
World,OWID_WRL,1998,263.57,260.99,263.62
World,OWID_WRL,1999,262,260.23,262.34
World,OWID_WRL,2000,260.46,258.21,260.68
World,OWID_WRL,2001,258.85,256.2,259.09
World,OWID_WRL,2002,257,254.42,257.27
World,OWID_WRL,2003,254.38,251.98,255.05
World,OWID_WRL,2004,252.09,249.92,252.88
World,OWID_WRL,2005,250.2,247.85,250.58
World,OWID_WRL,2006,248,246.04,248.53
World,OWID_WRL,2007,245.84,243.76,246.29
World,OWID_WRL,2008,243.77,241.7,244.14
World,OWID_WRL,2009,241.86,239.88,242.17
World,OWID_WRL,2010,240.01,238.05,240.24
World,OWID_WRL,2011,238.1,236.11,238.18
World,OWID_WRL,2012,236.05,234.16,236.14
World,OWID_WRL,2013,234.72,232.4,233.91
World,OWID_WRL,2014,233.75,230.77,231.53
World,OWID_WRL,2015,232.52,229.64,229.1
World,OWID_WRL,2016,231.39,228.26,226.64
World,OWID_WRL,2017,230.82,227.41,224.14
World,OWID_WRL,1990,,,255.46
World,OWID_WRL,1991,,,261.1
World,OWID_WRL,1992,,,264.47
World,OWID_WRL,1993,,,266.84
World,OWID_WRL,1994,,,267.18
World,OWID_WRL,2018,,,221.62
World,OWID_WRL,2019,,,219.07
World,OWID_WRL,2020,,,216.5
