Entity,Code,Year,Without access to safe drinking water (people),With access to safe drinking water (people)
Albania,ALB,2000,1739237.086,1349789.9139629547
Albania,ALB,2001,1650931.034,1409241.9659792187
Albania,ALB,2002,1584179.616,1466830.3836088588
Albania,ALB,2003,1517833.992,1521782.0084824844
Albania,ALB,2004,1454217.17,1572721.8300142277
Albania,ALB,2005,1392817.119,1618669.8814773737
Albania,ALB,2006,1334227.622,1658319.378498831
Albania,ALB,2007,1278119.829,1691897.170652151
Albania,ALB,2008,1225173.21,1722140.789927947
Albania,ALB,2009,1174079.615,1753439.3845356596
Albania,ALB,2010,1123608.84,1789412.159598263
Albania,ALB,2011,1073325.768,1831869.232329373
Albania,ALB,2012,1019982.094,1880418.9055945126
Albania,ALB,2013,961206.4078,1933885.5921994967
Albania,ALB,2014,899287.4331,1989816.5669336943
Albania,ALB,2015,885760.7687,1994942.2313255596
Argentina,ARG,2000,854268.1791,36203183.8208928
Argentina,ARG,2001,845496.7821,36626012.217925094
Argentina,ARG,2002,836833.7494,37052536.25064928
Argentina,ARG,2003,828350.9818,37481028.01815983
Argentina,ARG,2004,820073.8568,37908622.143154055
Argentina,ARG,2005,784186.664,38361301.33602784
Argentina,ARG,2006,747954.6436,38810935.356357224
Argentina,ARG,2007,711394.8923,39258829.10766485
Argentina,ARG,2008,699343.0386,39683045.961386986
Argentina,ARG,2009,691509.7359,40107897.26405388
Argentina,ARG,2010,684044.9755,40539844.02453849
Argentina,ARG,2011,676969.5228,40979909.47717278
Argentina,ARG,2012,670254.3105,41426484.68947039
Argentina,ARG,2013,678245.8828,41861679.117234655
Argentina,ARG,2014,632407.7148,42349107.28524457
Argentina,ARG,2015,640358.7104,42777406.28962698
Armenia,ARM,2000,2248228.37,821359.6295497958
Armenia,ARM,2001,2232163.987,818491.0134060186
Armenia,ARM,2002,2087638.594,946258.4059200863
Armenia,ARM,2003,1943654.608,1074151.3920481391
Armenia,ARM,2004,1798850.959,1201761.0411529916
Armenia,ARM,2005,1658024.52,1323234.480093972
Armenia,ARM,2006,1556017.451,1402482.5487478962
Armenia,ARM,2007,1452997.124,1480058.8761769384
Armenia,ARM,2008,1351385.187,1556834.8126539637
Armenia,ARM,2009,1254424.252,1634159.7479791539
Armenia,ARM,2010,1163659.061,1713651.9390915006
Armenia,ARM,2011,1079952.166,1795628.8342162594
Armenia,ARM,2012,1082276.044,1799645.9562377047
Armenia,ARM,2013,1087552.5,1805956.5004409614
Armenia,ARM,2014,1083962.456,1822257.5438907798
Armenia,ARM,2015,1088776.428,1828173.5715827432
Austria,AUT,2000,135373.8415,7876192.158500991
Austria,AUT,2001,134084.6442,7908208.355805093
Austria,AUT,2002,134033.2392,7947923.760842741
Austria,AUT,2003,128894.6066,7992528.393373401
Austria,AUT,2004,134403.808,8037562.191971143
Austria,AUT,2005,148054.7615,8079774.238475833
Austria,AUT,2006,150262.9605,8118378.0395054985
Austria,AUT,2007,141015.6809,8154471.3190942295
Austria,AUT,2008,132607.9841,8188888.015909828
Austria,AUT,2009,120257.0981,8223065.901870602
Austria,AUT,2010,105410.5476,8257993.452389
Austria,AUT,2011,97752.49981,8293890.500188864
Austria,AUT,2012,99827.37139,8330163.62860541
Austria,AUT,2013,113776.4848,8366046.515199008
Austria,AUT,2014,145900.5705,8400455.429502252
Austria,AUT,2015,210054.3961,8432644.603871865
Azerbaijan,AZE,2000,3874278.909,4174321.090602827
Azerbaijan,AZE,2001,3866021.564,4245178.435916548
Azerbaijan,AZE,2002,3851853.101,4320096.899213177
Azerbaijan,AZE,2003,3835478.639,4398621.360901688
Azerbaijan,AZE,2004,3678435.868,4628064.132319073
Azerbaijan,AZE,2005,3527125.596,4864724.403766902
Azerbaijan,AZE,2006,3376141.28,5108408.720468894
Azerbaijan,AZE,2007,3221504.442,5359795.55812097
Azerbaijan,AZE,2008,3143289.012,5620110.988154735
Azerbaijan,AZE,2009,3056051.135,5891191.864843954
Azerbaijan,AZE,2010,2879841.542,6174490.457662109
Azerbaijan,AZE,2011,2733597.491,6439484.509287023
Azerbaijan,AZE,2012,2722653.774,6573130.226120337
Azerbaijan,AZE,2013,2707160.845,6709640.154906564
Azerbaijan,AZE,2014,2690157.347,6844921.652951436
Azerbaijan,AZE,2015,2673579.708,6975761.29212309
Bahrain,BHR,2000,6833.361305,657780.6386954563
Bahrain,BHR,2001,12042.63922,685506.3607816836
Bahrain,BHR,2002,19508.96444,715639.0355579129
Bahrain,BHR,2003,27251.84739,751459.1526053251
Bahrain,BHR,2004,32531.76557,797316.2344265555
Bahrain,BHR,2005,33520.02093,855647.9790735522
Bahrain,BHR,2006,29845.65173,928568.3482659613
Bahrain,BHR,2007,22576.05535,1013314.9446471172
Bahrain,BHR,2008,13106.54794,1101483.452061999
Bahrain,BHR,2009,3466.87839,1181562.1216103756
Bahrain,BHR,2010,,1245412.4132553965
Bahrain,BHR,2011,,1289558.2236000001
Bahrain,BHR,2012,,1316773.9298
Bahrain,BHR,2013,,1332424.2198
Bahrain,BHR,2014,,1344769.682
Bahrain,BHR,2015,11971.1862,1359883.8138000001
Bangladesh,BGD,2000,58257918.58,73323324.42439044
Bangladesh,BGD,2001,59346964.55,74760195.4516169
Bangladesh,BGD,2002,60459471.49,76141195.50562178
Bangladesh,BGD,2003,61546715.64,77472285.36470322
Bangladesh,BGD,2004,62580670.31,78726818.69081913
Bangladesh,BGD,2005,63542562.45,79888538.54750136
Bangladesh,BGD,2006,64422399.2,80945604.8034664
Bangladesh,BGD,2007,65229402.06,81909788.94130793
Bangladesh,BGD,2008,65989991.95,82815822.0481866
Bangladesh,BGD,2009,66742254.93,83712453.06816186
Bangladesh,BGD,2010,67514417.15,84634684.845928
Bangladesh,BGD,2011,68317876.81,85594039.18694817
Bangladesh,BGD,2012,69143155.1,86583897.90429763
Bangladesh,BGD,2013,69974385.71,87596906.29464339
Bangladesh,BGD,2014,70788538.29,88616740.70950699
Bangladesh,BGD,2015,71569385.04,89631500.96100315
Belarus,BLR,2000,2102880.151,7876729.849481294
Belarus,BLR,2001,2099471.266,7829077.734468581
Belarus,BLR,2002,2088253.619,7777294.381133447
Belarus,BLR,2003,2072234.763,7724514.236950505
Belarus,BLR,2004,1916379.923,7813766.076782199
Belarus,BLR,2005,1756210.034,7907704.965858207
Belarus,BLR,2006,1597470.228,8007453.77165015
Belarus,BLR,2007,1448055.448,8112897.551752701
Belarus,BLR,2008,1303289.77,8224695.229942427
Belarus,BLR,2009,1163629.96,8343135.040008724
Belarus,BLR,2010,1022477.147,8468105.852668267
Belarus,BLR,2011,872491.6634,8600680.336600898
Belarus,BLR,2012,724190.6179,8740304.38205978
Belarus,BLR,2013,599207.9208,8866789.079198547
Belarus,BLR,2014,505032.7564,8969478.243552744
Belarus,BLR,2015,522833.9112,8966782.088775966
Belgium,BEL,2000,31831.10808,10219418.891923212
Belgium,BEL,2001,24404.9046,10262165.09539708
Belgium,BEL,2002,17591.96082,10315193.039181728
Belgium,BEL,2003,,10376455.531348089
Belgium,BEL,2004,,10442612.57378533
Belgium,BEL,2005,,10499827.623333335
Belgium,BEL,2006,,10557607.776
Belgium,BEL,2007,8292.778333,10617407.221666668
Belgium,BEL,2008,31423.44667,10678549.553333333
Belgium,BEL,2009,56076.074,10740416.926
Belgium,BEL,2010,93124.41,10802461.59
Belgium,BEL,2011,183802.0792,10863941.920833332
Belgium,BEL,2012,203838.294,10924407.706000002
Belgium,BEL,2013,198850.6837,10983966.316333335
Belgium,BEL,2014,166098.2593,11042958.740666667
Belgium,BEL,2015,159557.4693,11114638.530666666
Bhutan,BTN,2000,420020.1987,153395.80129222674
Bhutan,BTN,2001,428294.284,161305.71597798896
Bhutan,BTN,2002,436714.3288,169684.67123913657
Bhutan,BTN,2003,445067.8422,178366.157791115
Bhutan,BTN,2004,453136.5956,187145.40435507172
Bhutan,BTN,2005,460851.5274,195787.472629592
Bhutan,BTN,2006,468557.428,203670.5720243942
Bhutan,BTN,2007,475661.9883,211296.01169618405
Bhutan,BTN,2008,482251.3555,218698.6444959615
Bhutan,BTN,2009,488488.1251,225969.87486983274
Bhutan,BTN,2010,494458.187,233182.81299336604
Bhutan,BTN,2011,500178.5215,240331.4785311849
Bhutan,BTN,2012,505622.8642,247344.13584312977
Bhutan,BTN,2013,510754.5743,254206.42571973143
Bhutan,BTN,2014,516151.1204,260296.87960261726
Bhutan,BTN,2015,522744.3292,264641.6708164254
Bosnia and Herzegovina,BIH,2000,483535.427,3283170.5729952455
Bosnia and Herzegovina,BIH,2001,467113.0096,3304170.9904014533
Bosnia and Herzegovina,BIH,2002,449040.5259,3326766.4740514914
Bosnia and Herzegovina,BIH,2003,438651.1228,3340595.877152743
Bosnia and Herzegovina,BIH,2004,429364.2397,3351922.7602962535
Bosnia and Herzegovina,BIH,2005,419185.333,3362344.6670315973
Bosnia and Herzegovina,BIH,2006,408772.2026,3370695.7974315668
Bosnia and Herzegovina,BIH,2007,397765.0775,3376234.9225389883
Bosnia and Herzegovina,BIH,2008,384066.9955,3379532.0044636135
Bosnia and Herzegovina,BIH,2009,364898.3507,3381662.649275988
Bosnia and Herzegovina,BIH,2010,338678.7856,3383405.214358598
Bosnia and Herzegovina,BIH,2011,304124.2959,3384740.7041232884
Bosnia and Herzegovina,BIH,2012,262950.7695,3385249.2305163518
Bosnia and Herzegovina,BIH,2013,221984.7206,3383014.279414135
Bosnia and Herzegovina,BIH,2014,184711.629,3381290.3709563226
Bosnia and Herzegovina,BIH,2015,160866.2389,3375094.7611455964
Bulgaria,BGR,2000,392995.5981,7777176.401890497
Bulgaria,BGR,2001,296172.7007,7712969.299268289
Bulgaria,BGR,2002,187540.5037,7649620.49626052
Bulgaria,BGR,2003,187908.5548,7587418.445222623
Bulgaria,BGR,2004,192624.3763,7524235.623705419
Bulgaria,BGR,2005,196667.0427,7462304.9573146235
Bulgaria,BGR,2006,198512.7465,7402509.253474366
Bulgaria,BGR,2007,200835.2465,7344502.753512669
Bulgaria,BGR,2008,204539.4505,7288021.549544946
Bulgaria,BGR,2009,211727.4688,7232715.531238135
Bulgaria,BGR,2010,217320.3082,7178278.691834807
Bulgaria,BGR,2011,223749.8634,7124578.136616827
Bulgaria,BGR,2012,234389.9134,7071498.086628478
Bulgaria,BGR,2013,246357.0572,7018757.942796906
Bulgaria,BGR,2014,271827.9529,6952110.0470585115
Bulgaria,BGR,2015,274756.3144,6903234.6856197575
Cambodia,KHM,2000,10095172.73,2057181.2682674879
Cambodia,KHM,2001,10245115.35,2157357.646995353
Cambodia,KHM,2002,10377906.26,2256822.740511465
Cambodia,KHM,2003,10497058.62,2356065.379938444
Cambodia,KHM,2004,10607355.92,2456021.0767471516
Cambodia,KHM,2005,10712707.52,2557493.4780496634
Cambodia,KHM,2006,10813900.02,2660588.978530581
Cambodia,KHM,2007,10911271.27,2765421.7261734796
Cambodia,KHM,2008,11007846.12,2872662.8839089717
Cambodia,KHM,2009,11106329.08,2983878.92185351
Cambodia,KHM,2010,11209015.42,3099724.583565688
Cambodia,KHM,2011,11317021.65,3220864.3475682554
Cambodia,KHM,2012,11429487.52,3347378.4774039853
Cambodia,KHM,2013,11543840.8,3478851.196900057
Cambodia,KHM,2014,11656186.18,3614603.8193788
Cambodia,KHM,2015,11763549.4,3754085.5955012785
Channel Islands,OWID_CIS,2009,12718.69325,145884.30675
Channel Islands,OWID_CIS,2010,12804.53575,146776.46425
Channel Islands,OWID_CIS,2011,12887.24225,147609.75775
Channel Islands,OWID_CIS,2012,12969.214,148388.786
Channel Islands,OWID_CIS,2013,13053.5745,149126.42549999998
Channel Islands,OWID_CIS,2014,13126.08925,149842.91074999998
Channel Islands,OWID_CIS,2015,13202.283,150555.717
Chile,CHL,2000,1370998.232,13891755.767896306
Chile,CHL,2001,1285681.926,14159287.073697103
Chile,CHL,2002,1197497.961,14426137.038887635
Chile,CHL,2003,1107241.613,14692300.386626484
Chile,CHL,2004,1015392.697,14958385.303200893
Chile,CHL,2005,922262.05,15224801.950022748
Chile,CHL,2006,828203.3812,15491588.61875114
Chile,CHL,2007,732784.6763,15758902.323737565
Chile,CHL,2008,634721.074,16027220.92602619
Chile,CHL,2009,532428.9264,16297013.073566789
Chile,CHL,2010,454463.0344,16538890.965582237
Chile,CHL,2011,374372.562,16778984.438049164
Chile,CHL,2012,289921.8509,17019824.149058215
Chile,CHL,2013,206696.5034,17256285.496629886
Chile,CHL,2014,158907.431,17454890.568965513
Chile,CHL,2015,145845.2181,17616835.781947218
"China, Hong Kong Special Administrative Region",,2000,,6648497.700735992
"China, Hong Kong Special Administrative Region",,2001,,6710491.98299524
"China, Hong Kong Special Administrative Region",,2002,,6738420.251377932
"China, Hong Kong Special Administrative Region",,2003,,6744148.17301962
"China, Hong Kong Special Administrative Region",,2004,,6745667.679464548
"China, Hong Kong Special Administrative Region",,2005,,6756466.069229976
"China, Hong Kong Special Administrative Region",,2006,,6779726.569501956
"China, Hong Kong Special Administrative Region",,2007,,6812337.530394327
"China, Hong Kong Special Administrative Region",,2008,,6854018.117217949
"China, Hong Kong Special Administrative Region",,2009,,6902824.811699665
"China, Hong Kong Special Administrative Region",,2010,,6957128.669094978
"China, Hong Kong Special Administrative Region",,2011,,7017892.187086238
"China, Hong Kong Special Administrative Region",,2012,,7085802.09180626
"China, Hong Kong Special Administrative Region",,2013,,7158310.586312744
"China, Hong Kong Special Administrative Region",,2014,,7226869
"China, Hong Kong Special Administrative Region",,2015,,7287983
Colombia,COL,2000,13163723.97,27240234.02803488
Colombia,COL,2001,13202409.87,27786499.125639528
Colombia,COL,2002,13237647.4,28334843.60486253
Colombia,COL,2003,13268702.03,28883448.966494344
Colombia,COL,2004,13294293.7,29429869.296328563
Colombia,COL,2005,13314056.57,29971577.430705238
Colombia,COL,2006,13327689.43,30508032.573254485
Colombia,COL,2007,13402679.28,30971892.721682545
Colombia,COL,2008,13474066.13,31427477.871367093
Colombia,COL,2009,13541879.64,31874301.362462513
Colombia,COL,2010,13606140.76,32311956.24478833
Colombia,COL,2011,13666817.34,32739828.65976105
Colombia,COL,2012,13724091.94,33157383.057908505
Colombia,COL,2013,13777896.42,33565084.5819531
Colombia,COL,2014,13836426.01,33955484.98919492
Colombia,COL,2015,13927178.03,34301518.96806064
Congo,COG,2000,2296024.839,929702.1610067877
Congo,COG,2001,2359310.418,956495.5821529826
Congo,COG,2002,2423136.093,984043.907205495
Congo,COG,2003,2490158.261,1012360.7393324217
Congo,COG,2004,2547618.803,1057820.1967761843
Congo,COG,2005,2611201.883,1107041.117240669
Congo,COG,2006,2681688.315,1160676.6846782493
Congo,COG,2007,2757807.39,1218438.610099343
Congo,COG,2008,2836166.503,1279268.4966639415
Congo,COG,2009,2912192.605,1341519.3947412567
Congo,COG,2010,2982762.177,1403930.8226867048
Congo,COG,2011,3048157.158,1464572.8418940196
Congo,COG,2012,3109497.508,1523865.49225852
Congo,COG,2013,3167040.367,1584352.6330351238
Congo,COG,2014,3223977.123,1647123.877211754
Congo,COG,2015,3286051.326,1709596.6736408712
Costa Rica,CRI,2000,1166902.529,2758540.471139935
Costa Rica,CRI,2001,1120264.692,2876533.3075098684
Costa Rica,CRI,2002,1070049.303,2993154.6968842004
Costa Rica,CRI,2003,1016890.528,3109080.472388517
Costa Rica,CRI,2004,961442.8519,3225595.148128544
Costa Rica,CRI,2005,904156.1532,3343684.846816931
Costa Rica,CRI,2006,845154.0484,3463639.9515928347
Costa Rica,CRI,2007,784380.4997,3585088.5002873354
Costa Rica,CRI,2008,721830.6068,3707677.393211192
Costa Rica,CRI,2009,657481.9358,3830781.064176246
Costa Rica,CRI,2010,601865.146,3943414.854010931
Costa Rica,CRI,2011,577014.731,4023459.268969614
Costa Rica,CRI,2012,552907.7635,4101214.2365463693
Costa Rica,CRI,2013,529616.9147,4176784.0852781837
Costa Rica,CRI,2014,507699.066,4249875.93400051
Costa Rica,CRI,2015,490343.0827,4317508.917339999
Cote d'Ivoire,CIV,2000,10672424.65,6014136.353288367
Cote d'Ivoire,CIV,2001,10783124.92,6257027.081257566
Cote d'Ivoire,CIV,2002,10874028.34,6492488.663283409
Cote d'Ivoire,CIV,2003,10954493.82,6724861.177945521
Cote d'Ivoire,CIV,2004,11036622.66,6961115.34229847
Cote d'Ivoire,CIV,2005,11129614.88,7206688.121493577
Cote d'Ivoire,CIV,2006,11235501.15,7463933.849834551
Cote d'Ivoire,CIV,2007,11344489.86,7741451.135761401
Cote d'Ivoire,CIV,2008,11466605.22,8031380.784760783
Cote d'Ivoire,CIV,2009,11602637.05,8333728.953709144
Cote d'Ivoire,CIV,2010,11753274.85,8648056.145608898
Cote d'Ivoire,CIV,2011,11919751.6,8975559.399021741
Cote d'Ivoire,CIV,2012,12102206.43,9316396.56558276
Cote d'Ivoire,CIV,2013,12297454.11,9668857.893434187
Cote d'Ivoire,CIV,2014,12501324.71,10030025.29230491
Cote d'Ivoire,CIV,2015,12710788.69,10397683.309072591
Croatia,HRV,2000,473404.46,3952595.539993387
Croatia,HRV,2001,503869.7678,3936130.2322370843
Croatia,HRV,2002,487343.2554,3952656.744619374
Croatia,HRV,2003,466225.5658,3973774.434189801
Croatia,HRV,2004,444010.0097,3994989.990279537
Croatia,HRV,2005,427503.337,4014496.6630413234
Croatia,HRV,2006,408498.4434,4031501.5565522434
Croatia,HRV,2007,389434.3741,4046565.6259456393
Croatia,HRV,2008,374587.4698,4059920.530214157
Croatia,HRV,2009,399266.519,4029811.4810342826
Croatia,HRV,2010,419049.7895,3998731.210519822
Croatia,HRV,2011,313284.9259,3967337.0741489497
Croatia,HRV,2012,332228.1525,3935329.8475123253
Croatia,HRV,2013,352747.4349,3902941.565065425
Croatia,HRV,2014,367908.7217,3870480.2782922224
Croatia,HRV,2015,368163.0063,3835440.993739863
Cyprus,CYP,2000,39169.80585,904116.1941465527
Cyprus,CYP,2001,38726.36891,921555.6310862079
Cyprus,CYP,2002,37773.4863,939192.5136982768
Cyprus,CYP,2003,36862.03922,956700.9607758631
Cyprus,CYP,2004,33587.25395,976822.746051725
Cyprus,CYP,2005,31488.45971,996169.5402931042
Cyprus,CYP,2006,30905.96814,1014603.0318620695
Cyprus,CYP,2007,31509.32414,1032202.6758620695
Cyprus,CYP,2008,32425.27603,1049137.7239655175
Cyprus,CYP,2009,32398.5565,1065677.4435000003
Cyprus,CYP,2010,30577.06086,1082029.9391379312
