Entity,Code,Year,Share of people who trust doctors and nurses in their country (%)
Afghanistan,AFG,2018,73.44479
Albania,ALB,2018,67.53741293
Algeria,DZA,2018,64.20654271
Argentina,ARG,2018,89.40487393
Armenia,ARM,2018,74.02420439
Australia,AUS,2018,95.97211475
Australia/New Zealand,,2018,96
Austria,AUT,2018,93.88728003
Azerbaijan,AZE,2018,82.42274925
Bangladesh,BGD,2018,89.73409995
Belarus,BLR,2018,77.72965338
Belgium,BEL,2018,96.73120297
Benin,BEN,2018,49.76686575
Bolivia,BOL,2018,64.40238814
Bosnia and Herzegovina,BIH,2018,75.46247621
Botswana,BWA,2018,64.74549043
Brazil,BRA,2018,72.62909074
Bulgaria,BGR,2018,80.79629579
Burkina Faso,BFA,2018,74.75634286
Burundi,BDI,2018,66.13060089
Cambodia,KHM,2018,82.48974655
Cameroon,CMR,2018,63.27670194
Canada,CAN,2018,94.25868259
Central Africa,,2018,57
Central America and Mexico,,2018,81
Central Asia,,2018,87
Chad,TCD,2018,51.87274218
Chile,CHL,2018,75.70090359
China,CHN,2018,78.09153256
Colombia,COL,2018,70.36261044
Comoros,COM,2018,51.63248047
Congo,COG,2018,43.4283108
Costa Rica,CRI,2018,84.78545401
Cote d'Ivoire,CIV,2018,54.73376348
Croatia,HRV,2018,91.46716257
Cyprus,CYP,2018,74.4067518
Czech Republic,CZE,2018,90.89351156
Denmark,DNK,2018,97.15014997
Dominican Republic,DOM,2018,84.21856599
East Asia,,2018,80
Eastern Africa,,2018,81
Eastern Europe,,2018,75
Ecuador,ECU,2018,75.13579245
Egypt,EGY,2018,90.67788026
El Salvador,SLV,2018,75.46951149
Estonia,EST,2018,87.78426688
Ethiopia,ETH,2018,86.1448715
Finland,FIN,2018,96.75935668
France,FRA,2018,94.62188059
Gabon,GAB,2018,50.36380457
Gambia,GMB,2018,82.52206113
Georgia,GEO,2018,79.96180005
Germany,DEU,2018,93.93580932
Ghana,GHA,2018,88.78278195
Greece,GRC,2018,86.19768614
Guatemala,GTM,2018,69.37378708
Guinea,GIN,2018,68.23256114
Haiti,HTI,2018,79.86723748
Honduras,HND,2018,77.43771085
Hungary,HUN,2018,89.36062063
Iceland,ISL,2018,96.5535127
India,IND,2018,92.4980721
Indonesia,IDN,2018,83.2150104
Iran,IRN,2018,86.72864331
Iraq,IRQ,2018,63.50024342
Ireland,IRL,2018,93.31656514
Israel,ISR,2018,88.43351042
Italy,ITA,2018,90.44952484
Japan,JPN,2018,93.01156508
Jordan,JOR,2018,81.9377625
Kazakhstan,KAZ,2018,79.80607136
Kenya,KEN,2018,78.37997338
Kosovo,OWID_KOS,2018,75.94708526
Kuwait,KWT,2018,74.08466941
Kyrgyzstan,KGZ,2018,83.42420932
Laos,LAO,2018,81.4186853
Latvia,LVA,2018,83.11969232
Lebanon,LBN,2018,82.8682476
Liberia,LBR,2018,80.78118978
Libya,LBY,2018,77.0304847
Lithuania,LTU,2018,83.14638155
Luxembourg,LUX,2018,93.82644078
Macedonia,MKD,2018,72.77724361
Madagascar,MDG,2018,65.8971383
Malawi,MWI,2018,76.68570595
Malaysia,MYS,2018,94.66840442
Mali,MLI,2018,75.39862609
Malta,MLT,2018,95.90672851
Mauritania,MRT,2018,53.82855873
Mauritius,MUS,2018,64.50598784
Mexico,MEX,2018,83.2666984
Middle East,,2018,81
Moldova,MDA,2018,73.61599912
Mongolia,MNG,2018,80.96656999
Montenegro,MNE,2018,68.61190032
Morocco,MAR,2018,67.4051339
Mozambique,MOZ,2018,73.98393328
Myanmar,MMR,2018,91.52062327
Namibia,NAM,2018,73.43423741
Nepal,NPL,2018,89.59331565
Netherlands,NLD,2018,91.88775391
New Zealand,NZL,2018,95.2239499
Nicaragua,NIC,2018,69.81148561
Niger,NER,2018,75.79805787
Nigeria,NGA,2018,82.00328088
North Africa,,2018,80
Northern America,,2018,94
Northern Cyprus,OWID_CYN,2018,78.29264752
Northern Europe,,2018,93
Norway,NOR,2018,98.19908716
Pakistan,PAK,2018,85.3721404
Palestine,PSE,2018,74.57781228
Panama,PAN,2018,73.17278457
Paraguay,PRY,2018,74.58323534
Peru,PER,2018,69.05376139
Philippines,PHL,2018,86.83632338
Poland,POL,2018,88.54560585
Portugal,PRT,2018,88.59748158
Romania,ROU,2018,71.46128208
Russia,RUS,2018,71.9198474
Rwanda,RWA,2018,93.94594085
Saudi Arabia,SAU,2018,83.9904799
Senegal,SEN,2018,81.37772396
Serbia,SRB,2018,80.90404643
Sierra Leone,SLE,2018,71.72315854
Singapore,SGP,2018,94.70833494
Slovakia,SVK,2018,86.78204062
Slovenia,SVN,2018,92.20188573
South Africa,ZAF,2018,76.62537872
South America,,2018,74
South Asia,,2018,91
South Korea,KOR,2018,86.97409807
Southeast Asia,,2018,87
Southern Africa,,2018,77
Southern Europe,,2018,90
Spain,ESP,2018,97.08922226
Sri Lanka,LKA,2018,92.52108552
Swaziland,SWZ,2018,84.50210799
Sweden,SWE,2018,95.91901719
Switzerland,CHE,2018,94.91527533
Taiwan,TWN,2018,92.83618368
Tajikistan,TJK,2018,94.31650578
Tanzania,TZA,2018,88.91271245
Thailand,THA,2018,96.85158348
Togo,TGO,2018,53.95673382
Tunisia,TUN,2018,82.73050317
Turkey,TUR,2018,84.57229963
Turkmenistan,TKM,2018,92.46494521
Uganda,UGA,2018,79.61740512
Ukraine,UKR,2018,69.82589055
United Arab Emirates,ARE,2018,77.08563657
United Kingdom,GBR,2018,92.76632294
United States,USA,2018,93.41232021
Uruguay,URY,2018,88.86733454
Uzbekistan,UZB,2018,94.74364512
Venezuela,VEN,2018,72.3079164
Vietnam,VNM,2018,83.09534503
Western Africa,,2018,77
Western Europe,,2018,94
World,OWID_WRL,2018,84
Yemen,YEM,2018,66.58697659
Zambia,ZMB,2018,82.52105957
Zimbabwe,ZWE,2018,81.0441196
