Entity,Code,Year,African elephant carcass ratio (%)
Africa,,2015,11.9
Angola,AGO,2015,30
Botswana,BWA,2015,7
Cameroon,CMR,2015,83
Chad,TCD,2015,17
Kenya,KEN,2015,13
Malawi,MWI,2015,2
Mali,MLI,2015,10
Mozambique,MOZ,2015,32
Tanzania,TZA,2015,26
Uganda,UGA,2015,0.5
Zambia,ZMB,2015,4.5
Zimbabwe,ZWE,2015,8
