Entity,Code,Year,Population who gained access to water from 1990-2015 (%)
Central Asia,,2015,19
Developing regions,,2015,41
East Asia,,2015,39
Latin America & Caribbean,,2015,35
Least developed countries,,2015,42
North Africa,,2015,34
Oceania,,2015,25
South Asia,,2015,44
Sub-Saharan Africa,,2015,43
Western Asia,,2015,48
World,OWID_WRL,2015,35
