Entity,Code,Year,Solar PV Module Cost (2016 $ per watt-peak (2016 $/Wp))
World,OWID_WRL,1976,66.10483509
World,OWID_WRL,1977,46.44053919
World,OWID_WRL,1978,33.28268777
World,OWID_WRL,1979,29.69249275
World,OWID_WRL,1980,23.75536076
World,OWID_WRL,1981,17.91879972
World,OWID_WRL,1982,18.03281778
World,OWID_WRL,1983,16.84394443
World,OWID_WRL,1984,13.71777349
World,OWID_WRL,1985,12.49436648
World,OWID_WRL,1986,11.688438
World,OWID_WRL,1987,9.801145644
World,OWID_WRL,1988,9.732873463
World,OWID_WRL,1989,9.78995465
World,OWID_WRL,1990,10.00979872
World,OWID_WRL,1991,9.294041424
World,OWID_WRL,1992,8.779085653
World,OWID_WRL,1993,7.822745141
World,OWID_WRL,1994,7.645051978
World,OWID_WRL,1995,7.070296464
World,OWID_WRL,1996,5.880830563
World,OWID_WRL,1997,5.823568563
World,OWID_WRL,1998,4.892791833
World,OWID_WRL,1999,4.479716716
World,OWID_WRL,2000,3.650031142
World,OWID_WRL,2001,3.438769955
World,OWID_WRL,2002,3.514611115
World,OWID_WRL,2003,3.320772752
World,OWID_WRL,2004,3.536793321
World,OWID_WRL,2005,3.580157424
World,OWID_WRL,2006,3.885921402
World,OWID_WRL,2007,3.908058849
World,OWID_WRL,2008,3.558856423
World,OWID_WRL,2009,2.3692676
World,OWID_WRL,2010,1.589153601
World,OWID_WRL,2011,1.441280262
World,OWID_WRL,2012,0.774728408
World,OWID_WRL,2013,0.823302284
World,OWID_WRL,2014,0.71
World,OWID_WRL,2015,0.66
World,OWID_WRL,2016,0.62
