Entity,Code,Year,"Average daily minutes of work in summer, weighted by employees (Atack and Bateman (1992)) (minutes)"
Agricultural Services,,1880,8.0333333494
All Industries,,1880,10.116666686899999
Blacksmithing,,1880,10.4000000208
Chemicals,,1880,10.4500000209
Clothing,,1880,10.016666686699999
Coke/Gas/Oil,,1880,10.1500000203
Construction,,1880,10.016666686699999
Fabricated Metals,,1880,10.00000002
Food,,1880,10.266666687199999
Furniture,,1880,9.983333353299999
Glass/Brick,,1880,10.0333333534
Leather,,1880,10.0666666868
Lumber,,1880,10.516666687699999
Machinery,,1880,10.050000020099999
Miscellaneous Metals,,1880,9.6500000193
Paper,,1880,10.4666666876
Primary Metals,,1880,10.1000000202
Printing,,1880,9.9000000198
Textiles,,1880,10.266666687199999
Tobacco,,1880,10.166666687
Transportation Equipment,,1880,9.983333353299999
