Entity,Code,Year,Top under-aided countries
Burkina Faso,BFA,2011,Under-aided
Burkina Faso,BFA,2013,Under-aided
Burundi,BDI,2014,Under-aided
Burundi,BDI,2015,Under-aided
Chad,TCD,2007,Under-aided
Chad,TCD,2008,Under-aided
Chad,TCD,2013,Under-aided
Chad,TCD,2014,Under-aided
Democratic Republic of Congo,COD,2006,Under-aided
Democratic Republic of Congo,COD,2007,Under-aided
Democratic Republic of Congo,COD,2008,Under-aided
Democratic Republic of Congo,COD,2012,Under-aided
Democratic Republic of Congo,COD,2013,Under-aided
Democratic Republic of Congo,COD,2014,Under-aided
Democratic Republic of Congo,COD,2016,Under-aided
Gambia,GMB,2008,Under-aided
Gambia,GMB,2010,Under-aided
Gambia,GMB,2011,Under-aided
Gambia,GMB,2013,Under-aided
Gambia,GMB,2016,Under-aided
Guinea,GIN,2006,Under-aided
Guinea,GIN,2007,Under-aided
Guinea,GIN,2008,Under-aided
Guinea,GIN,2009,Under-aided
Guinea,GIN,2010,Under-aided
Guinea,GIN,2011,Under-aided
Guinea,GIN,2012,Under-aided
Guinea,GIN,2013,Under-aided
Guinea,GIN,2014,Under-aided
Guinea-Bissau,GNB,2011,Under-aided
Guinea-Bissau,GNB,2012,Under-aided
Guinea-Bissau,GNB,2013,Under-aided
Guinea-Bissau,GNB,2015,Under-aided
Guinea-Bissau,GNB,2016,Under-aided
Madagascar,MDG,2007,Under-aided
Madagascar,MDG,2008,Under-aided
Madagascar,MDG,2009,Under-aided
Madagascar,MDG,2010,Under-aided
Madagascar,MDG,2011,Under-aided
Madagascar,MDG,2012,Under-aided
Madagascar,MDG,2013,Under-aided
Madagascar,MDG,2014,Under-aided
Madagascar,MDG,2015,Under-aided
Madagascar,MDG,2016,Under-aided
Malawi,MWI,2011,Under-aided
Niger,NER,2007,Under-aided
Niger,NER,2008,Under-aided
Niger,NER,2009,Under-aided
Niger,NER,2010,Under-aided
Niger,NER,2011,Under-aided
Niger,NER,2012,Under-aided
Niger,NER,2013,Under-aided
Niger,NER,2014,Under-aided
Togo,TGO,2006,Under-aided
Togo,TGO,2007,Under-aided
Togo,TGO,2008,Under-aided
Togo,TGO,2009,Under-aided
Togo,TGO,2010,Under-aided
Togo,TGO,2011,Under-aided
Togo,TGO,2012,Under-aided
Togo,TGO,2013,Under-aided
Togo,TGO,2014,Under-aided
Togo,TGO,2015,Under-aided
Togo,TGO,2016,Under-aided
