Entity,Code,Year,Deaths from smallpox per 1 million deaths
Austria,AUT,1847,0.16
Austria,AUT,1848,0.215
Austria,AUT,1849,0.293
Austria,AUT,1850,0.161
Austria,AUT,1851,0.111
Austria,AUT,1852,0.116
Austria,AUT,1853,0.238
Austria,AUT,1854,0.284
Austria,AUT,1855,0.476
Austria,AUT,1856,0.164
Austria,AUT,1857,0.123
Austria,AUT,1858,0.218
Austria,AUT,1859,0.262
Austria,AUT,1860,0.268
Austria,AUT,1861,0.243
Austria,AUT,1862,0.333
Austria,AUT,1863,0.351
Austria,AUT,1864,0.364
Austria,AUT,1865,0.228
Austria,AUT,1866,0.368
Austria,AUT,1867,0.484
Austria,AUT,1868,0.37
Austria,AUT,1869,0.374
Austria,AUT,1870,0.293
Austria,AUT,1871,0.383
Austria,AUT,1872,1.866
Austria,AUT,1873,3.094
Austria,AUT,1874,1.725
Austria,AUT,1875,0.576
Austria,AUT,1876,0.406
Austria,AUT,1877,0.555
Austria,AUT,1878,0.631
Austria,AUT,1879,0.534
Austria,AUT,1880,0.674
Austria,AUT,1881,0.807
Austria,AUT,1882,0.947
Austria,AUT,1883,0.596
Austria,AUT,1884,0.53
Austria,AUT,1885,0.6
Austria,AUT,1886,0.4
Austria,AUT,1887,0.417
Austria,AUT,1888,0.615
Austria,AUT,1889,0.537
Austria,AUT,1890,0.249
Austria,AUT,1891,0.287
Austria,AUT,1892,0.256
Austria,AUT,1893,0.244
Austria,AUT,1894,0.105
Austria,AUT,1895,0.049
Austria,AUT,1896,0.036
Austria,AUT,1897,0.061
Belgium,BEL,1851,0.156
Belgium,BEL,1852,0.114
Belgium,BEL,1853,0.114
Belgium,BEL,1854,0.114
Belgium,BEL,1855,0.097
Belgium,BEL,1856,0.241
Belgium,BEL,1857,0.241
Belgium,BEL,1858,0.241
Belgium,BEL,1859,0.241
Belgium,BEL,1860,0.241
Belgium,BEL,1864,0.5
Belgium,BEL,1865,1.165
Belgium,BEL,1866,0.212
Belgium,BEL,1867,0.111
Belgium,BEL,1868,0.17
Belgium,BEL,1869,0.329
Belgium,BEL,1870,0.818
Belgium,BEL,1871,4.168
Belgium,BEL,1872,1.56
Belgium,BEL,1873,0.333
Belgium,BEL,1874,0.369
Belgium,BEL,1875,0.313
Belgium,BEL,1876,0.27
Belgium,BEL,1877,0.669
Belgium,BEL,1878,0.678
Belgium,BEL,1879,0.43
Belgium,BEL,1880,0.748
Belgium,BEL,1881,0.48
Belgium,BEL,1882,0.279
Belgium,BEL,1883,0.31
Belgium,BEL,1884,0.229
Belgium,BEL,1885,0.279
Belgium,BEL,1886,0.204
Belgium,BEL,1887,0.1
Belgium,BEL,1888,0.146
Belgium,BEL,1889,0.202
Belgium,BEL,1890,0.105
Belgium,BEL,1891,0.211
Belgium,BEL,1892,0.408
Belgium,BEL,1893,0.336
Belgium,BEL,1894,0.085
Belgium,BEL,1895,0.046
Belgium,BEL,1896,0.02
Belgium,BEL,1897,0.021
Belgium,BEL,1898,0.024
Belgium,BEL,1899,0.038
England,,1838,1.064
England,,1839,0.589
England,,1840,0.661
England,,1841,0.4
England,,1842,0.168
England,,1847,0.246
England,,1848,0.397
England,,1849,0.264
England,,1850,0.262
England,,1851,0.389
England,,1852,0.401
England,,1853,0.171
England,,1854,0.151
England,,1855,0.131
England,,1856,0.116
England,,1857,0.202
England,,1858,0.329
England,,1859,0.193
England,,1860,0.136
England,,1861,0.064
England,,1862,0.078
England,,1863,0.286
England,,1864,0.364
England,,1865,0.301
England,,1866,0.139
England,,1867,0.114
England,,1868,0.091
England,,1869,0.067
