Entity,Code,Year,Lung (%)
Algeria,DZA,1999,6
Algeria,DZA,2004,8.2
Algeria,DZA,2009,14.8
Argentina,ARG,2004,20.8
Argentina,ARG,2009,11.9
Australia,AUS,1999,13.7
Australia,AUS,2004,14.8
Australia,AUS,2009,15
Austria,AUT,1999,14.1
Austria,AUT,2004,15.6
Austria,AUT,2009,17.9
Belgium,BEL,2004,15.3
Belgium,BEL,2009,16.6
Brazil,BRA,1999,18.6
Brazil,BRA,2004,13.7
Brazil,BRA,2009,18
Bulgaria,BGR,1999,5.9
Bulgaria,BGR,2004,5.7
Bulgaria,BGR,2009,6.3
Canada,CAN,1999,15.1
Canada,CAN,2004,15.6
Canada,CAN,2009,17.3
Chile,CHL,2004,6.2
Chile,CHL,2009,6.3
China,CHN,1999,7.5
China,CHN,2004,18.1
China,CHN,2009,17.5
Colombia,COL,1999,6.1
Colombia,COL,2004,9
Colombia,COL,2009,9
Croatia,HRV,1999,16.5
Croatia,HRV,2004,15.2
Croatia,HRV,2009,13.6
Cuba,CUB,1999,21.8
Cuba,CUB,2004,14.1
Cuba,CUB,2009,18.2
Cyprus,CYP,2004,18.4
Cyprus,CYP,2009,15.4
Czech Republic,CZE,1999,8.5
Czech Republic,CZE,2004,10.9
Czech Republic,CZE,2009,12.3
Denmark,DNK,1999,8
Denmark,DNK,2004,9.6
Denmark,DNK,2009,11.3
Ecuador,ECU,1999,34.5
Ecuador,ECU,2004,37.8
Ecuador,ECU,2009,28.7
Estonia,EST,1999,8.2
Estonia,EST,2004,10.9
Estonia,EST,2009,11.9
Finland,FIN,1999,11
Finland,FIN,2004,11.8
Finland,FIN,2009,12.3
France,FRA,1999,12.8
France,FRA,2004,13.9
France,FRA,2009,13.6
Germany,DEU,1999,11.6
Germany,DEU,2004,15.1
Germany,DEU,2009,16.2
Iceland,ISL,1999,14.3
Iceland,ISL,2004,14.5
Iceland,ISL,2009,15
India,IND,1999,4.4
India,IND,2004,9.8
India,IND,2009,9.6
Indonesia,IDN,2009,12.2
Ireland,IRL,1999,9.5
Ireland,IRL,2004,10.3
Ireland,IRL,2009,12.9
Israel,ISR,1999,17.3
Israel,ISR,2004,20.7
Israel,ISR,2009,23.8
Italy,ITA,1999,12.9
Italy,ITA,2004,14
Italy,ITA,2009,14.7
Japan,JPN,1999,22.9
Japan,JPN,2004,28.5
Japan,JPN,2009,30.1
Jordan,JOR,2004,7.7
Jordan,JOR,2009,4.4
Latvia,LVA,1999,12.1
Latvia,LVA,2004,13.8
Latvia,LVA,2009,16.2
Lithuania,LTU,1999,10
Lithuania,LTU,2004,8.3
Lithuania,LTU,2009,7.7
Malaysia,MYS,1999,15.1
Malaysia,MYS,2004,13.1
Malaysia,MYS,2009,10.7
Malta,MLT,1999,10.9
Malta,MLT,2004,9.3
Malta,MLT,2009,10.8
Mauritius,MUS,2009,37.2
Mongolia,MNG,2009,6.6
Netherlands,NLD,1999,12.4
Netherlands,NLD,2004,12.2
Netherlands,NLD,2009,14.8
New Zealand,NZL,1999,12.2
New Zealand,NZL,2004,11.4
New Zealand,NZL,2009,12.4
Norway,NOR,1999,10.7
Norway,NOR,2004,11.7
Norway,NOR,2009,15
Poland,POL,1999,11.4
Poland,POL,2004,11.7
Poland,POL,2009,13.4
Portugal,PRT,1999,10.4
Portugal,PRT,2004,10.4
Portugal,PRT,2009,12.8
Puerto Rico,PRI,2004,14.8
Puerto Rico,PRI,2009,15.8
Qatar,QAT,2009,13.2
Romania,ROU,2009,16.2
Russia,RUS,2004,14.7
Russia,RUS,2009,15.7
Saudi Arabia,SAU,1999,21.3
Saudi Arabia,SAU,2004,12.9
Slovakia,SVK,2004,9.6
Slovakia,SVK,2009,10.7
Slovenia,SVN,1999,8.5
Slovenia,SVN,2004,9.7
Slovenia,SVN,2009,11.4
South Africa,ZAF,2009,19
South Korea,KOR,1999,9.6
South Korea,KOR,2004,15.2
South Korea,KOR,2009,18.5
Spain,ESP,1999,10.2
Spain,ESP,2004,11.5
Spain,ESP,2009,12.6
Sweden,SWE,1999,12.2
Sweden,SWE,2004,13.3
Sweden,SWE,2009,15.6
Switzerland,CHE,1999,13
Switzerland,CHE,2004,14.5
Switzerland,CHE,2009,16.5
Taiwan,TWN,1999,13.3
Taiwan,TWN,2004,11.6
Taiwan,TWN,2009,14.3
Thailand,THA,1999,31.9
Thailand,THA,2004,14.2
Thailand,THA,2009,13.5
Tunisia,TUN,2009,10.3
Turkey,TUR,1999,19.2
Turkey,TUR,2004,11
Turkey,TUR,2009,10.1
United Kingdom,GBR,1999,7.3
United Kingdom,GBR,2004,8.5
United Kingdom,GBR,2009,9.6
United States,USA,1999,15.2
United States,USA,2004,16.6
United States,USA,2009,18.7
Uruguay,URY,2004,12.5
Uruguay,URY,2009,9.1
