Entity,Code,Year,Median (%),83rd percentile (%),17th percentile (%),2.5th percentile (%),97.5th percentile (%)
Rwanda,RWA,15,-0.338944226,-0.137224683,-0.614425818,-0.983166114,0.006515084
Saint Vincent and the Grenadines,VCT,15,-0.61158402,-0.305226274,-0.979282097,-1.563823442,0.117772492
Samoa,WSM,15,-0.492928909,-0.249621309,-0.772660342,-1.132380152,-0.046809594
Saudi Arabia,SAU,15,-0.986534987,-0.426143726,-1.686039897,-2.620026916,0.122301285
Senegal,SEN,15,-0.912474149,-0.505710218,-1.382079281,-1.975130612,-0.111332036
Serbia,SRB,15,0.192326694,0.675413049,-0.063456733,-0.505678804,1.412134037
Sierra Leone,SLE,15,-0.68101748,-0.3955014,-1.025055294,-1.540548322,-0.090440304
Slovakia,SVK,15,0.308354558,0.991145152,-0.12573642,-0.75575388,1.978692678
Slovenia,SVN,15,0.308858368,0.929147708,-0.079988923,-0.631621947,1.804043893
Solomon Islands,SLB,15,-0.520354791,-0.335868828,-0.738970605,-1.002680413,-0.182251889
South Africa,ZAF,15,-0.109961533,0.00582749,-0.331299489,-0.683728047,0.163409803
South Korea,KOR,15,0.1388346,0.385970938,-0.007361677,-0.196209019,0.748037521
Spain,ESP,15,-0.034258314,0.084082092,-0.247159213,-0.601839087,0.347942403
Sri Lanka,LKA,15,-0.637022316,-0.009287923,-1.354692443,-2.193885622,0.602155281
Sudan,SDN,15,-0.915729252,-0.270795903,-1.699960582,-2.723920535,0.326939858
Suriname,SUR,15,-0.775043365,-0.185528535,-1.511443816,-2.486912084,0.408218515
Swaziland,SWZ,15,-0.220338349,0.004873621,-0.558156217,-1.059835785,0.326667623
Sweden,SWE,15,0.52640672,1.292659514,-0.068662643,-0.74338364,2.33260673
Switzerland,CHE,15,0.405839461,1.116741617,-0.088418465,-0.76729876,2.11107868
Tajikistan,TJK,15,0.111929345,0.434785199,-0.045223048,-0.322057682,0.970842779
Tanzania,TZA,15,-0.444129783,-0.193291053,-0.768954071,-1.199803129,0.04642004
Thailand,THA,15,-0.945653586,-0.360300074,-1.65672275,-2.620335699,0.291116664
Togo,TGO,15,-0.767305388,-0.343681782,-1.281889185,-1.931784256,0.068864737
Trinidad and Tobago,TTO,15,-0.591793008,-0.316466107,-0.920016433,-1.456039345,0.046458611
Tunisia,TUN,15,-0.349316047,-0.077630347,-0.750816352,-1.321878725,0.146655897
Turkey,TUR,15,0.040298396,0.25854801,-0.07656977,-0.361613212,0.649747528
Turkmenistan,TKM,15,-0.088342948,0.047949913,-0.383870869,-0.881052949,0.296771547
Uganda,UGA,15,-0.54584647,-0.25438359,-0.91229342,-1.369981015,-0.007182046
Ukraine,UKR,15,0.293346986,0.945773656,-0.108988904,-0.706804204,1.891887014
United Arab Emirates,ARE,15,-0.937584785,-0.333799072,-1.646191928,-2.554684456,0.325091435
United Kingdom,GBR,15,0.213910809,0.572500831,-0.005281472,-0.302691147,1.110989096
United States,USA,15,0.010640417,0.187180641,-0.125562284,-0.453149886,0.53696193
Uruguay,URY,15,-0.136183691,0.027530502,-0.412183034,-0.851416815,0.263106852
Uzbekistan,UZB,15,-0.004767936,0.136709317,-0.190293016,-0.591112171,0.495792197
Vanuatu,VUT,15,-0.353612321,-0.065923115,-0.680829073,-1.077956337,0.160743887
Venezuela,VEN,15,-0.887259191,-0.3204582,-1.537823351,-2.448091042,0.237877987
Vietnam,VNM,15,-0.925005788,-0.327046588,-1.628359505,-2.533679517,0.266781833
Zambia,ZMB,15,-0.384164922,-0.10899007,-0.771574819,-1.32435265,0.162383243
Zimbabwe,ZWE,15,-0.327997557,-0.01250809,-0.747317689,-1.316656062,0.328727763
