Entity,Code,Year, ($ per metric ton), ($ per metric ton)
World,OWID_WRL,1960,220.710307,
World,OWID_WRL,1961,216.4982782,
World,OWID_WRL,1962,212.532448,
World,OWID_WRL,1963,216.4982782,
World,OWID_WRL,1964,305.7365305,
World,OWID_WRL,1965,329.1016243,
World,OWID_WRL,1966,286.0217368,
World,OWID_WRL,1967,235.676558,
World,OWID_WRL,1968,171.3716735,
World,OWID_WRL,1969,121.8829736,
World,OWID_WRL,1970,78.61429744,
World,OWID_WRL,1971,65.53442617,
World,OWID_WRL,1972,109.8275676,
World,OWID_WRL,1973,209.6378379,
World,OWID_WRL,1974,759.1669926,
World,OWID_WRL,1975,401.8865275,
World,OWID_WRL,1976,193.7802867,
World,OWID_WRL,1977,212.9320458,
World,OWID_WRL,1978,216.1021744,
World,OWID_WRL,1979,237.1929566,
World,OWID_WRL,1980,294.5218852,
World,OWID_WRL,1981,284.844262,
World,OWID_WRL,1982,203.3496111,
World,OWID_WRL,1983,185.0465523,
World,OWID_WRL,1984,249.58581,
World,OWID_WRL,1985,183.943817,
World,OWID_WRL,1986,103.9076834,
World,OWID_WRL,1987,112.321879,
World,OWID_WRL,1988,148.2278452,
World,OWID_WRL,1989,118.8784865,
World,OWID_WRL,1990,144.244104,
World,OWID_WRL,1991,167.7610763,
World,OWID_WRL,1992,136.869641,
World,OWID_WRL,1993,97.64726402,
World,OWID_WRL,1994,151.6284055,
World,OWID_WRL,1995,203.6643365,
World,OWID_WRL,1996,198.5169524,
World,OWID_WRL,1997,132.6782737,
World,OWID_WRL,1998,101.1103726,
World,OWID_WRL,1999,82.39300539,
World,OWID_WRL,2000,127.0944021,
World,OWID_WRL,2001,124.4751278,
World,OWID_WRL,2002,124.6804504,
World,OWID_WRL,2003,174.4502535,
World,OWID_WRL,2004,206.1516312,
World,OWID_WRL,2005,249.7240048,
World,OWID_WRL,2006,247.9017054,
World,OWID_WRL,2007,324.2133071,
World,OWID_WRL,2008,479.146448,
World,OWID_WRL,2009,258.7275763,
World,OWID_WRL,2010,288.5916667,
World,OWID_WRL,2011,379.3169054,
World,OWID_WRL,2012,367.9070208,
World,OWID_WRL,2013,309.985722,
World,OWID_WRL,2014,292.7216503,
World,OWID_WRL,2015,279.5672322,279.5672322
World,OWID_WRL,2016,,212.5221421
World,OWID_WRL,2017,,242.7934344
World,OWID_WRL,2018,,241.4132353
World,OWID_WRL,2019,,241.4335463
World,OWID_WRL,2020,,241.5511859
World,OWID_WRL,2021,,242.0482827
World,OWID_WRL,2022,,242.7178961
World,OWID_WRL,2023,,243.4538181
World,OWID_WRL,2024,,244.1807867
World,OWID_WRL,2025,,244.866963
World,OWID_WRL,2026,,245.5002586
World,OWID_WRL,2027,,246.0771362
World,OWID_WRL,2028,,246.5974524
World,OWID_WRL,2029,,247.0621613
World,OWID_WRL,2030,,247.4723531
