Entity,Code,Year,Population who gained access to sanitation from 1990-2015 (%)
Central Asia,,2015,24
Developing regions,,2015,32
East Asia,,2015,36
Latin America & Caribbean,,2015,36
Least developed countries,,2015,27
North Africa,,2015,41
Oceania,,2015,15
South Asia,,2015,32
Sub-Saharan Africa,,2015,17
Western Asia,,2015,50
World,OWID_WRL,2015,29
