Entity,Code,Year,Final energy (MJ/$),Primary energy (MJ/$),Agriculture (MJ/$),Industry (MJ/$),Services (MJ/$)
Afghanistan,AFG,2002,1.16698865323009,1.43160381792921,0.00505861248189166,2.53238167932853,
Afghanistan,AFG,2003,1.15640164241315,1.42520639968577,0.00492086643877455,1.99680112246315,
Afghanistan,AFG,2004,1.04382332847965,1.30430954726099,0.00843742809111618,0.920069941825064,
Afghanistan,AFG,2005,1.15528788644336,1.42501888763458,0.00716861504474524,1.11160646554086,
Afghanistan,AFG,2006,1.2785617221759,1.56456724183161,0.0226635634207038,0.99578000945555,
Afghanistan,AFG,2007,1.32292530005569,1.62080804853902,0.0329331563218177,1.47516430592914,
Afghanistan,AFG,2008,2.02034000947319,2.31300583906042,0.0387069649244332,1.7371103476357,
Afghanistan,AFG,2009,2.18809773935072,2.76864894567505,0.0267747000866598,2.06596014444525,
Afghanistan,AFG,2010,2.77529485887826,3.11662955091309,0.028597445471537,2.55805966676373,
Afghanistan,AFG,2011,3.5674584079666,3.98320279611036,0.0309465566993301,4.36184066353085,
Afghanistan,AFG,2012,4.22621372270622,4.63303038532039,0.028991690165267,5.8257093599406,
Albania,ALB,1990,5.66990258003245,7.68496350327614,0.0371283722277408,9.27252424128137,
Albania,ALB,1991,5.89367964633403,7.64091590812688,0.0340975601779559,10.560713467329,
Albania,ALB,1992,4.58165558661373,5.97652105493748,0.031393989411536,12.2364210623179,
Albania,ALB,1993,3.92474517519534,5.34331137412593,0.034357342916768,9.86115907200091,
Albania,ALB,1994,3.67593200063308,5.24690896856712,0.0350066781776477,8.84339402510351,0.0187437173159788
Albania,ALB,1995,3.22818773479307,4.34990027494695,0.0376884143504359,8.06525475916148,0.0165018888316929
Albania,ALB,1996,3.1603701796178,4.2551465380115,0.0487872692332169,6.81758348929735,0.0183720492662944
Albania,ALB,1997,2.86777628496901,4.04384107346869,0.027015436296858,5.8834426922452,0.0148757547107856
Albania,ALB,1998,2.76112760190636,3.87090073613995,0.028724438633151,5.31804414101902,0.0160200780168723
Albania,ALB,1999,3.93296897965838,4.70086822809495,2.25111248984004,6.15808600887242,0.72349950961749
Albania,ALB,2000,3.69587247203878,4.42329879143519,2.15758841282378,5.58243109542253,0.635800360913812
Albania,ALB,2001,3.53625342346489,4.17957809962988,2.12280146884019,4.83184891862433,0.589735721598511
Albania,ALB,2002,3.91716118885928,4.48398563270871,2.3205092796008,5.55560008367325,0.457733753951992
Albania,ALB,2003,3.62681528993188,4.24657162571998,1.90469725738852,5.39338116363062,0.984174808105009
Albania,ALB,2004,3.85618281123475,4.40755067359301,1.30175427805623,4.43794489877471,0.832008177265231
Albania,ALB,2005,3.50701957079084,4.18067288987803,0.962947077919784,3.98904233519355,0.833228853977314
Albania,ALB,2006,3.04931356642993,3.79003922421134,1.54915295716089,4.38650669320472,0.55963410552144
Albania,ALB,2007,2.85872535035332,3.50330365889054,1.49712711597645,4.42797965196476,0.356333725617336
Albania,ALB,2008,2.77195502654121,3.30936178076813,1.02547620203294,3.96435756785168,0.541940554677669
Albania,ALB,2009,2.77455951322667,3.29890792831828,0.672624105534878,3.82146402281025,0.550123493634725
Albania,ALB,2010,2.83112402581639,3.18025235095878,0.792793781400175,4.67186712442749,0.499554027903513
Albania,ALB,2011,2.84458302764735,3.27341058927824,0.821871210920538,5.65204789313319,0.496142325262577
Albania,ALB,2012,2.69620287884569,2.99590568269667,0.797900966913606,5.09350746283463,0.454420542193166
Algeria,DZA,1990,1.72620143325134,3.50073525835227,,2.34739444437441,
Algeria,DZA,1991,1.90673652924517,3.74795361101101,,2.51088606339002,
