Entity,Code,Year,Tenth percentile (%),Fiftieth percentile,Ninetieth percentile
United States,USA,1980,64.8,60.1,62.4
United States,USA,1989,76.3,72.4,74.6
United States,USA,1998,80.3,79.8,73.8
United States,USA,2010,81.5,82.4,73.9
