Entity,Code,Year,Number of Asian elephants (elephants)
Bangladesh,BGD,2017,268
Bhutan,BTN,2010,513
Cambodia,KHM,2016,500
China,CHN,1976,146
China,CHN,1983,225
China,CHN,1997,216
China,CHN,2003,230
China,CHN,2006,189
China,CHN,2009,197
China,CHN,2014,232
China,CHN,2017,300
India,IND,1980,15627
India,IND,1985,18975
India,IND,1989,20862
India,IND,1993,15604
India,IND,1997,25877
India,IND,2002,26413
India,IND,2007,27694
India,IND,2012,29391
India,IND,2017,27312
Indonesia,IDN,2007,2600
Indonesia,IDN,2012,1724
Laos,LAO,2012,700
Malaysia,MYS,2010,1223
Myanmar,MMR,2017,2000
Nepal,NPL,1903,328
Nepal,NPL,1913,234
Nepal,NPL,1923,198
Nepal,NPL,1933,199
Nepal,NPL,1943,180
Nepal,NPL,1953,136
Nepal,NPL,1963,80
Nepal,NPL,1973,47
Sri Lanka,LKA,2010,5879
Thailand,THA,2017,3100
Vietnam,VNM,1980,1750
Vietnam,VNM,1992,500
Vietnam,VNM,1995,280
Vietnam,VNM,1997,165
Vietnam,VNM,2000,100
Vietnam,VNM,2016,101
