Entity,Code,Year,Accidents (deaths),"Communicable, infectious, neonatal and other deaths (deaths)",Non-communicable diseases (NCDs) (deaths)
United States,USA,1900,14429,267239,61549
United States,USA,1926,83212,795538,399131
United States,USA,1927,83403,746004,405334
United States,USA,1928,89660,849247,449391
United States,USA,1929,92895,847588,458713
United States,USA,1930,94287,794525,469684
United States,USA,1931,92629,775045,471619
United States,USA,1932,84772,718267,518259
United States,USA,1933,90932,735308,547229
United States,USA,1934,100977,757765,574262
United States,USA,1935,99773,741944,587404
United States,USA,1936,110052,776334,630931
United States,USA,1937,105205,751350,633515
United States,USA,1938,93805,678182,641986
United States,USA,1939,92623,664818,662842
United States,USA,1940,96885,656591,698294
United States,USA,1941,100940,637568,698530
United States,USA,1942,95889,604669,712938
United States,USA,1943,99038,632476,751853
United States,USA,1944,95237,591952,748431
United States,USA,1945,95918,567781,766096
United States,USA,1946,92698,568766,771612
United States,USA,1947,99579,559543,818945
United States,USA,1948,98001,540410,838185
United States,USA,1949,90106,485267,899935
United States,USA,1950,91249,468360,927608
United States,USA,1951,95871,473427,949797
United States,USA,1952,96172,468237,970223
United States,USA,1953,95032,465514,994950
United States,USA,1954,90032,438931,987674
United States,USA,1955,93443,448769,1024931
United States,USA,1956,94780,454943,1054381
United States,USA,1957,95307,667656,908867
United States,USA,1960,93806,483618,1172695
United States,USA,1961,92249,466715,1180649
United States,USA,1962,97139,482509,1217876
United States,USA,1963,100669,505236,1251208
United States,USA,1964,103843,495467,1245671
United States,USA,1965,108004,498110,1271185
United States,USA,1966,113563,503769,1298858
United States,USA,1967,113169,491650,1299428
United States,USA,1968,114864,617135,1312947
United States,USA,1969,116385,553319,1308077
United States,USA,1970,114638,609269,1311762
United States,USA,1971,113439,540370,1328114
United States,USA,1972,115448,551274,1353500
United States,USA,1973,115821,552042,1360651
United States,USA,1974,104622,532772,1343396
United States,USA,1975,103030,524526,1311176
United States,USA,1976,100761,531396,1324321
United States,USA,1977,103202,525446,1320459
United States,USA,1978,105561,538666,1335972
United States,USA,1979,105312,522743,1339310
United States,USA,1980,105718,554625,1382670
United States,USA,1981,100704,554538,1374124
United States,USA,1982,94082,544814,1381680
United States,USA,1983,92488,565903,1405262
United States,USA,1984,92911,584001,1408720
United States,USA,1985,93457,616133,1422751
United States,USA,1986,95277,636256,1421693
United States,USA,1987,95020,650946,1425647
United States,USA,1988,97100,678888,1441089
United States,USA,1989,95028,680610,1422403
United States,USA,1990,91983,686162,1417132
United States,USA,1991,89347,695756,1427951
United States,USA,1992,86777,697698,1432120
United States,USA,1993,90523,742557,1477366
United States,USA,1994,91437,753364,1476717
United States,USA,1995,93320,768912,1493263
United States,USA,1996,94948,768788,1494603
United States,USA,1997,95644,773081,1488978
United States,USA,1998,97835,793332,1489590
United States,USA,1901,,251839,63406
United States,USA,1902,,238752,64969
United States,USA,1903,,241767,68478
United States,USA,1904,,258283,73344
United States,USA,1905,,253865,74297
United States,USA,1906,,390449,108811
United States,USA,1907,,399387,118341
United States,USA,1908,,412270,123258
United States,USA,1909,,452628,142618
United States,USA,1910,,500492,157083
United States,USA,1911,,531708,173833
United States,USA,1912,,522811,179653
United States,USA,1913,,567305,188527
United States,USA,1914,,564636,201447
United States,USA,1915,,563176,209824
United States,USA,1916,,644795,229610
United States,USA,1917,,682752,243433
United States,USA,1918,,1098559,273690
United States,USA,1919,,754962,265112
United States,USA,1920,,776666,289149
United States,USA,1924,,731222,360755
United States,USA,1925,,756126,373749
