Entity,Code,Year, (billion tonnes CO2)
Actual,,2014,36.17
Afghanistan,AFG,2014,2.13323477
Albania,ALB,2014,14.39933469
Algeria,DZA,2014,27.19874331
Andorra,AND,2014,46.39785624
Angola,AGO,2014,10.3995195
Anguilla,AIA,2014,70.93005609
Argentina,ARG,2014,34.39841066
Armenia,ARM,2014,13.33271731
Aruba,ABW,2014,61.33049963
Australia,AUS,2014,111.1948624
Austria,AUT,2014,50.13101709
Azerbaijan,AZE,2014,28.2653607
Bahamas,BHS,2014,45.86454755
Bahrain,BHR,2014,167.4589294
Bangladesh,BGD,2014,3.466506501
Barbados,BRB,2014,32.53183024
Belarus,BLR,2014,48.53109101
Belgium,BEL,2014,60.53053659
Belize,BLZ,2014,10.13286516
Benin,BEN,2014,4.266469539
Bermuda,BMU,2014,66.9302409
Bhutan,BTN,2014,9.599556463
Bolivia,BOL,2014,14.13268035
Bosnia and Herzegovina,BIH,2014,42.39804105
Botswana,BWA,2014,22.93227377
Brazil,BRA,2014,18.66580423
British Virgin Islands,VGB,2014,43.73131278
Brunei,BRN,2014,158.659336
Bulgaria,BGR,2014,42.93134974
Burkina Faso,BFA,2014,1.066617385
Burundi,BDI,2014,0.266654346
Cambodia,KHM,2014,3.199852154
Cameroon,CMR,2014,2.13323477
Canada,CAN,2014,109.8615906
Cape Verde,CPV,2014,6.933013001
Cayman Islands,CYM,2014,66.66358655
Central African Republic,CAF,2014,0.533308692
Chad,TCD,2014,0.266654346
Chile,CHL,2014,33.86510197
China,CHN,2014,54.66414097
Christmas Island,CXR,2014,0
Colombia,COL,2014,12.79940862
Comoros,COM,2014,1.333271731
Congo,COG,2014,5.066432578
Cook Islands,COK,2014,24.7988542
Costa Rica,CRI,2014,11.73279123
Cote d'Ivoire,CIV,2014,3.733160847
Croatia,HRV,2014,28.79866939
Cuba,CUB,2014,22.13231073
Curacao,CUW,2014,274.6539766
Cyprus,CYP,2014,38.13157151
Czech Republic,CZE,2014,66.66358655
Czechoslovakia,OWID_CZS,2014,0
Denmark,DNK,2014,43.19800408
Djibouti,DJI,2014,5.866395616
Dominica,DMA,2014,13.59937166
Dominican Republic,DOM,2014,14.93264339
Ecuador,ECU,2014,19.99907597
Egypt,EGY,2014,16.26591512
El Salvador,SLV,2014,7.466321694
Equatorial Guinea,GNQ,2014,47.46447362
Eritrea,ERI,2014,1.066617385
Estonia,EST,2014,107.7283559
Ethiopia,ETH,2014,0.799963039
Faeroe Islands,FRO,2014,90.39582336
Falkland Islands,FLK,2014,137.5936426
Fiji,FJI,2014,9.599556463
Finland,FIN,2014,62.66377136
France,FRA,2014,34.39841066
French Guiana,GUF,2014,20.26573031
French Polynesia,PYF,2014,20.799039
Gabon,GAB,2014,22.39896508
Gambia,GMB,2014,1.866580423
Georgia,GEO,2014,16.26591512
Germany,DEU,2014,64.79700613
Ghana,GHA,2014,3.999815193
Gibraltar,GIB,2014,119.9944558
Greece,GRC,2014,44.53127582
Greenland,GRL,2014,65.59696917
Grenada,GRD,2014,16.53256946
Guadeloupe,GLP,2014,39.99815193
Guatemala,GTM,2014,8.266284732
Guinea,GIN,2014,1.333271731
Guinea-Bissau,GNB,2014,1.066617385
Guyana,GUY,2014,19.19911293
Haiti,HTI,2014,1.866580423
Honduras,HND,2014,8.532939078
Hungary,HUN,2014,30.93190416
Iceland,ISL,2014,43.99796712
India,IND,2014,12.53275427
Indonesia,IDN,2014,13.33271731
Iran,IRN,2014,60.53053659
Iraq,IRQ,2014,34.66506501
Ireland,IRL,2014,53.06421489
Israel,ISR,2014,59.19726486
Italy,ITA,2014,38.93153455
Jamaica,JAM,2014,19.46576727
Japan,JPN,2014,69.59678436
Jordan,JOR,2014,25.86547158
Kazakhstan,KAZ,2014,103.995195
Kenya,KEN,2014,2.399889116
Kiribati,KIR,2014,3.999815193
Kuwait,KWT,2014,184.7914619
Kyrgyzstan,KGZ,2014,11.99944558
Latvia,LVA,2014,25.59881724
Lebanon,LBN,2014,31.19855851
Lesotho,LSO,2014,8.532939078
Liberia,LBR,2014,1.599926077
Liechtenstein,LIE,2014,8.266284732
Lithuania,LTU,2014,31.99852154
Luxembourg,LUX,2014,126.1275058
Macedonia,MKD,2014,26.39878027
Madagascar,MDG,2014,1.066617385
Malawi,MWI,2014,0.533308692
Malaysia,MYS,2014,58.93061051
Maldives,MDV,2014,27.19874331
Mali,MLI,2014,0.533308692
Malta,MLT,2014,40.79811497
Marshall Islands,MHL,2014,13.866026
Martinique,MTQ,2014,42.1313867
Mauritania,MRT,2014,5.066432578
Mauritius,MUS,2014,24.2655455
Mexico,MEX,2014,27.732052
Micronesia (country),FSM,2014,10.3995195
Moldova,MDA,2014,8.799593425
Mongolia,MNG,2014,51.99759751
Montenegro,MNE,2014,25.59881724
Montserrat,MSR,2014,70.13009305
Morocco,MAR,2014,12.53275427
Mozambique,MOZ,2014,2.13323477
Myanmar,MMR,2014,2.933197808
Namibia,NAM,2014,11.46613689
Nauru,NRU,2014,35.1983737
Nepal,NPL,2014,2.13323477
Netherlands,NLD,2014,71.99667347
New Caledonia,NCL,2014,119.9944558
New Zealand,NZL,2014,55.9974127
Nicaragua,NIC,2014,5.866395616
Niger,NER,2014,0.799963039
Nigeria,NGA,2014,3.999815193
Niue,NIU,2014,41.59807801
Norway,NOR,2014,67.19689524
Oman,OMN,2014,105.0618124
Pakistan,PAK,2014,6.666358655
Palau,PLW,2014,89.86251467
Palestine,PSE,2014,4.533123885
Panama,PAN,2014,16.53256946
Papua New Guinea,PNG,2014,6.133049963
Paraguay,PRY,2014,6.399704309
Peru,PER,2014,14.39933469
Philippines,PHL,2014,7.73297604
Poland,POL,2014,53.86417793
Portugal,PRT,2014,31.46521285
Qatar,QAT,2014,361.0499848
Reunion,REU,2014,35.46502804
Romania,ROU,2014,25.86547158
Russia,RUS,2014,86.39600817
Rwanda,RWA,2014,0.533308692
Saint Helena,SHN,2014,22.39896508
Saint Lucia,LCA,2014,16.26591512
Samoa,WSM,2014,7.466321694
Sao Tome and Principe,STP,2014,4.533123885
Saudi Arabia,SAU,2014,141.5934578
Senegal,SEN,2014,4.266469539
Serbia,SRB,2014,30.93190416
Seychelles,SYC,2014,37.59826281
Sierra Leone,SLE,2014,1.599926077
Singapore,SGP,2014,74.39656259
Slovakia,SVK,2014,41.06476931
Slovenia,SVN,2014,45.06458451
Solomon Islands,SLB,2014,2.666543462
Somalia,SOM,2014,0.533308692
South Africa,ZAF,2014,65.86362351
South Korea,KOR,2014,85.32939078
South Sudan,SSD,2014,0.799963039
Spain,ESP,2014,36.79829978
Sri Lanka,LKA,2014,6.399704309
Sudan,SDN,2014,0
Suriname,SUR,2014,26.93208897
Swaziland,SWZ,2014,6.933013001
Sweden,SWE,2014,32.53183024
Switzerland,CHE,2014,31.19855851
Syria,SYR,2014,11.99944558
Taiwan,TWN,2014,82.12953863
Tajikistan,TJK,2014,4.533123885
Tanzania,TZA,2014,0
Thailand,THA,2014,33.86510197
Timor-Leste,,2014,2.933197808
Togo,TGO,2014,2.666543462
Tonga,TON,2014,8.266284732
Trinidad and Tobago,TTO,2014,248.5218507
Tunisia,TUN,2014,18.93245858
Turkey,TUR,2014,32.53183024
Turkmenistan,TKM,2014,93.86232986
Turks and Caicos Islands,TCA,2014,44.26462147
Uganda,UGA,2014,1.066617385
Ukraine,UKR,2014,36.79829978
United Arab Emirates,ARE,2014,169.0588555
United Kingdom,GBR,2014,47.46447362
United States,USA,2014,118.1278754
Uruguay,URY,2014,14.39933469
Uzbekistan,UZB,2014,25.86547158
Vanuatu,VUT,2014,4.266469539
Venezuela,VEN,2014,43.99796712
Wallis and Futuna,WLF,2014,11.73279123
Yemen,YEM,2014,6.399704309
Zambia,ZMB,2014,2.13323477
Zanzibar,OWID_ZAN,2014,0
Zimbabwe,ZWE,2014,5.866395616
