Entity,Code,Year,Indicator 5.2.1: Age-standardised prevalence of women aged 15 years and older who experienced physical or sexual violence by an intimate partner in the last 12 months (%) - Past - Unscaled (%)
Slovenia,SVN,1995,16.541
Slovenia,SVN,2000,15.712
Slovenia,SVN,2005,14.861
Slovenia,SVN,2010,13.741
Slovenia,SVN,2016,12.671
Solomon Islands,SLB,1990,48.796
Solomon Islands,SLB,1995,48.42
Solomon Islands,SLB,2000,48.156
Solomon Islands,SLB,2005,47.737
Solomon Islands,SLB,2010,46.896
Solomon Islands,SLB,2016,45.628
Somalia,SOM,1990,53.758
Somalia,SOM,1995,54.98
Somalia,SOM,2000,56.437
Somalia,SOM,2005,56.392
Somalia,SOM,2010,56.205
Somalia,SOM,2016,55.937
South Africa,ZAF,1990,33.554
South Africa,ZAF,1995,33.173
South Africa,ZAF,2000,33.011
South Africa,ZAF,2005,32.493
South Africa,ZAF,2010,31.272
South Africa,ZAF,2016,30.953
South Korea,KOR,1990,21.715
South Korea,KOR,1995,19.979
South Korea,KOR,2000,19.058
South Korea,KOR,2005,17.757
South Korea,KOR,2010,16.073
South Korea,KOR,2016,14.557
South Sudan,SSD,1990,57.765
South Sudan,SSD,1995,58.218
South Sudan,SSD,2000,58.726
South Sudan,SSD,2005,58.663
South Sudan,SSD,2010,58.437
South Sudan,SSD,2016,58.015
Spain,ESP,1990,15.976
Spain,ESP,1995,15.095
Spain,ESP,2000,14.418
Spain,ESP,2005,13.887
Spain,ESP,2010,12.868
Spain,ESP,2016,11.877
Sri Lanka,LKA,1990,42.08
Sri Lanka,LKA,1995,42.399
Sri Lanka,LKA,2000,38.111
Sri Lanka,LKA,2005,36.009
Sri Lanka,LKA,2010,33.456
Sri Lanka,LKA,2016,30.278
Sudan,SDN,1990,47.662
Sudan,SDN,1995,47.769
Sudan,SDN,2000,48.4
Sudan,SDN,2005,50.079
Sudan,SDN,2010,49.27
Sudan,SDN,2016,47.094
Suriname,SUR,1990,28.604
Suriname,SUR,1995,28.421
Suriname,SUR,2000,28.173
Suriname,SUR,2005,27.27
Suriname,SUR,2010,25.786
Suriname,SUR,2016,24.023
Swaziland,SWZ,1990,45.153
Swaziland,SWZ,1995,43.089
Swaziland,SWZ,2000,42.712
Swaziland,SWZ,2005,43.6
Swaziland,SWZ,2010,44.082
Swaziland,SWZ,2016,42.836
Sweden,SWE,1990,16.254
Sweden,SWE,1995,15.316
Sweden,SWE,2000,14.86
Sweden,SWE,2005,14.618
Sweden,SWE,2010,14.44
Sweden,SWE,2016,14.075
Switzerland,CHE,1990,15.293
Switzerland,CHE,1995,14.784
Switzerland,CHE,2000,14.172
Switzerland,CHE,2005,13.605
Switzerland,CHE,2010,12.892
Switzerland,CHE,2016,12.396
Syria,SYR,1990,49.623
Syria,SYR,1995,48.986
Syria,SYR,2000,49.881
Syria,SYR,2005,47.763
Syria,SYR,2010,45.774
Syria,SYR,2016,43.743
Taiwan,TWN,1990,29.099
Taiwan,TWN,1995,28.135
Taiwan,TWN,2000,25.761
Taiwan,TWN,2005,23.422
Taiwan,TWN,2010,21.651
Taiwan,TWN,2016,20.17
Tajikistan,TJK,1990,33.489
Tajikistan,TJK,1995,34.714
Tajikistan,TJK,2000,35.073
Tajikistan,TJK,2005,32.901
Tajikistan,TJK,2010,31.395
Tajikistan,TJK,2016,30.567
Tanzania,TZA,1990,54.679
Tanzania,TZA,1995,54.606
Tanzania,TZA,2000,53.669
Tanzania,TZA,2005,50.813
Tanzania,TZA,2010,48.8
Tanzania,TZA,2016,47.374
Thailand,THA,1990,38.419
Thailand,THA,1995,37.323
Thailand,THA,2000,35.14
Thailand,THA,2005,32.009
Thailand,THA,2010,29.317
Thailand,THA,2016,27.171
Timor,TLS,1990,52.62
Timor,TLS,1995,49.675
Timor,TLS,2000,47.416
Timor,TLS,2005,46.59
Timor,TLS,2010,43.296
Timor,TLS,2016,41.019
Togo,TGO,1990,39.583
Togo,TGO,1995,38.58
Togo,TGO,2000,38.193
Togo,TGO,2005,38.069
Togo,TGO,2010,37.681
Togo,TGO,2016,37.363
Tonga,TON,1990,42.181
Tonga,TON,1995,40.205
Tonga,TON,2000,37.437
Tonga,TON,2005,35.533
Tonga,TON,2010,35.008
Tonga,TON,2016,34.286
Trinidad and Tobago,TTO,1990,26
Trinidad and Tobago,TTO,1995,25.934
Trinidad and Tobago,TTO,2000,25.304
Trinidad and Tobago,TTO,2005,25.337
Trinidad and Tobago,TTO,2010,24.135
Trinidad and Tobago,TTO,2016,22.478
Tunisia,TUN,1990,41.553
Tunisia,TUN,1995,40.029
Tunisia,TUN,2000,38.791
Tunisia,TUN,2005,38.437
Tunisia,TUN,2010,38.179
Tunisia,TUN,2016,36.265
Turkey,TUR,1990,39.143
Turkey,TUR,1995,38.657
Turkey,TUR,2000,37.772
Turkey,TUR,2005,36.808
Turkey,TUR,2010,35.454
Turkey,TUR,2016,34.347
Turkmenistan,TKM,1990,30.125
Turkmenistan,TKM,1995,28.673
Turkmenistan,TKM,2000,28.316
Turkmenistan,TKM,2005,27.102
Turkmenistan,TKM,2010,25.57
Turkmenistan,TKM,2016,23.331
Uganda,UGA,1990,59.198
Uganda,UGA,1995,58.489
Uganda,UGA,2000,57.945
Uganda,UGA,2005,56.357
Uganda,UGA,2010,53.028
Uganda,UGA,2016,50.479
Ukraine,UKR,1990,22.816
Ukraine,UKR,1995,23.95
Ukraine,UKR,2000,24.53
Ukraine,UKR,2005,23.595
Ukraine,UKR,2010,21.499
Ukraine,UKR,2016,20.938
United Arab Emirates,ARE,1990,48.684
United Arab Emirates,ARE,1995,46.009
United Arab Emirates,ARE,2000,45.47
United Arab Emirates,ARE,2005,45.73
United Arab Emirates,ARE,2010,47.743
United Arab Emirates,ARE,2016,45.269
United Kingdom,GBR,1990,16.486
United Kingdom,GBR,1995,15.4
United Kingdom,GBR,2000,14.492
United Kingdom,GBR,2005,14.109
United Kingdom,GBR,2010,13.591
United Kingdom,GBR,2016,13.092
United States,USA,1990,16.62
United States,USA,1995,15.877
United States,USA,2000,15.157
United States,USA,2005,14.517
United States,USA,2010,13.729
United States,USA,2016,13.539
Uruguay,URY,1990,22.254
Uruguay,URY,1995,22.278
Uruguay,URY,2000,21.645
Uruguay,URY,2005,20.916
Uruguay,URY,2010,20.408
Uruguay,URY,2016,19.425
Uzbekistan,UZB,1990,30.662
Uzbekistan,UZB,1995,29.033
Uzbekistan,UZB,2000,27.799
Uzbekistan,UZB,2005,26.663
Uzbekistan,UZB,2010,25.498
Uzbekistan,UZB,2016,23.737
Vanuatu,VUT,1990,39.476
Vanuatu,VUT,1995,39.217
Vanuatu,VUT,2000,39.075
Vanuatu,VUT,2005,38.416
Vanuatu,VUT,2010,36.973
Vanuatu,VUT,2016,35.987
Venezuela,VEN,1990,27.898
Venezuela,VEN,1995,28.241
Venezuela,VEN,2000,29.034
Venezuela,VEN,2005,28.99
Venezuela,VEN,2010,27.43
Venezuela,VEN,2016,25.579
Vietnam,VNM,1990,33.036
Vietnam,VNM,1995,32.505
Vietnam,VNM,2000,31.801
Vietnam,VNM,2005,30.468
Vietnam,VNM,2010,29.205
Vietnam,VNM,2016,27.418
Yemen,YEM,1990,61.629
Yemen,YEM,1995,61.354
Yemen,YEM,2000,59.608
Yemen,YEM,2005,57.549
Yemen,YEM,2010,56.983
Yemen,YEM,2016,55.222
Zambia,ZMB,1990,51.881
Zambia,ZMB,1995,52.387
Zambia,ZMB,2000,51.584
Zambia,ZMB,2005,51.603
Zambia,ZMB,2010,49.757
Zambia,ZMB,2016,47.309
Zimbabwe,ZWE,1990,44.1
Zimbabwe,ZWE,1995,41.901
Zimbabwe,ZWE,2000,42.118
Zimbabwe,ZWE,2005,43.662
Zimbabwe,ZWE,2010,44.79
Zimbabwe,ZWE,2016,43.375
