Entity,Code,Year,MDG5.B: share of married women using contraceptives (%)
Developing regions,,1990,51.8
Developing regions,,2000,59.7
Developing regions,,2013,62.5
World,OWID_WRL,1990,55
World,OWID_WRL,2000,61.5
World,OWID_WRL,2013,63.4
