Entity,Code,Year,Male (cigarettes),Female (cigarettes)
United States,USA,1947,24,18
United States,USA,1955,18,13
United States,USA,1958,8.8999996,6.8000002
United States,USA,1959,9.8999996,6.8000002
United States,USA,1965,21,17
United States,USA,1966,19,16
United States,USA,1967,19,15
United States,USA,1968,16.5,14
United States,USA,1970,19.5,16.25
United States,USA,1972,16,12
United States,USA,1974,19,15.5
United States,USA,1975,23,19
United States,USA,1976,21.5,18
United States,USA,1977,22,18
United States,USA,1978,23.5,18.5
United States,USA,1979,21.4,17.200001
United States,USA,1980,23,19.5
United States,USA,1982,22,19
United States,USA,1983,22,18
United States,USA,1985,22,18
United States,USA,1987,22,18
United States,USA,1988,22,19
United States,USA,1989,20,17
United States,USA,1990,22,17.5
United States,USA,1991,21.5,18
United States,USA,1992,21,18
United States,USA,1993,21,18
United States,USA,1994,21,17.333334
United States,USA,1995,22,17.5
United States,USA,1996,22,18
United States,USA,1997,21.5,17.5
United States,USA,1998,20.5,17
United States,USA,1999,19.5,17
United States,USA,2000,19.5,16.5
United States,USA,2001,19.5,16
United States,USA,2002,19,16
United States,USA,2003,18,16
United States,USA,2004,18.5,15.5
United States,USA,2005,18,15
United States,USA,2006,18,15
United States,USA,2007,18,15
United States,USA,2008,17.5,14.5
United States,USA,2009,17,14.5
United States,USA,2010,16.5,14
United States,USA,2011,16.5,14
United States,USA,2012,15.5,14
United States,USA,2013,15.5,13.5
United States,USA,2014,15,12
