Entity,Code,Year,Weighted average (2016 USD per watt),Maximum project cost (2016 USD per watt),Minimum project cost (2016 USD per watt)
World,OWID_WRL,1983,4.880147968,5.2582430350000005,3.829883892
World,OWID_WRL,1984,4.624894134,4.664322692,3.639180188
World,OWID_WRL,1985,4.521800241,4.60800266,3.623858377
World,OWID_WRL,1986,3.985295973,4.096002364,3.4968854240000002
World,OWID_WRL,1987,3.8500354430000003,3.993602305,3.306147035
World,OWID_WRL,1988,2.959242882,2.971857224,2.951169703
World,OWID_WRL,1989,2.773228926,3.0038394239999997,2.705653265
World,OWID_WRL,1990,3.126765937,3.37920195,3.0612927439999997
World,OWID_WRL,1991,3.080694647,3.37920195,2.949121702
World,OWID_WRL,1992,2.9730339420000003,3.072001773,2.611201507
World,OWID_WRL,1993,2.917666209,3.072001773,2.150401241
World,OWID_WRL,1994,2.843356732,3.072001773,1.893932314
World,OWID_WRL,1995,2.563143307,2.867201655,2.30400133
World,OWID_WRL,1996,2.43831182,2.764801596,1.951745126
World,OWID_WRL,1997,2.306000758,2.662401537,2.1862412620000002
World,OWID_WRL,1998,2.295478314,2.560001478,2.048001182
World,OWID_WRL,1999,2.1487603060000002,2.4576014180000003,1.9456011229999999
World,OWID_WRL,2000,2.108795104,2.7627535950000004,1.250304722
World,OWID_WRL,2001,1.994845705,3.13548981,1.183288533
World,OWID_WRL,2002,1.9605392480000001,2.150401241,1.054720609
World,OWID_WRL,2003,1.846212239,3.092,1.1571206680000001
World,OWID_WRL,2004,1.876092109,3.407873967,1.0721286190000001
World,OWID_WRL,2005,1.755120425,3.321857917,1.061888613
World,OWID_WRL,2006,1.8365420200000002,2.778113603,1.207296697
World,OWID_WRL,2007,1.8430018600000002,3.0474257590000002,1.031168595
World,OWID_WRL,2008,1.94912798,3.32697792,1.0823686250000002
World,OWID_WRL,2009,1.98547785,4.169730407,1.136640656
World,OWID_WRL,2010,1.781610422,5.156451459,0.8375024855000001
World,OWID_WRL,2011,1.7570196350000002,4.138860126,0.9261636547000001
World,OWID_WRL,2012,1.817339368,4.378595056,0.8111498675000001
World,OWID_WRL,2013,1.604366978,4.371532806,0.9745905123999999
World,OWID_WRL,2014,1.58618553,3.5139738659999997,0.8174773941
World,OWID_WRL,2015,1.4538827730000001,4.324544136,0.8719230768999999
World,OWID_WRL,2016,1.455815549,2.652379355,0.8827812613
World,OWID_WRL,2017,1.379468476,2.908638144,1.085
