Entity,Code,Year,MDG1.A: share in extreme poverty ($1.25 per day) (%)
Developing regions,,1990,47
Developing regions,,1999,36.5
Developing regions,,2005,26.5
Developing regions,,2011,18.1
Developing regions,,2015,14
