Entity,Code,Year,"Indicator:Alcohol, abstainers past 12 months (%) - Sex:Both sexes (%)"
Libya,LBY,2010,97.6
Lithuania,LTU,2010,34.7
Luxembourg,LUX,2010,6.1
Macedonia,MKD,2010,42.9
Madagascar,MDG,2010,85.9
Malawi,MWI,2010,80.6
Malaysia,MYS,2010,87.6
Maldives,MDV,2010,91
Mali,MLI,2010,96.2
Malta,MLT,2010,39.4
Mauritania,MRT,2010,97.7
Mauritius,MUS,2010,68
Mexico,MEX,2010,43.1
Micronesia (country),FSM,2010,59.3
Moldova,MDA,2010,33.7
Mongolia,MNG,2010,54.3
Montenegro,MNE,2010,34.8
Morocco,MAR,2010,94.6
Mozambique,MOZ,2010,82.1
Myanmar,MMR,2010,92.1
Namibia,NAM,2010,61
Nauru,NRU,2010,71.9
Nepal,NPL,2010,92.4
Netherlands,NLD,2010,11.8
New Zealand,NZL,2010,20.5
Nicaragua,NIC,2010,50.7
Niger,NER,2010,94.7
Nigeria,NGA,2010,56.4
Niue,NIU,2010,56
North Korea,PRK,2010,78.9
Norway,NOR,2010,14.1
Oman,OMN,2010,94.1
Pakistan,PAK,2010,96
Palau,PLW,2010,45
Panama,PAN,2010,40.2
Papua New Guinea,PNG,2010,65.4
Paraguay,PRY,2010,38.1
Peru,PER,2010,44.6
Philippines,PHL,2010,55.7
Poland,POL,2010,48.3
Portugal,PRT,2010,43
Qatar,QAT,2010,93.3
Romania,ROU,2010,32.4
Russia,RUS,2010,32.2
Rwanda,RWA,2010,55.3
Saint Kitts and Nevis,KNA,2010,57.5
Saint Lucia,LCA,2010,47.8
Saint Vincent and the Grenadines,VCT,2010,44.1
Samoa,WSM,2010,54.7
Sao Tome and Principe,STP,2010,61.9
Saudi Arabia,SAU,2010,94.2
Senegal,SEN,2010,94.5
Serbia,SRB,2010,34
Seychelles,SYC,2010,55.8
Sierra Leone,SLE,2010,55.3
Singapore,SGP,2010,50.1
Slovakia,SVK,2010,32.4
Slovenia,SVN,2010,67.8
Solomon Islands,SLB,2010,94.6
Somalia,SOM,2010,59.4
South Korea,KOR,2010,55.2
Spain,ESP,2010,31.7
Sri Lanka,LKA,2010,81.7
Sudan,SDN,2010,88.9
Suriname,SUR,2010,48.1
Swaziland,SWZ,2010,56.1
Sweden,SWE,2010,31.2
Switzerland,CHE,2010,11.5
Syria,SYR,2010,92.5
Tajikistan,TJK,2010,90.7
Tanzania,TZA,2010,58.1
Thailand,THA,2010,70.3
Timor,TLS,2010,92.9
Togo,TGO,2010,37.2
Tonga,TON,2010,67
Trinidad and Tobago,TTO,2010,48.9
Tunisia,TUN,2010,94.3
Turkey,TUR,2010,86.2
Turkmenistan,TKM,2010,60.7
Tuvalu,TUV,2010,75.6
Uganda,UGA,2010,58.7
Ukraine,UKR,2010,31.7
United Arab Emirates,ARE,2010,87
United Kingdom,GBR,2010,16.1
United States,USA,2010,31.1
Uruguay,URY,2010,41.3
Uzbekistan,UZB,2010,62.8
Vanuatu,VUT,2010,68.2
Venezuela,VEN,2010,40.9
Vietnam,VNM,2010,61.7
Yemen,YEM,2010,95.9
Zambia,ZMB,2010,69.4
Zimbabwe,ZWE,2010,61
