Entity,Code,Year,Iron ore,Bauxite,Tin,Zinc,Steel,Manganese,Aluminum,Chromium,Copper,Lead,Nickel
World,OWID_WRL,1935,67.10697184,112.7228939,99.98040512,58.84447618,66.28274667,79.31011688,37.16748975,47.64072417,31.67627159,55.07984841,41.60815732
World,OWID_WRL,1936,65.97771023,113.0751323,91.22833234,65.99007709,70.03845016,69.02418009,36.81887694,47.19387755,34.35297952,63.30068068,41.21789322
World,OWID_WRL,1937,68.02228412,105.812442,103.0295684,84.69211913,84.49973183,67.08871082,34.84310605,43.52616395,46.11220329,77.95800969,39.78272981
World,OWID_WRL,1938,62.93402594,117.237568,81.73816856,61.07174984,84.32481519,88.31094806,35.33426138,44.36023522,35.68300372,62.66438516,40.54506742
World,OWID_WRL,1939,74.56336259,111.2681545,98.63256128,68.74748453,79.71506379,89.48763431,35.84303404,42.90599609,39.67134517,67.72461255,41.12886969
World,OWID_WRL,1940,62.21561699,103.9692088,96.70159879,84.32307428,77.47816347,79.10086272,33.17877263,43.51389879,40.49332434,68.77306009,40.71846044
World,OWID_WRL,1941,62.3160145,96.96528626,96.15247396,95.0233745,73.79624125,81.75933415,27.88443216,40.45921831,40.27588347,73.21823463,38.78343517
World,OWID_WRL,1942,55.46377757,88.15836401,86.8598198,94.45789798,66.68825973,74.50709613,22.9080738,49.93865031,36.33448291,74.05003792,32.00613497
World,OWID_WRL,1943,52.45800025,86.70119461,81.83902097,88.99790388,62.83344703,72.49120381,21.58390768,54.61395541,34.23422378,69.98804724,30.15606936
World,OWID_WRL,1944,52.94148936,83.25,80.44403766,87.48089415,61.76242236,87.25049331,21.21600017,57.8125,33.65068588,68.79506917,29.64204545
World,OWID_WRL,1945,52.34231678,84.656,78.65639238,85.53687428,62.07522429,96.21425507,20.7445335,56.52777778,32.90289286,67.26628985,28.98333333
World,OWID_WRL,1946,53.35786929,76.539884,75.99559749,83.35607001,63.9103098,88.38584846,17.83530297,38.68255593,35.56014065,77.31200019,29.23643808
World,OWID_WRL,1947,53.3373969,62.37994628,95.002697,87.71584732,61.55796638,80.7966889,15.59990242,41.64215373,47.17137452,122.3180197,25.57206804
World,OWID_WRL,1948,55.81253976,56.43012182,112.2179207,107.4442344,64.87845897,77.95965194,16.23031621,45.87683911,46.01755197,139.5481668,24.40033223
World,OWID_WRL,1949,64.77434319,54.4259399,113.4072086,95.08661718,71.01579489,85.62492396,17.74371393,46.31925726,40.47554087,119.9651249,27.36603774
World,OWID_WRL,1950,70.77260197,55.43853821,108.0242462,107.5734052,72.85703968,103.0315014,18.29784006,44.66955387,44.34789271,102.881174,30.48504983
World,OWID_WRL,1951,71.99646209,51.88545035,133.1797875,129.3020145,72.00474326,99.26495442,18.20529452,44.75970527,46.83327217,125.4725789,33.89530408
World,OWID_WRL,1952,81.01839163,53.3877715,123.5409151,113.9671581,71.98231393,111.7483907,18.18917482,51.46354587,45.82781209,115.5525101,35.11864407
World,OWID_WRL,1953,88.18198449,53.80007477,97.54758534,75.64453841,76.54728043,126.9119015,19.4489224,59.77303071,54.13060709,93.93756959,36.51588785
World,OWID_WRL,1954,87.11119554,54.83194444,93.02122248,74.24304456,79.37463029,116.2653799,20.18866061,45.96487032,55.53322225,97.3642055,37.16517857
World,OWID_WRL,1955,93.25695581,59.90002489,96.31913218,85.79239893,84.39087295,107.5037904,22.03024315,46.67929158,70.38442356,105.3070635,40.34353996
World,OWID_WRL,1956,97.87421915,61.5740986,101.586787,92.66065571,89.47344366,123.7378595,21.9805626,51.34027121,77.3582054,109.7202611,38.933039
World,OWID_WRL,1957,99.66970258,65.08144464,93.10151088,67.56763911,94.2929956,151.4917172,22.46111951,57.8330373,52.83081501,97.00775868,42.84902309
World,OWID_WRL,1958,99.05211736,65.45025357,89.55686441,53.18494195,93.53066502,131.8708977,21.34658931,56.29322268,44.78400023,77.99914581,41.70816044
World,OWID_WRL,1959,100.7314012,66.17704618,95.28459344,65.92067378,98.48256354,123.0107599,21.08560024,67.29497354,53.75979775,77.99744015,41.3648834
World,OWID_WRL,1960,97.6467884,64.41647535,93.24139236,70.35750509,96.95312467,112.7534275,21.85069769,42.20362689,54.40245628,75.15024913,40.72248481
World,OWID_WRL,1961,105.6977472,68.92156863,103.1091558,60.71163658,95.9810011,121.2747257,21.21550048,34.00735294,50.27778304,67.6735701,42.54010695
World,OWID_WRL,1962,100.9615953,81.77660278,103.1549445,52.1660322,94.90256288,102.153867,19.66108498,60.04508545,50.84216725,59.27886622,43.04031725
World,OWID_WRL,1963,104.2995122,86.48639234,103.721827,58.56185265,94.77749695,86.10902135,18.37305253,55.06671643,50.24441479,67.76826735,42.05094709
World,OWID_WRL,1964,105.6004827,87.44226018,138.2813366,88.76208031,96.6209819,89.32203822,19.0128879,58.08664426,51.78430149,81.64087007,41.4953271
World,OWID_WRL,1965,101.5222609,77.72032108,153.7330369,83.77271937,94.9983862,85.64175683,19.3245115,59.87461525,55.78957606,94.43537847,40.79847909
World,OWID_WRL,1966,101.3751786,76.23413432,137.6193165,73.35291241,91.74138835,87.27539599,18.78871173,54.18427075,56.0238864,86.76581042,39.66728281
World,OWID_WRL,1967,99.97400943,83.83712575,125.0734974,68.96032162,89.6135679,83.31389753,18.63267887,57.4465355,57.54798358,78.07720035,42.98203593
World,OWID_WRL,1968,97.34556126,78.59310345,115.9068196,63.95155021,89.20468337,71.88479022,18.31192627,57.64162562,60.462495,70.70890971,44.44252874
World,OWID_WRL,1969,96.34868784,77.18978275,122.1353403,66.11894142,90.44643598,61.88700735,18.46446601,54.70216993,65.16748758,75.68709526,46.81756204
World,OWID_WRL,1970,92.74930429,68.12674219,122.1206947,64.4669823,90.86041796,61.13657738,18.39413109,47.90348683,74.69125824,74.91118841,54.10916581
World,OWID_WRL,1971,93.20104834,65.69334321,112.4748577,64.76547067,98.47212022,63.24489988,17.82037578,67.45777057,63.83047874,63.45553365,53.52258702
World,OWID_WRL,1972,100.1489616,67.42811629,115.4573567,76.44155551,86.13756614,72.96979185,15.70323291,68.42379246,60.81344606,66.89694021,54.63799283
World,OWID_WRL,1973,99.74582964,61.0423697,139.3604963,160.2099795,95.31709157,77.02280983,14.00070808,68.99967861,66.58799762,68.26449104,56.10348706
World,OWID_WRL,1974,108.8371411,110.4474627,218.7122674,212.364368,110.4857261,113.8599121,17.20755773,94.58674814,78.12279836,85.07388746,57.60389215
World,OWID_WRL,1975,124.811103,81.84348687,171.8458924,117.2477957,107.3345916,137.8684909,18.40165241,158.4781628,59.33551282,74.48793026,62.67459138
World,OWID_WRL,1976,137.4825311,90.73035944,181.6158387,105.9207454,100.5142168,151.9772439,19.41085469,128.406468,60.76746613,75.56908193,64.46083597
World,OWID_WRL,1977,142.8736919,90.60859044,240.1464055,82.34099671,105.7726776,155.66352,21.06931068,119.4322012,54.59095647,94.3500884,61.04603201
World,OWID_WRL,1978,147.1145126,87.53224982,262.828611,77.02873212,108.6065129,155.1207407,20.26713239,102.5211372,50.50072722,96.10632109,51.05795768
World,OWID_WRL,1979,147.011103,76.2739424,267.2075382,86.42088497,97.60668004,154.1577877,20.37520305,117.375342,63.91650959,135.1416414,59.75471958
World,OWID_WRL,1980,145.0620632,66.66407704,279.6044659,78.19500172,99.42412001,150.899466,20.97142893,112.5732667,62.48197106,95.9355861,55.96261228
World,OWID_WRL,1981,142.8501232,67.55731515,216.3260902,78.74424266,94.24559059,139.4295239,20.80515404,113.1781119,46.30911138,74.85276762,48.58462554
World,OWID_WRL,1982,138.9121376,73.33029361,184.4633729,65.33518386,90.27271264,161.759668,19.60427623,102.1265729,37.97136283,46.08851803,36.88497409
World,OWID_WRL,1983,161.0193967,62.54832664,176.2257818,64.97242313,102.7931602,128.148515,19.41986346,94.71564831,39.29091435,37.97000765,34.69678715
World,OWID_WRL,1984,133.019065,62.257812,163.4582254,75.11138947,107.4439709,136.423152,19.41542812,101.2883267,32.30577182,42.89548312,33.97305101
World,OWID_WRL,1985,124.2600649,58.50309789,149.8134265,61.63048867,113.2408968,128.5445102,18.74779723,103.0738848,30.63770972,30.91511855,34.24907063
World,OWID_WRL,1986,108.0866594,54.46472019,90.98860825,58.23545655,111.1744571,120.0907473,20.92310355,90.18508863,29.63076425,32.24666712,26.19708029
World,OWID_WRL,1987,90.25471981,44.52159624,80.55932878,59.47057969,76.19455866,121.7635647,16.34651262,84.19454225,37.01522672,45.84252817,31.52816901
World,OWID_WRL,1988,82.86253844,43.85370527,81.8471088,88.75116242,73.72298032,144.5053653,25.58676113,129.0152156,51.8800644,48.37201271,86.32290786
World,OWID_WRL,1989,87.43376802,46.9144086,94.50431232,127.5277035,79.91584853,171.9659934,18.6691375,145.3571429,54.18868458,47.34419254,79.37096774
World,OWID_WRL,1990,81.89161471,45.1737822,63.93214522,106.6459255,79.02987734,184.923942,14.87971738,99.20319161,48.03738689,54.12776636,50.16373374
World,OWID_WRL,1991,76.55012966,48.449535,56.40670562,76.05085662,76.46956887,208.1845192,11.34468209,96.05097546,40.50840189,35.73795394,44.33480176
World,OWID_WRL,1992,70.60978754,44.24880019,59.7105366,83.50833181,62.99154872,163.8421039,10.60802348,90.96476937,38.35515289,33.63676803,36.92088382
World,OWID_WRL,1993,61.84554222,41.76092272,49.04317297,62.08486434,64.51958993,147.1095131,9.353267611,69.30869995,31.23163513,24.53328022,27.09065744
World,OWID_WRL,1994,58.89912999,37.4959964,50.62363989,63.02454702,64.64866179,142.7254819,11.82385318,68.06872952,36.7287683,32.24370988,31.65721997
World,OWID_WRL,1995,62.95806109,33.47156605,55.98546272,63.13472405,62.86700575,138.1004475,14.05846085,115.4082302,45.44033873,36.11762067,39.96194226
World,OWID_WRL,1996,63.80158117,37.21538135,53.95321488,61.35123511,61.06393676,145.5605352,11.38661202,86.52872621,34.5035188,43.04874139,35.37284895
World,OWID_WRL,1997,64.52866706,33.27003115,48.30906816,76.18862172,62.21435344,139.0118807,11.82366238,92.376502,33.46369893,33.92371063,31.95140187
World,OWID_WRL,1998,66.30152722,30.22952965,46.6717432,58.3229814,58.15836604,127.3952123,9.881749055,81.06113059,23.93832328,28.29099192,21.0196319
World,OWID_WRL,1999,55.72067125,28.14309724,44.53578084,60.56333691,49.5978497,112.8319297,9.69399782,61.85967244,22.27130642,26.31700177,26.69507803
World,OWID_WRL,2000,51.89710134,29.11869919,43.34359434,61.3091033,58.33782048,118.7525839,10.67452428,64.23739008,24.84318472,22.99532988,37.12891986
World,OWID_WRL,2001,47.91859389,28.55817805,34.7691728,46.87940058,41.51617831,104.9519087,9.67228117,70.0931677,21.02302059,23.45350484,24.86166008
World,OWID_WRL,2002,49.86836659,24.61456365,30.99254816,40.53377089,46.56027552,91.99049893,8.903583381,63.8650134,20.44920719,21.95011806,27.84769316
World,OWID_WRL,2003,58.35800185,23.00434783,36.52874977,42.1269841,59.09504218,114.3831968,9.230015536,72.85256887,22.8099107,24.4169994,38.72934783
World,OWID_WRL,2004,67.47958506,25.85494971,61.87879177,51.94111975,90.33173422,202.743888,10.77606157,106.189972,35.78957885,40.93988802,54.06034939
World,OWID_WRL,2005,77.68343302,27.45287592,51.88570529,66.17813047,110.1200355,128.0946469,11.53329115,112.385707,44.43667439,43.61000239,55.69892473
World,OWID_WRL,2006,92.43752111,30.25582011,59.80608479,151.6753704,101.0641116,139.4288643,15.12569423,101.6634779,78.65854329,55.80564055,88.82936508
World,OWID_WRL,2007,99.23386195,32.66364426,96.26960629,146.7334091,90.07739855,201.6587625,15.09771097,140.912442,80.98752625,108.5445593,132.7674351
World,OWID_WRL,2008,120.1802532,26.61662796,118.0502248,81.95843217,139.321079,388.4062036,14.17912232,235.6230509,76.21445431,84.70580428,72.52206224
World,OWID_WRL,2009,150.47494,30.15095864,86.87604266,72.36749969,108.1584787,224.3703789,9.207674528,137.5384544,56.62463554,69.90506384,50.35890743
World,OWID_WRL,2010,160.2771831,29.26607356,128.49202,92.75023302,111.4411888,241.695454,11.82491543,176.646991,81.51245766,85.94538763,73.97963863
World,OWID_WRL,2011,177.6878669,31.63350645,159.4195567,91.377422,119.5121084,263.1946268,12.65140679,167.9509224,92.23191717,93.14568103,75.33116891
World,OWID_WRL,2012,133.3551923,27.38508894,126.2742893,79.51544426,111.6090221,214.557304,10.43738174,171.0022441,81.6466238,78.34687088,56.51350579
World,OWID_WRL,2013,138.3637423,26.28010134,131.5094659,76.73808826,102.9579309,175.3557928,9.398564461,146.2211864,74.43579227,80.18255735,47.70509915
World,OWID_WRL,2014,98.25,26.96,128.18,86.16,100.762635,168.32,9.4,156.48,68.35,77.87,53.22
World,OWID_WRL,2015,55.60583799,23.84345117,93.37197823,76.46185461,94.55008038,134.054465,8.343980484,131.5444262,54.62,65.9,37.09862256
World,OWID_WRL,1850,,,61.75391103,86.28674721,58.3065494,,,,115.8092126,138.6827818,416.0845443
World,OWID_WRL,1851,,,66.32257645,83.36460917,60.0801622,,,,118.3098164,137.6863725,425.0688259
World,OWID_WRL,1852,,,68.01471031,94.93253774,62.08705263,,,,133.5526699,140.1640398,420.5287049
World,OWID_WRL,1853,,,90.41955605,153.4867277,67.43880985,,,,159.0627305,189.517575,370.4138852
World,OWID_WRL,1854,,,85.40815277,163.2403515,63.69511544,,,,158.7880521,174.3841077,340.8353808
World,OWID_WRL,1855,,,82.24690541,130.281809,44.27724041,,,,154.2404229,165.860859,305.7565632
World,OWID_WRL,1856,,,96.97182477,143.9426099,43.50852749,,,,147.6713767,179.8822279,311.7080292
World,OWID_WRL,1857,,,94.92927847,170.0810576,42.27424302,,,,150.1248084,169.5358104,279.7163121
World,OWID_WRL,1858,,,87.87163657,154.8199885,44.81705463,,,,138.0281191,164.9100755,245.4135338
World,OWID_WRL,1859,,,99.64040891,124.3400898,44.37222034,,,,136.658113,165.1077819,242.9776675
World,OWID_WRL,1860,,,97.40965349,119.7091739,44.37222034,,,,132.4747014,161.4387201,242.9776675
World,OWID_WRL,1861,,,83.51314429,99.65036749,43.26247459,,,,117.1322597,141.9763664,229.3208431
World,OWID_WRL,1862,,,71.3048578,101.0651068,43.07203992,,,,100.2903213,125.8732808,180.7753846
World,OWID_WRL,1863,,,59.09577227,123.5994096,53.00404197,,,,79.42409202,100.8434255,221.2654067
World,OWID_WRL,1864,,,40.92598875,161.6280841,53.89356567,,,,65.68020339,81.5529092,245.3893631
World,OWID_WRL,1865,,,34.54021264,126.3477487,45.86106838,,,,59.07998114,74.91485311,173.639012
World,OWID_WRL,1866,,,31.93309236,134.8460099,52.28656374,,,,59.1549082,78.78350675,164.3664717
World,OWID_WRL,1867,,,36.36100228,126.8899999,56.11507782,,,,55.64851545,81.45880136,172.9874477
World,OWID_WRL,1868,,,41.31808001,132.8592273,52.65020954,,,,57.09435987,82.62311852,135.0130624
World,OWID_WRL,1869,,,57.16542967,144.8081417,51.4244045,,,,58.7071042,86.18823416,171.7244512
World,OWID_WRL,1870,,,59.22229484,131.0069612,50.27549321,,,,57.752025,86.49704473,165.1351779
World,OWID_WRL,1871,,,67.82953512,116.3259457,48.55755398,,,,65.50007149,91.16565006,181.9459459
World,OWID_WRL,1872,,,73.90382185,117.2716851,48.30443033,,,,88.28270505,101.1564062,310.1351351
World,OWID_WRL,1873,,,68.19957788,139.4867774,52.40416066,,,,81.38899438,119.8201723,540.2482759
World,OWID_WRL,1874,,,53.20136153,123.06491,53.70501299,,,,80.42709892,119.2013046,458.2608696
World,OWID_WRL,1875,,,47.31549661,122.8094357,53.75229841,,,,86.619687,125.0722483,454.0150376
World,OWID_WRL,1876,,,42.68565174,130.1950709,55.04566459,,,,82.21336616,123.8122969,395.8267565
World,OWID_WRL,1877,,,40.15213243,110.8876595,56.34723696,,,,75.29866147,119.4559772,257.2610837
World,OWID_WRL,1878,,,37.80672911,94.19751296,59.14420425,,,,72.06254587,101.6846145,160.3309204
World,OWID_WRL,1879,,,45.24411844,97.22109712,56.83267313,,,,67.41334936,92.51006283,150.204757
World,OWID_WRL,1880,,,53.21998677,103.8118381,50.0505408,,,,71.45148851,98.47599019,156.4480323
World,OWID_WRL,1881,,,56.24384966,98.75856341,50.50417108,,,,70.3173379,90.26965767,149.8607467
World,OWID_WRL,1882,,,61.68680285,100.2808232,50.50417108,,,,74.85394034,86.53950653,163.0353179
World,OWID_WRL,1883,,,57.40232236,86.39376461,51.54442177,,,,72.92319785,78.42383474,186.5623069
World,OWID_WRL,1884,,,51.04700265,87.06592461,52.62842644,,,,63.82012178,69.96680978,120.126183
World,OWID_WRL,1885,,,55.94600565,87.02200534,53.13858512,,,,51.85575107,73.77294417,113.8197425
World,OWID_WRL,1886,,,64.40164817,90.03881504,58.95930782,,,,49.29575683,85.92926689,85.89473684
World,OWID_WRL,1887,,,72.80359855,93.54910368,59.62456055,,,,53.63720526,82.59169581,109.7440347
World,OWID_WRL,1888,,,76.0537592,99.57092662,63.98116696,,,,98.74121878,89.0065848,102.6637744
World,OWID_WRL,1889,,,62.48616032,105.1165542,66.13299993,,,,64.26132964,86.19827297,118.9237668
World,OWID_WRL,1890,,,63.87413224,117.4699354,66.88280719,,,,68.81285239,88.85203107,120.2721088
World,OWID_WRL,1891,,,61.8355961,106.2378206,66.88280719,,,,64.98991615,83.82267082,101.7687075
World,OWID_WRL,1892,,,63.19462019,98.14435008,62.80527788,,,,57.34404366,71.2492702,138.7755102
World,OWID_WRL,1893,,,55.32802146,87.32037875,63.52552189,,,,54.77934446,68.67499138,97.32110092
World,OWID_WRL,1894,,,48.86620433,78.84235981,66.41997013,,,,53.90615135,68.25818784,111.5395683
World,OWID_WRL,1895,,,46.38546228,83.11043179,68.05191043,,,,59.37292383,78.10954824,60.14742015
World,OWID_WRL,1896,,,44.17663074,90.42797096,68.05191043,,,,64.89598651,83.55905161,66.16216216
World,OWID_WRL,1897,,,46.21696104,95.653515,62.25549272,,,,68.49902927,92.87426818,66.98507463
World,OWID_WRL,1898,,,53.67130959,106.0603079,59.74011928,,,,72.69284739,97.47200423,66.98507463
World,OWID_WRL,1899,,,91.68848722,133.5667383,122.6244554,,,,103.4475136,113.1043068,64.95522388
