Entity,Code,Year,All sizes (total count) (particles)
Global ocean (total),,2013,5246900000000
Indian Ocean,,2013,1298000000000
Mediterranean Sea,,2013,247400000000
North Atlantic,,2013,931000000000
North Pacific,,2013,1983000000000
South Atlantic,,2013,297500000000
South Pacific,,2013,490000000000
