Entity,Code,Year,Violent deaths in conflicts and one-sided violence
Civil conflicts,,1946,253457
Civil conflicts,,1947,354761
Civil conflicts,,1948,399926
Civil conflicts,,1949,389873
Civil conflicts,,1950,5333
Civil conflicts,,1951,1333
Civil conflicts,,1952,1333
Civil conflicts,,1953,1362
Civil conflicts,,1954,1382
Civil conflicts,,1955,6056
Civil conflicts,,1956,10837
Civil conflicts,,1957,6837
Civil conflicts,,1958,20810
Civil conflicts,,1959,26752
Civil conflicts,,1960,13102
Civil conflicts,,1961,16525
Civil conflicts,,1962,2027
Civil conflicts,,1963,281
Civil conflicts,,1964,3732
Civil conflicts,,1965,8217
Civil conflicts,,1966,2914
Civil conflicts,,1967,19063
Civil conflicts,,1968,33259
Civil conflicts,,1969,32010
Civil conflicts,,1970,41898
Civil conflicts,,1971,3850
Civil conflicts,,1972,2997
Civil conflicts,,1973,4408
Civil conflicts,,1974,5950
Civil conflicts,,1975,21595
Civil conflicts,,1976,80516
Civil conflicts,,1977,20557
Civil conflicts,,1978,43243
Civil conflicts,,1979,60713
Civil conflicts,,1980,13604
Civil conflicts,,1981,27200
Civil conflicts,,1982,73280
Civil conflicts,,1983,43324
Civil conflicts,,1984,71717
Civil conflicts,,1985,48374
Civil conflicts,,1986,48742
Civil conflicts,,1987,29096
Civil conflicts,,1988,37251
Civil conflicts,,1989,42775
Civil conflicts,,1990,75195
Civil conflicts,,1991,47765
Civil conflicts,,1992,29883
Civil conflicts,,1993,28307
Civil conflicts,,1994,32288
Civil conflicts,,1995,26491
Civil conflicts,,1996,23281
Civil conflicts,,1997,24727
Civil conflicts,,1998,28205
Civil conflicts,,1999,21867
Civil conflicts,,2000,24184
Civil conflicts,,2001,15146
Civil conflicts,,2002,17977
Civil conflicts,,2003,12106.5
Civil conflicts,,2004,13497
Civil conflicts,,2005,7089
Civil conflicts,,2006,12521
Civil conflicts,,2007,8363
Civil conflicts,,2008,18305
Civil conflicts,,2009,23040
Civil conflicts,,2010,10022
Civil conflicts,,2011,11080
Civil conflicts,,2012,47185.5
Civil conflicts,,2013,77375
Civil conflicts,,2014,65131
Civil conflicts,,2015,9539
Civil conflicts,,2016,7329
Civil conflicts with foreign state intervention,,1946,45
Civil conflicts with foreign state intervention,,1947,0
Civil conflicts with foreign state intervention,,1948,0
Civil conflicts with foreign state intervention,,1949,0
Civil conflicts with foreign state intervention,,1950,0
Civil conflicts with foreign state intervention,,1951,0
Civil conflicts with foreign state intervention,,1952,0
Civil conflicts with foreign state intervention,,1953,0
Civil conflicts with foreign state intervention,,1954,0
Civil conflicts with foreign state intervention,,1955,0
Civil conflicts with foreign state intervention,,1956,0
Civil conflicts with foreign state intervention,,1957,0
Civil conflicts with foreign state intervention,,1958,166
Civil conflicts with foreign state intervention,,1959,25
Civil conflicts with foreign state intervention,,1960,13
Civil conflicts with foreign state intervention,,1961,0
Civil conflicts with foreign state intervention,,1962,21912
Civil conflicts with foreign state intervention,,1963,55128
Civil conflicts with foreign state intervention,,1964,45338
Civil conflicts with foreign state intervention,,1965,0
Civil conflicts with foreign state intervention,,1966,0
Civil conflicts with foreign state intervention,,1967,0
Civil conflicts with foreign state intervention,,1968,0
Civil conflicts with foreign state intervention,,1969,1511
Civil conflicts with foreign state intervention,,1970,1511
Civil conflicts with foreign state intervention,,1971,38931
Civil conflicts with foreign state intervention,,1972,39170
Civil conflicts with foreign state intervention,,1973,37660
Civil conflicts with foreign state intervention,,1974,37660
Civil conflicts with foreign state intervention,,1975,66122
Civil conflicts with foreign state intervention,,1976,14148
Civil conflicts with foreign state intervention,,1977,12849
Civil conflicts with foreign state intervention,,1978,46860
Civil conflicts with foreign state intervention,,1979,40306
Civil conflicts with foreign state intervention,,1980,64221
Civil conflicts with foreign state intervention,,1981,59221
Civil conflicts with foreign state intervention,,1982,47853
Civil conflicts with foreign state intervention,,1983,75364
Civil conflicts with foreign state intervention,,1984,100365
Civil conflicts with foreign state intervention,,1985,103854
Civil conflicts with foreign state intervention,,1986,100367
Civil conflicts with foreign state intervention,,1987,79395
Civil conflicts with foreign state intervention,,1988,39083
Civil conflicts with foreign state intervention,,1989,10662
Civil conflicts with foreign state intervention,,1990,3403
Civil conflicts with foreign state intervention,,1991,587
Civil conflicts with foreign state intervention,,1992,6529
Civil conflicts with foreign state intervention,,1993,8488
Civil conflicts with foreign state intervention,,1994,984
Civil conflicts with foreign state intervention,,1995,1840
Civil conflicts with foreign state intervention,,1996,4664
Civil conflicts with foreign state intervention,,1997,14893
Civil conflicts with foreign state intervention,,1998,10434
Civil conflicts with foreign state intervention,,1999,10633
Civil conflicts with foreign state intervention,,2000,3147
Civil conflicts with foreign state intervention,,2001,5722
Civil conflicts with foreign state intervention,,2002,1506
Civil conflicts with foreign state intervention,,2003,1383.5
Civil conflicts with foreign state intervention,,2004,5634
Civil conflicts with foreign state intervention,,2005,5064
Civil conflicts with foreign state intervention,,2006,7139
Civil conflicts with foreign state intervention,,2007,10775
Civil conflicts with foreign state intervention,,2008,10252
Civil conflicts with foreign state intervention,,2009,11490
Civil conflicts with foreign state intervention,,2010,11040
Civil conflicts with foreign state intervention,,2011,11822
Civil conflicts with foreign state intervention,,2012,14244.5
Civil conflicts with foreign state intervention,,2013,13028
Civil conflicts with foreign state intervention,,2014,39595
Civil conflicts with foreign state intervention,,2015,88309
Civil conflicts with foreign state intervention,,2016,80011
Colonial or imperial conflicts,,1946,42039
Colonial or imperial conflicts,,1947,41947
Colonial or imperial conflicts,,1948,42785
Colonial or imperial conflicts,,1949,43129
Colonial or imperial conflicts,,1950,43668
Colonial or imperial conflicts,,1951,44063
Colonial or imperial conflicts,,1952,46299
Colonial or imperial conflicts,,1953,45874
Colonial or imperial conflicts,,1954,66725
Colonial or imperial conflicts,,1955,23832
Colonial or imperial conflicts,,1956,23655
Colonial or imperial conflicts,,1957,24454
Colonial or imperial conflicts,,1958,24181
Colonial or imperial conflicts,,1959,24181
Colonial or imperial conflicts,,1960,20281
Colonial or imperial conflicts,,1961,25923
Colonial or imperial conflicts,,1962,25968
Colonial or imperial conflicts,,1963,7006
Colonial or imperial conflicts,,1964,7031
Colonial or imperial conflicts,,1965,7106
Colonial or imperial conflicts,,1966,7181
Colonial or imperial conflicts,,1967,7307
Colonial or imperial conflicts,,1968,7058
Colonial or imperial conflicts,,1969,7007
Colonial or imperial conflicts,,1970,7007
Colonial or imperial conflicts,,1971,7007
Colonial or imperial conflicts,,1972,7007
Colonial or imperial conflicts,,1973,7007
Colonial or imperial conflicts,,1974,5643
Colonial or imperial conflicts,,1975,0
Colonial or imperial conflicts,,1976,0
Colonial or imperial conflicts,,1977,0
Colonial or imperial conflicts,,1978,0
Colonial or imperial conflicts,,1979,0
Colonial or imperial conflicts,,1980,0
Colonial or imperial conflicts,,1981,0
Colonial or imperial conflicts,,1982,0
Colonial or imperial conflicts,,1983,0
Colonial or imperial conflicts,,1984,0
Colonial or imperial conflicts,,1985,0
Colonial or imperial conflicts,,1986,0
Colonial or imperial conflicts,,1987,0
Colonial or imperial conflicts,,1988,0
Colonial or imperial conflicts,,1989,0
Colonial or imperial conflicts,,1990,0
Colonial or imperial conflicts,,1991,0
Colonial or imperial conflicts,,1992,0
Colonial or imperial conflicts,,1993,0
Colonial or imperial conflicts,,1994,0
Colonial or imperial conflicts,,1995,0
Colonial or imperial conflicts,,1996,0
Colonial or imperial conflicts,,1997,0
Colonial or imperial conflicts,,1998,0
Colonial or imperial conflicts,,1999,0
Colonial or imperial conflicts,,2000,0
Colonial or imperial conflicts,,2001,0
Colonial or imperial conflicts,,2002,0
Colonial or imperial conflicts,,2003,0
Colonial or imperial conflicts,,2004,0
Colonial or imperial conflicts,,2005,0
Colonial or imperial conflicts,,2006,0
Colonial or imperial conflicts,,2007,0
Colonial or imperial conflicts,,2008,0
Colonial or imperial conflicts,,2009,0
Colonial or imperial conflicts,,2010,0
Colonial or imperial conflicts,,2011,0
Colonial or imperial conflicts,,2012,0
Colonial or imperial conflicts,,2013,0
Colonial or imperial conflicts,,2014,0
Colonial or imperial conflicts,,2015,0
Colonial or imperial conflicts,,2016,0
Conflicts between states,,1946,0
Conflicts between states,,1947,0
Conflicts between states,,1948,29652
Conflicts between states,,1949,1319
Conflicts between states,,1950,497500
Conflicts between states,,1951,348344
Conflicts between states,,1952,99589
Conflicts between states,,1953,49750
Conflicts between states,,1954,1000
Conflicts between states,,1955,0
Conflicts between states,,1956,5313
Conflicts between states,,1957,40
Conflicts between states,,1958,0
Conflicts between states,,1959,0
Conflicts between states,,1960,0
Conflicts between states,,1961,1394
Conflicts between states,,1962,2105
Conflicts between states,,1963,685
Conflicts between states,,1964,185
Conflicts between states,,1965,75612
Conflicts between states,,1966,78148
Conflicts between states,,1967,92906
Conflicts between states,,1968,184625
Conflicts between states,,1969,148149
Conflicts between states,,1970,148902
Conflicts between states,,1971,150835
Conflicts between states,,1972,240687
Conflicts between states,,1973,165593
Conflicts between states,,1974,188174
Conflicts between states,,1975,29378
Conflicts between states,,1976,0
Conflicts between states,,1977,0
Conflicts between states,,1978,55
Conflicts between states,,1979,45000
Conflicts between states,,1980,35800
Conflicts between states,,1981,95550
Conflicts between states,,1982,96514
Conflicts between states,,1983,96096
Conflicts between states,,1984,64950
Conflicts between states,,1985,64450
Conflicts between states,,1986,64450
Conflicts between states,,1987,73450
Conflicts between states,,1988,64850
Conflicts between states,,1989,868
Conflicts between states,,1990,1083
Conflicts between states,,1991,21884
Conflicts between states,,1992,25
Conflicts between states,,1993,0
Conflicts between states,,1994,0
Conflicts between states,,1995,99
Conflicts between states,,1996,81
Conflicts between states,,1997,55
Conflicts between states,,1998,1025
Conflicts between states,,1999,48078
Conflicts between states,,2000,50025
Conflicts between states,,2001,1422
Conflicts between states,,2002,25
Conflicts between states,,2003,8160
Conflicts between states,,2004,0
Conflicts between states,,2005,0
Conflicts between states,,2006,0
Conflicts between states,,2007,0
Conflicts between states,,2008,35
Conflicts between states,,2009,0
Conflicts between states,,2010,0
Conflicts between states,,2011,29
Conflicts between states,,2012,367
Conflicts between states,,2013,0
Conflicts between states,,2014,43
Conflicts between states,,2015,29
Conflicts between states,,2016,92
Non-state conflicts,,1989,4169
Non-state conflicts,,1990,5251
Non-state conflicts,,1991,3835
Non-state conflicts,,1992,9004
Non-state conflicts,,1993,10739
Non-state conflicts,,1994,5156
Non-state conflicts,,1995,4438
Non-state conflicts,,1996,4102
Non-state conflicts,,1997,3420
Non-state conflicts,,1998,3483
Non-state conflicts,,1999,5329
Non-state conflicts,,2000,6336
Non-state conflicts,,2001,4810
Non-state conflicts,,2002,6055
Non-state conflicts,,2003,3411
Non-state conflicts,,2004,4085
Non-state conflicts,,2005,2123
Non-state conflicts,,2006,3062
Non-state conflicts,,2007,2799
Non-state conflicts,,2008,4211
Non-state conflicts,,2009,6033
Non-state conflicts,,2010,5839
Non-state conflicts,,2011,6636
Non-state conflicts,,2012,4504
Non-state conflicts,,2013,4693
Non-state conflicts,,2014,12858
Non-state conflicts,,2015,11095
Non-state conflicts,,2016,9419
One-sided violence,,1989,8059
One-sided violence,,1990,9798
One-sided violence,,1991,8785
One-sided violence,,1992,10572
One-sided violence,,1993,7784
One-sided violence,,1994,509208
One-sided violence,,1995,19940
One-sided violence,,1996,39184
One-sided violence,,1997,17788
One-sided violence,,1998,17305
One-sided violence,,1999,12434
One-sided violence,,2000,6922
One-sided violence,,2001,7140
One-sided violence,,2002,12254
One-sided violence,,2003,11055
One-sided violence,,2004,8077
One-sided violence,,2005,4676
One-sided violence,,2006,4180
One-sided violence,,2007,4559
One-sided violence,,2008,4006
One-sided violence,,2009,5580
One-sided violence,,2010,3281
One-sided violence,,2011,5590
One-sided violence,,2012,3679
One-sided violence,,2013,9095
One-sided violence,,2014,13901
One-sided violence,,2015,10031
One-sided violence,,2016,6314
State-based conflicts,,1946,295541
State-based conflicts,,1947,396708
State-based conflicts,,1948,472363
State-based conflicts,,1949,434321
State-based conflicts,,1950,546501
State-based conflicts,,1951,393740
State-based conflicts,,1952,147221
State-based conflicts,,1953,96986
State-based conflicts,,1954,69107
State-based conflicts,,1955,29888
State-based conflicts,,1956,39805
State-based conflicts,,1957,31331
State-based conflicts,,1958,45157
State-based conflicts,,1959,50958
State-based conflicts,,1960,33396
State-based conflicts,,1961,43842
State-based conflicts,,1962,52012
State-based conflicts,,1963,63100
State-based conflicts,,1964,56286
State-based conflicts,,1965,90935
State-based conflicts,,1966,88243
State-based conflicts,,1967,119276
State-based conflicts,,1968,224942
State-based conflicts,,1969,188677
State-based conflicts,,1970,199318
State-based conflicts,,1971,200623
State-based conflicts,,1972,289861
State-based conflicts,,1973,214668
State-based conflicts,,1974,237427
State-based conflicts,,1975,117095
State-based conflicts,,1976,94664
State-based conflicts,,1977,33406
State-based conflicts,,1978,90158
State-based conflicts,,1979,146019
State-based conflicts,,1980,113625
State-based conflicts,,1981,181971
State-based conflicts,,1982,217647
State-based conflicts,,1983,214784
State-based conflicts,,1984,237032
State-based conflicts,,1985,216678
State-based conflicts,,1986,213559
State-based conflicts,,1987,181941
State-based conflicts,,1988,141184
State-based conflicts,,1989,54305
State-based conflicts,,1990,79681
State-based conflicts,,1991,70236
State-based conflicts,,1992,36437
State-based conflicts,,1993,36795
State-based conflicts,,1994,33272
State-based conflicts,,1995,28430
State-based conflicts,,1996,28026
State-based conflicts,,1997,39675
State-based conflicts,,1998,39664
State-based conflicts,,1999,80578
State-based conflicts,,2000,77356
State-based conflicts,,2001,22290
State-based conflicts,,2002,19508
State-based conflicts,,2003,21650
State-based conflicts,,2004,19131
State-based conflicts,,2005,12153
State-based conflicts,,2006,19660
State-based conflicts,,2007,19138
State-based conflicts,,2008,28592
State-based conflicts,,2009,34530
State-based conflicts,,2010,21062
State-based conflicts,,2011,22931
State-based conflicts,,2012,61797
State-based conflicts,,2013,90403
State-based conflicts,,2014,104769
State-based conflicts,,2015,97877
State-based conflicts,,2016,87432
