Entity,Code,Year,City population,Projected
Bangalore,,1950,745999,
Bangalore,,1955,939396,
Bangalore,,1960,1165978,
Bangalore,,1965,1377314,
Bangalore,,1970,1614756,
Bangalore,,1975,2110599,
Bangalore,,1980,2812428,
Bangalore,,1985,3397214,
Bangalore,,1990,4042598,
Bangalore,,1995,4754228,
Bangalore,,2000,5581263,
Bangalore,,2005,6785901,
Bangalore,,2010,8295564.000000001,
Bangalore,,2015,10141080,
Bangalore,,2020,,12326532
Bangalore,,2025,,14395443
Bangalore,,2030,,16226826
Bangalore,,2035,,18065541
Beijing,,1950,1671365,
Beijing,,1955,2364625,
Beijing,,1960,3900441,
Beijing,,1965,4582017,
Beijing,,1970,4426045,
Beijing,,1975,4827973,
Beijing,,1980,5366372,
Beijing,,1985,6017488,
Beijing,,1990,6787737,
Beijing,,1995,8355148,
Beijing,,2000,10285091,
Beijing,,2005,12991292,
Beijing,,2010,16441251.999999998,
Beijing,,2015,18421198,
Beijing,,2020,,20462610
Beijing,,2025,,22596455
Beijing,,2030,,24281913
Beijing,,2035,,25365920
Bogota,,1950,630315,
Bogota,,1955,894187,
Bogota,,1960,1268645,
Bogota,,1965,1779758,
Bogota,,1970,2383425,
Bogota,,1975,3040465,
Bogota,,1980,3525154,
Bogota,,1985,4086775.0000000005,
Bogota,,1990,4740448,
Bogota,,1995,5488071,
Bogota,,2000,6329384,
Bogota,,2005,7299095,
Bogota,,2010,8417705,
Bogota,,2015,9707746,
Bogota,,2020,,10978360
Bogota,,2025,,11795829
Bogota,,2030,,12343364
Bogota,,2035,,12753324
Buenos Aires,,1950,5166140,
Buenos Aires,,1955,5910271,
Buenos Aires,,1960,6761837,
Buenos Aires,,1965,7548511,
Buenos Aires,,1970,8416170,
Buenos Aires,,1975,9143219,
Buenos Aires,,1980,9919781,
Buenos Aires,,1985,10523442,
Buenos Aires,,1990,11147566,
Buenos Aires,,1995,11806407,
Buenos Aires,,2000,12503871,
Buenos Aires,,2005,13329540,
Buenos Aires,,2010,14245871,
Buenos Aires,,2015,14705533,
Buenos Aires,,2020,,15153729
Buenos Aires,,2025,,15752275
Buenos Aires,,2030,,16456115
Buenos Aires,,2035,,17127741
Cairo,,1950,2493514,
Cairo,,1955,3029198,
Cairo,,1960,3680160,
Cairo,,1965,4737968,
Cairo,,1970,5584507,
Cairo,,1975,6449922,
Cairo,,1980,7348778,
Cairo,,1985,8328255,
Cairo,,1990,9892143,
Cairo,,1995,11961986,
Cairo,,2000,13625565,
Cairo,,2005,15174050,
Cairo,,2010,16899015,
Cairo,,2015,18820072,
Cairo,,2020,,20900604
Cairo,,2025,,23074225
Cairo,,2030,,25516696
Cairo,,2035,,28504351
Chongqing,,1950,1566966,
Chongqing,,1955,1913248,
Chongqing,,1960,2275158,
Chongqing,,1965,2188064,
Chongqing,,1970,2237344,
Chongqing,,1975,2544566,
Chongqing,,1980,2961400,
