Entity,Code,Year,Legality status of abortion
Afghanistan,AFG,2017,Highly restricted
Albania,ALB,2017,Legal (no restrictions)
Algeria,DZA,2017,Highly restricted
Andorra,AND,2017,Banned (no exception)
Angola,AGO,2017,Banned (no exception)
Antigua and Barbuda,ATG,2017,Highly restricted
Argentina,ARG,2017,Highly restricted
Armenia,ARM,2017,Legal (no restrictions)
Australia,AUS,2017,Legal (no restrictions)
Austria,AUT,2017,Legal (no restrictions)
Azerbaijan,AZE,2017,Legal (no restrictions)
Bahamas,BHS,2017,Highly restricted
Bahrain,BHR,2017,Legal (no restrictions)
Bangladesh,BGD,2017,Highly restricted
Barbados,BRB,2017,Legal (some restrictions)
Belarus,BLR,2017,Legal (no restrictions)
Belgium,BEL,2017,Legal (no restrictions)
Belize,BLZ,2017,Legal (some restrictions)
Benin,BEN,2017,Highly restricted
Bhutan,BTN,2017,Highly restricted
Bolivia,BOL,2017,Highly restricted
Bosnia and Herzegovina,BIH,2017,Legal (no restrictions)
Botswana,BWA,2017,Highly restricted
Brazil,BRA,2017,Highly restricted
Brunei,BRN,2017,Highly restricted
Bulgaria,BGR,2017,Legal (no restrictions)
Burkina Faso,BFA,2017,Highly restricted
Burundi,BDI,2017,Highly restricted
Cambodia,KHM,2017,Legal (no restrictions)
Cameroon,CMR,2017,Highly restricted
Canada,CAN,2017,Legal (no restrictions)
Cape Verde,CPV,2017,Legal (no restrictions)
Central African Republic,CAF,2017,Highly restricted
Chad,TCD,2017,Highly restricted
Chile,CHL,2017,Highly restricted
China,CHN,2017,Legal (no restrictions)
Colombia,COL,2017,Highly restricted
Comoros,COM,2017,Highly restricted
Congo,COG,2017,Banned (no exception)
Costa Rica,CRI,2017,Highly restricted
Cote d'Ivoire,CIV,2017,Highly restricted
Croatia,HRV,2017,Legal (no restrictions)
Cuba,CUB,2017,Legal (no restrictions)
Cyprus,CYP,2017,Legal (some restrictions)
Czech Republic,CZE,2017,Legal (no restrictions)
Democratic Republic of Congo,COD,2017,Banned (no exception)
Denmark,DNK,2017,Legal (no restrictions)
Djibouti,DJI,2017,Highly restricted
Dominica,DMA,2017,Highly restricted
Dominican Republic,DOM,2017,Banned (no exception)
Ecuador,ECU,2017,Highly restricted
Egypt,EGY,2017,Banned (no exception)
El Salvador,SLV,2017,Banned (no exception)
Equatorial Guinea,GNQ,2017,Highly restricted
Eritrea,ERI,2017,Highly restricted
Estonia,EST,2017,Legal (no restrictions)
Ethiopia,ETH,2017,Highly restricted
Fiji,FJI,2017,Legal (some restrictions)
Finland,FIN,2017,Legal (some restrictions)
France,FRA,2017,Legal (no restrictions)
Gabon,GAB,2017,Banned (no exception)
Gambia,GMB,2017,Highly restricted
Georgia,GEO,2017,Legal (no restrictions)
Germany,DEU,2017,Legal (no restrictions)
Ghana,GHA,2017,Highly restricted
Greece,GRC,2017,Legal (no restrictions)
Grenada,GRD,2017,Highly restricted
Guatemala,GTM,2017,Highly restricted
Guinea,GIN,2017,Highly restricted
Guinea-Bissau,GNB,2017,Banned (no exception)
Guyana,GUY,2017,Legal (no restrictions)
Haiti,HTI,2017,Banned (no exception)
Honduras,HND,2017,Banned (no exception)
Hong Kong,HKG,2017,Legal (some restrictions)
