Entity,Code,Year,Percentage of scheduled time teacher is teaching (% of time officially allocated to schooling)
Brazil,BRA,2009,62.95
Cambodia,KHM,2008,75
Egypt,EGY,2002,83.18777293
Ghana,GHA,2009,38.73096447
Kenya,KEN,2012,44.94
Laos,LAO,2007,78
Lebanon,LBN,2002,79.80769231
Madagascar,MDG,2016,58.09
Morocco,MAR,2009,85.2
Mozambique,MOZ,2012,39.46
Nigeria,NGA,2012,67.14
Senegal,SEN,2012,67.03
Tanzania,TZA,2012,55.21
Togo,TGO,2012,58.33
Tunisia,TUN,2009,77.94736842
Uganda,UGA,2012,42.03
Yemen,YEM,2002,78.38164251
Zambia,ZMB,2016,55.64
