Entity,Code,Year,Unsheltered Homeless (Percent),Sheltered Homeless (Percent)
United States,USA,2007,84.94,129.93
United States,USA,2008,83.34,127.05
United States,USA,2009,73.97,131.47
United States,USA,2010,75.49,130.45
United States,USA,2011,74.27,125.88
United States,USA,2012,73.69,124.25
United States,USA,2013,61.88,124.82
United States,USA,2014,55.06,125.89
United States,USA,2015,53.99,121.98
United States,USA,2016,54.58,115.61
