Entity,Code,Year,9-year average,Annual drought severity index
Southwest US,,1895,1.454951452,1.848995099
Southwest US,,1896,1.087925759,0.706144719
Southwest US,,1897,0.615834513,1.19086868
Southwest US,,1898,0.068373516,-0.175927327
Southwest US,,1899,-0.482213556,-0.399638035
Southwest US,,1900,-0.919728583,-1.443256786
Southwest US,,1901,-1.131126564,-1.076245664
Southwest US,,1902,-1.018264986,-1.882235735
Southwest US,,1903,-0.478065992,-0.447409084
Southwest US,,1904,0.520747973,-0.798310803
Southwest US,,1905,1.735412926,2.316732956
Southwest US,,1906,2.620768615,4.008391289
Southwest US,,1907,2.719703206,4.189265804
Southwest US,,1908,2.087993749,1.51784068
Southwest US,,1909,1.22964838,1.549312876
Southwest US,,1910,0.653794058,-1.086386651
Southwest US,,1911,0.531846281,0.802129559
Southwest US,,1912,0.73842455,0.948426989
Southwest US,,1913,1.117622699,0.446309104
Southwest US,,1914,1.534835839,1.589082643
Southwest US,,1915,1.734333873,2.807252146
Southwest US,,1916,1.491980241,2.288381708
Southwest US,,1917,0.970447249,0.541273124
Southwest US,,1918,0.621241387,-0.808718463
Southwest US,,1919,0.651928755,0.771717573
Southwest US,,1920,0.83526967,1.699969613
Southwest US,,1921,0.870111747,0.714356199
Southwest US,,1922,0.662021079,0.684822135
Southwest US,,1923,0.275172971,1.212962811
Southwest US,,1924,-0.120262832,-1.242140553
Southwest US,,1925,-0.323452151,-0.510116219
Southwest US,,1926,-0.317557747,-0.493323907
Southwest US,,1927,-0.293462344,0.603112551
Southwest US,,1928,-0.375616385,-0.798525463
Southwest US,,1929,-0.47146272,-0.56444524
Southwest US,,1930,-0.454208788,-0.704218621
Southwest US,,1931,-0.412528824,-0.555042608
Southwest US,,1932,-0.601220399,0.868220316
Southwest US,,1933,-1.04960968,-0.864634374
Southwest US,,1934,-1.380583752,-3.656784145
Southwest US,,1935,-1.246237199,-0.884897784
Southwest US,,1936,-0.770767914,-0.684586261
Southwest US,,1937,-0.342495167,-0.022882178
Southwest US,,1938,-0.081774552,0.705113735
Southwest US,,1939,0.320586972,-1.158301645
Southwest US,,1940,1.101636893,-0.597830425
Southwest US,,1941,1.866131693,4.884586032
