Entity,Code,Year,6.b.1 - Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%) - ER_WAT_PROCED (%)
"Asia, Central",,2017,66.66667
"Asia, Central",,2019,66.66667
Central and Southern Asia,,2017,90
Eastern Asia,,2017,50
Eastern Asia,,2019,33.33333
Eastern and South-Eastern Asia,,2017,90
Eastern and South-Eastern Asia,,2019,45.45455
Europe,,2017,83.33333
Europe and Northern America,,2017,83.33333
Landlocked developing countries,,2017,86.36364
Landlocked developing countries,,2019,84.61538
Latin America and the Caribbean	,,2017,77.27273
Latin America and the Caribbean	,,2019,72
Least Developed Countries (LDCs),,2017,85.71429
Least Developed Countries (LDCs),,2019,70
Northern Africa and Western Asia,,2017,100
Oceania,,2017,50
Oceania (exc. Australia and New Zealand),,2017,50
Oceania (exc. Australia and New Zealand),,2019,28.57143
Small Island Developing States (SIDS),,2017,57.14286
Small Island Developing States (SIDS),,2019,39.13043
South Eastern Asia,,2017,100
South Eastern Asia,,2019,50
Southern Asia,,2017,100
Sub-Saharan Africa,,2017,88
Sub-Saharan Africa,,2019,72.5
Western Asia,,2017,100
World,OWID_WRL,2017,82.92683
World,OWID_WRL,2019,70.17544
