Entity,Code,Year,Total patents
China,CHN,2000,883
China,CHN,2001,1070
China,CHN,2002,1536
China,CHN,2003,1716
China,CHN,2004,2339
China,CHN,2005,2859
China,CHN,2006,4919
China,CHN,2007,6603
China,CHN,2008,9249
China,CHN,2009,13186
China,CHN,2010,16792
China,CHN,2011,19529
China,CHN,2012,21190
China,CHN,2013,20215
China,CHN,2014,19430
China,CHN,2015,19647
China,CHN,2016,6965
Germany,DEU,2000,1493
Germany,DEU,2001,1368
Germany,DEU,2002,1381
Germany,DEU,2003,1305
Germany,DEU,2004,1183
Germany,DEU,2005,1436
Germany,DEU,2006,1769
Germany,DEU,2007,2280
Germany,DEU,2008,2749
Germany,DEU,2009,3135
Germany,DEU,2010,3317
Germany,DEU,2011,3249
Germany,DEU,2012,2617
Germany,DEU,2013,1770
Germany,DEU,2014,1359
Germany,DEU,2015,448
Germany,DEU,2016,110
Japan,JPN,2000,3681
Japan,JPN,2001,3569
Japan,JPN,2002,3430
Japan,JPN,2003,3553
Japan,JPN,2004,3610
Japan,JPN,2005,3461
Japan,JPN,2006,3537
Japan,JPN,2007,3968
Japan,JPN,2008,5111
Japan,JPN,2009,7093
Japan,JPN,2010,8313
Japan,JPN,2011,9011
Japan,JPN,2012,9763
Japan,JPN,2013,7306
Japan,JPN,2014,5124
Japan,JPN,2015,1918
Japan,JPN,2016,534
Other,,2000,3777
Other,,2001,4008
Other,,2002,4721
Other,,2003,5211
Other,,2004,5454
Other,,2005,6355
Other,,2006,8203
Other,,2007,12410
Other,,2008,16445
Other,,2009,21080
Other,,2010,22955
Other,,2011,23683
Other,,2012,21518
Other,,2013,16052
Other,,2014,12048
Other,,2015,5615
Other,,2016,1029
United States,USA,2000,1066
United States,USA,2001,1495
United States,USA,2002,1635
United States,USA,2003,1923
United States,USA,2004,2599
United States,USA,2005,3136
United States,USA,2006,3944
United States,USA,2007,5511
United States,USA,2008,7821
United States,USA,2009,10464
United States,USA,2010,12593
United States,USA,2011,12667
United States,USA,2012,11794
United States,USA,2013,10454
United States,USA,2014,8841
United States,USA,2015,4915
United States,USA,2016,1822
World,OWID_WRL,2000,10900
World,OWID_WRL,2001,11510
World,OWID_WRL,2002,12703
World,OWID_WRL,2003,13708
World,OWID_WRL,2004,15185
World,OWID_WRL,2005,17247
World,OWID_WRL,2006,22372
World,OWID_WRL,2007,30772
World,OWID_WRL,2008,41375
World,OWID_WRL,2009,54958
World,OWID_WRL,2010,63970
World,OWID_WRL,2011,68139
World,OWID_WRL,2012,66882
World,OWID_WRL,2013,55797
World,OWID_WRL,2014,46802
World,OWID_WRL,2015,32543
World,OWID_WRL,2016,10460
